armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
0,-1111.4681,801.9673,-79.96875,100.0,Apartments,ropz,76561197991272318,ct,ct,0,132,0,head,t,3206,-984.329,536.0318,-79.96875,100,BackAlley,Tauson,76561198316706174,t,hkp2000,100,1
95,-509.69617,-352.60925,-166.9765,100.0,Catwalk,acoR,76561198002942763,t,ct,5,19,81,chest,t,3665,-726.8657,-1315.0732,-167.96875,100,BombsiteA,ZywOo,76561198113666193,ct,p250,19,1
100,53.03686,-2074.9365,-39.96875,100.0,PalaceInterior,PR,76561198310561479,t,ct,0,98,2,head,t,3823,-460.5871,-2358.0403,-167.96875,100,BombsiteA,apEX,76561197989744167,ct,glock,98,1
94,47.665676,-2072.5894,-39.96875,100.0,PalaceInterior,PR,76561198310561479,t,ct,6,11,0,chest,t,3844,-458.12854,-2357.9683,-167.96875,2,BombsiteA,apEX,76561197989744167,ct,glock,2,1
0,-520.03125,-984.03125,-167.96875,81.0,Connector,ZywOo,76561198113666193,ct,ct,0,133,0,head,t,3977,-759.96875,-1071.5209,-167.96875,100,Connector,ztr,76561199009468655,t,hkp2000,100,1
0,-848.18854,-2349.058,-170.12701,100.0,BombsiteA,PR,76561198310561479,t,ct,0,99,1,head,t,4377,-1422.1829,-2247.714,-235.87054,100,CTSpawn,mezii,76561197973140692,ct,glock,99,1
0,-845.3245,-2336.707,-170.93054,100.0,BombsiteA,PR,76561198310561479,t,ct,0,24,0,chest,t,4386,-1424.59,-2262.6956,-235.22388,1,CTSpawn,mezii,76561197973140692,ct,glock,1,1
100,-608.2354,-1215.3022,-167.96875,81.0,Connector,ZywOo,76561198113666193,ct,ct,0,125,0,head,t,4720,-689.5768,-1774.8011,-179.96875,100,BombsiteA,REZ,76561198034172415,t,hkp2000,100,1
100,-1410.8411,-2332.0015,-227.20288,100.0,CTSpawn,flameZ,76561197978835160,ct,ct,0,126,0,head,t,4850,-872.401,-2356.995,-167.96875,100,BombsiteA,PR,76561198310561479,t,hkp2000,100,1
100,-823.40906,-2537.3088,-35.96875,100.0,CTSpawn,ropz,76561197991272318,ct,ct,0,99,1,head,t,5402,-607.6708,-753.8895,-261.96875,100,Middle,acoR,76561198002942763,t,hkp2000,99,1
100,-838.5204,-2535.4414,-35.96875,100.0,CTSpawn,ropz,76561197991272318,ct,ct,0,99,0,head,t,5429,-608.51953,-761.31903,-261.96875,1,Middle,acoR,76561198002942763,t,hkp2000,1,1
0,-2039.2081,697.08655,-47.96875,100.0,Apartments,mezii,76561197973140692,ct,ct,0,93,7,head,t,10017,-1694.5242,863.96826,-47.96875,100,Apartments,REZ,76561198034172415,t,mp9,93,2
0,-2038.8021,695.6741,-47.96875,100.0,Apartments,mezii,76561197973140692,ct,ct,0,23,0,chest,t,10022,-1697.7743,863.96625,-47.96875,7,Apartments,REZ,76561198034172415,t,mp9,7,2
100,110.60191,-1418.2797,-175.96875,100.0,PalaceInterior,PR,76561198310561479,t,ct,0,158,0,head,t,10311,-147.80786,-2196.583,-167.96875,100,BombsiteA,apEX,76561197989744167,ct,deagle,100,2
0,-1348.3167,309.20694,-167.96875,100.0,BombsiteB,ropz,76561197991272318,ct,ct,0,4,96,generic,t,10327,-1471.9688,664.0328,-47.96875,100,Apartments,Tauson,76561198316706174,t,hegrenade,4,2
0,-564.05365,-2292.4255,-174.42206,100.0,BombsiteA,flameZ,76561197978835160,ct,ct,0,33,67,chest,t,10368,115.62034,-1508.4954,-175.96875,100,PalaceInterior,PR,76561198310561479,t,m4a1,33,2
0,-563.9196,-2292.5417,-174.40576,100.0,BombsiteA,flameZ,76561197978835160,ct,ct,0,33,34,chest,t,10374,110.47812,-1518.4806,-175.96875,67,PalaceInterior,PR,76561198310561479,t,m4a1,33,2
0,-564.5896,-2291.963,-174.487,100.0,BombsiteA,flameZ,76561197978835160,ct,ct,0,116,0,head,t,10380,107.86177,-1523.4672,-175.96875,34,PalaceInterior,PR,76561198310561479,t,m4a1,34,2
0,-2139.158,770.8904,-127.95715,100.0,Truck,mezii,76561197973140692,ct,ct,0,26,70,generic,t,10398,-1471.9688,664.0328,-47.96875,96,Apartments,Tauson,76561198316706174,t,hegrenade,26,2
0,-2191.1318,713.49786,-101.79144,100.0,Truck,mezii,76561197973140692,ct,ct,0,22,48,chest,t,10709,-1742.4211,771.22675,-47.96875,70,Apartments,Tauson,76561198316706174,t,mp9,22,2
0,-2190.7876,710.80945,-101.79144,100.0,Truck,mezii,76561197973140692,ct,ct,0,91,0,head,t,10714,-1747.0093,768.5419,-47.96875,48,Apartments,Tauson,76561198316706174,t,mp9,48,2
76,77.78254,-2133.2783,-39.96875,100.0,PalaceInterior,ztr,76561199009468655,t,ct,24,88,12,head,t,11064,-358.7633,-2222.1562,-171.54419,100,BombsiteA,flameZ,76561197978835160,ct,p250,88,2
0,-1249.2135,-1278.5518,-167.96875,100.0,CTSpawn,ZywOo,76561198113666193,ct,ct,0,108,0,head,t,11092,84.62549,-2178.53,-39.96875,100,PalaceInterior,ztr,76561199009468655,t,m4a1,100,2
0,-771.54,-1622.2029,-167.96875,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,0,34,66,chest,t,11368,-49.460754,-1740.4678,-167.96875,100,BombsiteA,acoR,76561198002942763,t,m4a1,34,2
0,-771.3531,-1621.0273,-167.96875,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,0,43,23,stomach,t,11388,-57.034546,-1723.6311,-167.96875,66,BombsiteA,acoR,76561198002942763,t,m4a1,43,2
0,-771.98926,-1625.7614,-168.14471,100.0,BombsiteA,ZywOo,76561198113666193,ct,ct,0,34,0,chest,t,11407,-57.07025,-1722.8071,-167.96875,23,BombsiteA,acoR,76561198002942763,t,m4a1,23,2
73,10.036866,-1642.4078,-167.96875,100.0,BombsiteA,flameZ,76561197978835160,ct,ct,27,41,59,generic,t,14576,384.36588,-1711.967,-204.14801,100,TRamp,Tauson,76561198316706174,t,hegrenade,41,3
61,449.74207,-1671.0206,-236.83606,59.0,TRamp,Tauson,76561198316706174,t,ct,15,109,0,head,t,15807,30.348362,-1482.0709,-172.6034,100,BombsiteA,flameZ,76561197978835160,ct,ak47,100,3
100,448.0544,-1675.996,-235.99225,59.0,TRamp,Tauson,76561198316706174,t,ct,0,141,0,head,t,15863,4.5096207,-1492.0509,-170.01953,100,BombsiteA,apEX,76561197989744167,ct,ak47,100,3
98,-1203.6158,-456.15656,-95.96875,100.0,Ladder,ropz,76561197991272318,ct,ct,2,3,97,generic,t,16384,-1203.6158,-456.15656,-95.96875,100,Ladder,ropz,76561197991272318,ct,hegrenade,3,3
68,-710.23816,-1204.9259,-167.96875,100.0,Connector,ZywOo,76561198113666193,ct,ct,5,24,35,chest,t,16530,-692.6338,-1843.3342,-179.96875,59,BombsiteA,Tauson,76561198316706174,t,m4a1,24,3
97,-690.2606,-1842.3746,-179.96875,35.0,BombsiteA,Tauson,76561198316706174,t,ct,3,27,73,chest,t,16538,-711.3174,-1204.9532,-167.96875,100,Connector,ZywOo,76561198113666193,ct,ak47,27,3
82,-687.6952,-1842.2483,-179.96875,35.0,BombsiteA,Tauson,76561198316706174,t,ct,15,108,0,head,t,16545,-713.0204,-1204.9924,-167.96875,73,Connector,ZywOo,76561198113666193,ct,ak47,73,3
99,83.38045,-2233.8906,-39.96875,100.0,PalaceInterior,PR,76561198310561479,t,ct,1,8,92,chest,t,16601,-1303.3777,-1157.2406,-167.96875,100,CTSpawn,mezii,76561197973140692,ct,ak47,8,3
95,-1307.5642,-1162.3433,-167.96875,92.0,CTSpawn,mezii,76561197973140692,ct,ct,5,26,74,stomach,t,16611,83.18458,-2234.0857,-39.96875,100,PalaceInterior,PR,76561198310561479,t,m4a1,26,3
99,83.18458,-2234.0857,-39.96875,100.0,PalaceInterior,PR,76561198310561479,t,ct,0,1,91,generic,t,16611,-1307.5642,-1162.3433,-167.96875,92,CTSpawn,mezii,76561197973140692,ct,inferno,1,3
97,81.98096,-2235.6362,-39.96875,74.0,PalaceInterior,PR,76561198310561479,t,ct,2,15,76,stomach,t,16620,-1301.5271,-1154.5499,-167.96875,91,CTSpawn,mezii,76561197973140692,ct,ak47,15,3
97,81.246124,-2236.5835,-39.96875,74.0,PalaceInterior,PR,76561198310561479,t,ct,0,2,74,generic,t,16624,-1298.894,-1151.1406,-167.96875,76,CTSpawn,mezii,76561197973140692,ct,inferno,2,3
97,77.99669,-2240.7134,-39.96875,74.0,PalaceInterior,PR,76561198310561479,t,ct,0,3,71,generic,t,16637,-1297.2618,-1138.7931,-167.96875,74,CTSpawn,mezii,76561197973140692,ct,inferno,3,3
97,74.11461,-2245.5403,-39.96875,74.0,PalaceInterior,PR,76561198310561479,t,ct,0,4,67,generic,t,16649,-1294.3024,-1123.7457,-167.96875,71,CTSpawn,mezii,76561197973140692,ct,inferno,4,3
97,67.12634,-2254.1943,-39.96875,74.0,PalaceInterior,PR,76561198310561479,t,ct,0,4,63,generic,t,16662,-1289.5371,-1103.6609,-167.96875,67,CTSpawn,mezii,76561197973140692,ct,inferno,4,3
97,69.11747,-2251.5452,-39.96875,74.0,PalaceInterior,PR,76561198310561479,t,ct,0,5,58,generic,t,16675,-1278.2262,-1079.8372,-157.89062,63,CTSpawn,mezii,76561197973140692,ct,inferno,5,3
97,86.3687,-2229.4634,-39.96875,74.0,PalaceInterior,PR,76561198310561479,t,ct,0,6,52,generic,t,16688,-1272.2052,-1051.3146,-119.4375,58,CTSpawn,mezii,76561197973140692,ct,inferno,6,3
63,-1313.9016,-968.70795,-167.96875,52.0,CTSpawn,mezii,76561197973140692,ct,ct,5,24,11,right_arm,t,16793,-1060.714,-1519.1477,-162.06201,35,Jungle,Tauson,76561198316706174,t,m4a1,24,3
94,-1065.1788,-1519.1228,-161.88159,11.0,Jungle,Tauson,76561198316706174,t,ct,3,27,25,chest,t,16795,-1314.5087,-969.2177,-167.96875,52,CTSpawn,mezii,76561197973140692,ct,ak47,27,3
58,-1316.1373,-970.1941,-167.96875,25.0,CTSpawn,mezii,76561197973140692,ct,ct,5,24,0,chest,t,16800,-1066.5089,-1518.2864,-161.8841,11,Jungle,Tauson,76561198316706174,t,m4a1,11,3
95,-1315.5634,-969.97345,-167.96875,25.0,CTSpawn,mezii,76561197973140692,ct,ct,5,24,76,chest,t,16825,-1093.769,-1440.6094,-164.98926,100,Jungle,ztr,76561199009468655,t,m4a1,24,3
91,-1099.9459,-1441.8347,-164.89429,76.0,Jungle,ztr,76561199009468655,t,ct,3,27,0,chest,t,16840,-1314.9824,-970.0831,-167.96875,25,CTSpawn,mezii,76561197973140692,ct,ak47,25,3
91,-1141.4133,-1006.3484,-131.84375,97.0,CTSpawn,ropz,76561197991272318,ct,ct,4,22,54,chest,t,17214,-1186.7317,-1264.6886,-167.96875,76,Jungle,ztr,76561199009468655,t,m4a1,22,3
72,-1137.6306,-1007.08966,-131.84375,97.0,CTSpawn,ropz,76561197991272318,ct,ct,19,90,0,head,t,17220,-1188.4912,-1259.7754,-167.96875,54,Jungle,ztr,76561199009468655,t,m4a1,54,3
96,-248.36267,-2392.951,-163.96875,74.0,BombsiteA,PR,76561198310561479,t,ct,2,3,94,generic,t,17473,-1278.7877,-1103.3773,-167.96875,97,CTSpawn,ropz,76561197991272318,ct,hegrenade,3,3
93,-359.85254,-1970.1859,-175.07483,100.0,BombsiteA,acoR,76561198002942763,t,ct,3,26,68,chest,t,17541,-1288.0288,-1164.6969,-167.96875,94,CTSpawn,ropz,76561197991272318,ct,ak47,26,3
90,-360.10315,-1970.4758,-175.11005,100.0,BombsiteA,acoR,76561198002942763,t,ct,3,26,42,chest,t,17548,-1289.4944,-1166.3695,-167.96875,68,CTSpawn,ropz,76561197991272318,ct,ak47,26,3
87,-360.99023,-1971.5037,-175.23456,100.0,BombsiteA,acoR,76561198002942763,t,ct,3,26,16,neck,t,17554,-1288.6725,-1165.3761,-167.96875,42,CTSpawn,ropz,76561197991272318,ct,ak47,26,3
75,-408.90808,414.3424,-101.901184,100.0,Underpass,REZ,76561198034172415,t,ct,12,83,0,head,t,18998,-1051.2152,626.06006,-79.96875,16,Apartments,ropz,76561197991272318,ct,ak47,16,3
100,436.2998,422.38983,-259.36755,100.0,SideAlley,REZ,76561198034172415,t,ct,0,1,99,generic,t,21048,-1204.7782,-665.267,-167.96875,100,SnipersNest,ZywOo,76561198113666193,ct,smokegrenade,1,4
100,-521.2812,608.0871,-80.5603,100.0,BackAlley,Tauson,76561198316706174,t,ct,0,1,99,generic,t,21655,-839.43774,88.21566,-165.96875,100,Catwalk,ropz,76561197991272318,ct,inferno,1,4
100,-499.3186,602.52905,-80.55542,100.0,BackAlley,Tauson,76561198316706174,t,ct,0,2,97,generic,t,21668,-856.8157,131.83954,-171.97266,99,Catwalk,ropz,76561197991272318,ct,inferno,2,4
100,-477.5692,596.3834,-80.51959,100.0,BackAlley,Tauson,76561198316706174,t,ct,0,3,94,generic,t,21681,-876.03,176.61969,-173.05896,97,Catwalk,ropz,76561197991272318,ct,inferno,3,4
100,-1154.9415,-816.2442,-167.96875,100.0,CTSpawn,apEX,76561197989744167,ct,ct,0,0,100,generic,t,23290,-1154.9415,-816.2442,-167.96875,100,CTSpawn,apEX,76561197989744167,ct,hegrenade,0,4
91,-812.2575,-1370.9666,-167.96875,99.0,Jungle,ZywOo,76561198113666193,ct,ct,4,22,78,chest,t,23990,74.6767,-2221.1323,-39.96875,100,PalaceInterior,PR,76561198310561479,t,m4a1,22,4
87,-918.4263,-1465.4049,-167.96875,99.0,Jungle,ZywOo,76561198113666193,ct,ct,4,22,56,chest,t,24131,145.46315,-1960.9187,-58.109375,78,PalaceInterior,PR,76561198310561479,t,m4a1,22,4
94,-544.3043,-1445.5431,-72.3255,100.0,BombsiteA,flameZ,76561197978835160,ct,ct,6,32,68,stomach,t,24248,-416.4751,-1599.2494,-39.96875,100,Stairs,ztr,76561199009468655,t,m4a1,32,4
94,79.579254,-2269.0842,-39.96875,100.0,PalaceInterior,REZ,76561198034172415,t,ct,0,8,60,right_leg,t,24262,-419.56213,-1592.7675,-39.96875,68,Stairs,ztr,76561199009468655,t,ak47,8,4
