entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
340,3394,3843,-1039.2279052734375,-409.60113525390625,-331.16448974609375,100,Underpass,ztr,76561199009468655,t,-1323.3145751953125,-1100.71630859375,-168.0,1
155,7610,7963,-817.9254150390625,-2250.14990234375,-154.546875,100,CTSpawn,flameZ,76561197978835160,ct,389.1965026855469,-1544.3726806640625,-216.0,2
95,8043,8396,-2172.630859375,618.6640014648438,-146.646240234375,100,BombsiteB,mezii,76561197973140692,ct,-1009.5444946289062,691.2119750976562,-44.578758239746094,2
103,13639,14088,345.2859802246094,52.803585052490234,-215.91015625,100,SideAlley,ztr,76561199009468655,t,-1024.047607421875,-636.5746459960938,-261.96875,3
329,13915,14268,-1176.503173828125,-944.1002197265625,-167.96875,100,CTSpawn,ZywOo,76561198113666193,ct,436.7960205078125,-585.4051513671875,-167.4730224609375,3
124,14417,14770,-2171.472412109375,603.0628662109375,-150.25634765625,100,BombsiteB,mezii,76561197973140692,ct,-1123.246337890625,604.961669921875,-77.96875,3
357,15634,15987,-551.9385375976562,-1320.5948486328125,-159.96875,100,BombsiteA,ZywOo,76561198113666193,ct,-622.255859375,-653.4440307617188,-270.8646240234375,3
200,16180,16629,35.9337158203125,-1624.151611328125,-125.578125,59,PalaceInterior,Tauson,76561198316706174,t,-1275.21142578125,-1453.4912109375,-155.55467224121094,3
190,16584,17033,80.54676818847656,-2239.62646484375,-39.96875,100,PalaceInterior,PR,76561198310561479,t,-1200.3052978515625,-1253.202392578125,-165.96875,3
93,18190,18639,-1329.4375,-2283.4296875,-214.1602783203125,100,CTSpawn,acoR,76561198002942763,t,-1608.880859375,-788.6216430664062,-165.96875,3
505,21628,22077,-566.3642578125,609.2509155273438,-79.793701171875,100,BackAlley,Tauson,76561198316706174,t,-762.7257690429688,28.604873657226562,-164.5917510986328,4
506,21732,22181,25.934907913208008,-590.866455078125,-189.33709716796875,100,TopofMid,ztr,76561199009468655,t,-828.6271362304688,-185.343994140625,-165.9990997314453,4
365,24368,24555,-194.58453369140625,-1645.0672607421875,-167.96875,100,BombsiteA,acoR,76561198002942763,t,-1187.967041015625,-1287.1376953125,-168.0,4
284,24806,25159,-834.141845703125,-2262.20068359375,-175.2359619140625,41,BombsiteA,PR,76561198310561479,t,-1549.9334716796875,-2235.4521484375,-249.14080810546875,4
129,28667,29116,-715.729248046875,-1235.9095458984375,-167.96875,86,Connector,ztr,76561199009468655,t,-329.8091125488281,-2172.719482421875,-180.0,5
140,29168,29176,-722.538818359375,-1772.385009765625,-179.96875,57,BombsiteA,acoR,76561198002942763,t,-1219.7679443359375,-1291.8995361328125,-169.8798370361328,5
346,31817,31825,-2127.7763671875,700.2365112304688,-133.44482421875,100,Truck,mezii,76561197973140692,ct,-1187.4664306640625,745.9625244140625,-77.96875,6
314,34938,35074,-1471.8135986328125,805.1390991210938,-47.96875,100,Apartments,PR,76561198310561479,t,-2204.60791015625,749.3382568359375,-111.0,6
363,35552,36001,-1822.159423828125,473.51531982421875,-167.96875,100,BombsiteB,acoR,76561198002942763,t,-1965.390380859375,-645.6021118164062,-151.0,6
277,36156,36228,-1571.9696044921875,482.5592041015625,-168.55242919921875,3,BombsiteB,ztr,76561199009468655,t,-2293.267578125,-323.57769775390625,-165.96875,6
267,42245,42694,-703.1460571289062,-814.9205932617188,-263.96875,100,Middle,REZ,76561198034172415,t,-782.4451293945312,215.56007385253906,-170.95762634277344,7
210,42733,43182,-825.9813842773438,-1306.03564453125,-167.96875,0,Jungle,ztr,76561199009468655,t,-1155.517822265625,-1286.843017578125,-165.96875,7
141,49436,49789,-403.8336181640625,-2202.654052734375,-151.859375,100,BombsiteA,flameZ,76561197978835160,ct,406.843017578125,-1556.419677734375,-224.0,8
375,49627,50076,323.0141906738281,-115.3353271484375,-165.83489990234375,100,TopofMid,REZ,76561198034172415,t,-662.0964965820312,-917.763671875,-223.00164794921875,8
309,50593,50946,-2151.841796875,517.7642211914062,-166.8050537109375,100,BombsiteB,mezii,76561197973140692,ct,-1056.9771728515625,613.5402221679688,-77.96875,8
150,51349,51702,-809.2224731445312,-2235.138671875,-178.65380859375,100,CTSpawn,ZywOo,76561198113666193,ct,388.38140869140625,-1474.12451171875,-173.96875,8
148,52203,52652,-1224.4349365234375,758.1259765625,-79.96875,100,Apartments,Tauson,76561198316706174,t,-2017.047607421875,769.864990234375,-45.96875,8
79,52841,53290,-657.431884765625,-1121.797119140625,-171.0665283203125,79,Connector,PR,76561198310561479,t,-1245.49658203125,-1297.4908447265625,-170.03912353515625,8
155,57963,58316,-767.3156127929688,-1867.2803955078125,-179.96875,100,BombsiteA,flameZ,76561197978835160,ct,403.0050964355469,-1554.846923828125,-224.0,9
143,58323,58676,-2166.167236328125,741.6962280273438,-127.96875,100,Truck,mezii,76561197973140692,ct,-1037.6173095703125,665.6519775390625,-47.423587799072266,9
273,59251,59700,-656.76220703125,581.2506103515625,-81.14483642578125,100,BackAlley,Tauson,76561198316706174,t,-762.7582397460938,27.608295440673828,-164.59420776367188,9
407,65246,65599,-766.4617919921875,-1864.26953125,-179.96875,100,BombsiteA,flameZ,76561197978835160,ct,407.0559997558594,-1553.9635009765625,-224.0,10
214,65754,66107,-2151.684326171875,778.2655029296875,-127.96875,100,Truck,mezii,76561197973140692,ct,-1072.7978515625,651.923828125,-77.96875,10
88,66013,66366,-863.2507934570312,-214.7264404296875,-167.7470703125,100,Catwalk,ropz,76561197991272318,ct,453.44647216796875,-684.255859375,-157.96875,10
142,66397,66750,-1289.509033203125,-978.6102905273438,-167.96875,93,CTSpawn,ZywOo,76561198113666193,ct,-1038.1783447265625,-282.8767395019531,-351.0,10
302,71664,72113,-734.4873046875,-1863.48486328125,-179.96875,100,BombsiteA,flameZ,76561197978835160,ct,259.6181335449219,-1585.127197265625,-176.0,11
294,72004,72453,340.52349853515625,131.11471557617188,-237.9722900390625,100,SideAlley,ztr,76561199009468655,t,-998.6103515625,-670.969970703125,-261.96875,11
80,72037,72390,-1205.80419921875,-974.4448852539062,-113.03125,100,CTSpawn,ZywOo,76561198113666193,ct,438.4884033203125,-608.3370971679688,-167.4539794921875,11
306,72162,72515,-2159.608154296875,568.9609375,-156.816650390625,100,BombsiteB,mezii,76561197973140692,ct,-1135.0584716796875,605.634033203125,-77.96875,11
201,73041,73490,147.4879913330078,-2354.329833984375,-39.96875,100,PalaceInterior,PR,76561198310561479,t,137.76576232910156,-1998.832763671875,-165.96875,11
322,82686,83040,-550.2830200195312,-2227.7841796875,-179.555908203125,100,BombsiteA,flameZ,76561197978835160,ct,344.7371520996094,-1507.1875,-173.96875,12
356,82934,83383,361.8886413574219,150.33682250976562,-244.3892822265625,100,SideAlley,ztr,76561199009468655,t,-1028.654541015625,-647.8963012695312,-261.96875,12
212,83420,83774,-2196.812255859375,684.5143432617188,-101.79144287109375,100,Truck,mezii,76561197973140692,ct,-1153.6678466796875,604.86376953125,-77.96875,12
321,83745,84099,-881.9473876953125,241.1040496826172,-171.62811279296875,100,Catwalk,ropz,76561197991272318,ct,-1015.3473510742188,-405.15802001953125,-344.0,12
366,86082,86436,-1300.23974609375,-2342.560546875,-204.378662109375,100,CTSpawn,apEX,76561197989744167,ct,147.2978973388672,-1622.534912109375,-169.96875,12
372,108988,109342,-1098.6923828125,-2528.9228515625,-167.96875,89,CTSpawn,ztr,76561199009468655,ct,-204.46392822265625,-2121.810302734375,-169.96875,13
285,112850,113299,295.4118347167969,-6.66986083984375,-200.5335693359375,100,TopofMid,apEX,76561197989744167,t,-648.7733764648438,-940.6348266601562,-224.0,14
273,112994,113348,-2260.3134765625,628.8998413085938,-85.4375,100,BombsiteB,ztr,76561199009468655,ct,-1389.4312744140625,707.555908203125,-77.96875,14
112,116263,116712,-1463.3389892578125,781.3876342773438,-47.96875,100,Apartments,apEX,76561197989744167,t,-1399.0733642578125,484.3506164550781,-165.904052734375,14
361,116285,116734,-1510.0906982421875,728.227294921875,-47.96875,100,Apartments,flameZ,76561197978835160,t,-2653.27685546875,344.6883850097656,-164.7198028564453,14
274,120483,120932,-707.7244262695312,-1902.4273681640625,-179.96875,100,BombsiteA,REZ,76561198034172415,ct,415.3719177246094,-1538.819091796875,-232.0,15
342,120856,121146,-1919.0584716796875,327.96728515625,-159.96875,100,BombsiteB,ztr,76561199009468655,ct,-1345.9881591796875,700.6412963867188,-77.96875,15
377,123023,123377,-753.737060546875,26.203094482421875,-164.32806396484375,100,Catwalk,PR,76561198310561479,ct,-1026.1177978515625,-651.2034301757812,-261.96875,15
337,123914,124268,-1147.6005859375,-944.194580078125,-167.96875,100,CTSpawn,acoR,76561198002942763,ct,-978.771484375,-462.518798828125,-295.0,15
330,128184,128454,-720.8606567382812,-1845.3974609375,-179.96875,100,BombsiteA,acoR,76561198002942763,ct,294.586669921875,-1580.8857421875,-176.0,16
132,128332,128781,236.567138671875,-2.978271484375,-196.5390625,100,TopofMid,ZywOo,76561198113666193,t,-776.5308227539062,-903.0086059570312,-165.96875,16
80,128414,128768,-1553.765869140625,166.68368530273438,-168.48583984375,100,BombsiteB,REZ,76561198034172415,ct,-1532.035400390625,754.2435302734375,-45.96875,16
510,128466,128820,-1247.96826171875,-856.03125,-129.96875,100,SnipersNest,ztr,76561199009468655,ct,450.779296875,-644.6143798828125,-159.96875,16
327,128714,129068,-812.2483520507812,-241.1624755859375,-159.96875,100,Catwalk,PR,76561198310561479,ct,-1013.7481079101562,-376.3645324707031,-360.0,16
295,129281,129730,243.32398986816406,-474.9903564453125,-164.4234619140625,87,TopofMid,flameZ,76561197978835160,t,-675.6505126953125,-382.5120849609375,-166.1478271484375,16
71,130792,131241,-1033.0863037109375,-411.18853759765625,-330.37078857421875,100,Underpass,apEX,76561197989744167,t,-530.2759399414062,-1046.6927490234375,-151.0,16
151,132663,133112,297.5863952636719,-1602.129638671875,-175.96875,100,TRamp,mezii,76561197973140692,t,-462.37652587890625,-1538.254638671875,-37.96875,16
334,133245,133694,210.7813720703125,-1534.736328125,-175.96875,5,PalaceInterior,ropz,76561197991272318,t,-1172.5113525390625,-1262.0450439453125,-165.96875,16
333,135584,136033,275.64599609375,-49.3973388671875,-187.1597900390625,100,TopofMid,apEX,76561197989744167,t,-687.153564453125,-895.8756103515625,-231.0,17
89,136269,136718,-1291.188720703125,664.0322875976562,-79.96875,78,Apartments,flameZ,76561197978835160,t,-2060.26806640625,761.534912109375,-45.96875,17
325,138337,138786,-1105.2685546875,643.687255859375,-79.96875,86,Apartments,ZywOo,76561198113666193,t,-2238.3662109375,752.3941040039062,-125.96875,17
284,140737,141186,-1867.1207275390625,728.7261962890625,-47.96875,100,Apartments,ropz,76561197991272318,t,-2236.086181640625,-117.37731170654297,-168.71017456054688,17
277,142933,143287,-753.6852416992188,-2154.275634765625,-147.609375,100,BombsiteA,Tauson,76561198316706174,ct,345.7200012207031,-1500.0341796875,-173.96875,18
342,143238,143687,276.1207275390625,66.32948303222656,-215.2862548828125,100,SideAlley,ZywOo,76561198113666193,t,-610.3091430664062,-955.651611328125,-207.0,18
361,143287,143641,-2164.56884765625,785.4314575195312,-127.96875,100,Truck,ztr,76561199009468655,ct,-1353.23974609375,708.4886474609375,-77.96875,18
104,145883,,-502.4813232421875,-627.5623779296875,-274.5989990234375,54,Middle,ZywOo,76561198113666193,t,-573.1778564453125,-1042.302490234375,-165.96875,18
74,148383,148832,281.7137756347656,131.42636108398438,-233.146484375,100,SideAlley,apEX,76561197989744167,t,-697.5393676757812,-885.54736328125,-239.0,19
286,149480,149929,-1435.7225341796875,754.2839965820312,-47.96875,100,Apartments,ZywOo,76561198113666193,t,-2187.885498046875,742.7337646484375,-125.96875,19
169,150167,150616,-1812.3994140625,-39.7904052734375,-165.71875,100,BombsiteB,flameZ,76561197978835160,t,-2140.476318359375,-694.4102783203125,-69.0951156616211,19
272,151889,152338,-1499.9700927734375,760.4972534179688,-47.96875,100,Apartments,mezii,76561197973140692,t,-393.34393310546875,405.48858642578125,-95.0,19
327,151912,152361,-1437.1273193359375,133.78627014160156,-167.1849365234375,100,BombsiteB,ropz,76561197991272318,t,-1036.771240234375,-93.62073516845703,-165.96875,19
300,156991,157345,-750.906005859375,-2119.894287109375,-177.796875,100,BombsiteA,Tauson,76561198316706174,ct,319.8502197265625,-1489.91943359375,-173.96875,20
339,157228,157677,353.77923583984375,-35.55999755859375,-193.20147705078125,100,TopofMid,flameZ,76561197978835160,t,-626.3951416015625,-931.0505981445312,-215.0,20
181,157373,157688,-2144.473876953125,714.36181640625,-98.5625,100,Truck,ztr,76561199009468655,ct,-1394.002197265625,682.6591186523438,-31.0,20
297,157516,157870,-1210.3502197265625,-956.0264282226562,-167.96875,100,SnipersNest,PR,76561198310561479,ct,474.51885986328125,-616.4673461914062,-161.4298553466797,20
359,158192,158641,-271.41461181640625,-742.8131103515625,-253.96875,100,Middle,ZywOo,76561198113666193,t,-550.8793334960938,-1072.5087890625,-165.96875,20
353,159828,160277,-799.6520385742188,-706.1589965820312,-268.1431884765625,99,Middle,apEX,76561197989744167,t,-1159.94970703125,-261.7208251953125,-39.0,20
79,161432,161881,-1543.486328125,396.1776123046875,-168.1990966796875,84,BombsiteB,ropz,76561197991272318,t,-992.2467041015625,-107.51744079589844,-165.96875,20
103,166048,166184,204.90940856933594,-216.4119873046875,-167.91046142578125,100,TopofMid,flameZ,76561197978835160,t,-694.302001953125,-929.1192626953125,-229.96875,21
327,166233,166587,-1651.584716796875,529.3665771484375,-167.96875,100,BombsiteB,ztr,76561199009468655,ct,-1061.2852783203125,646.0614624023438,-63.0,21
511,166399,166753,-1184.7874755859375,-530.3826293945312,-167.96875,86,SnipersNest,acoR,76561198002942763,ct,480.97711181640625,-727.8273315429688,-161.22032165527344,21
356,166884,167333,-749.7503662109375,-2244.377197265625,-179.96875,100,BombsiteA,ropz,76561197991272318,t,-502.4052734375,-1381.3546142578125,-110.99729919433594,21
271,166903,167352,-12.05438232421875,-1571.1314697265625,-168.3631591796875,100,BombsiteA,mezii,76561197973140692,t,-499.7895812988281,-1568.0062255859375,-37.96875,21
357,167438,167792,-641.2371826171875,-1257.2772216796875,-167.96875,60,Connector,REZ,76561198034172415,ct,-494.01959228515625,-2016.2216796875,-177.96875,21
183,168042,168268,-6.614013671875,-1551.52783203125,-168.9072265625,38,BombsiteA,apEX,76561197989744167,t,-986.1762084960938,-2448.478759765625,-165.96875,21
369,171439,171888,-753.1513061523438,-1846.6695556640625,-179.96875,100,BombsiteA,acoR,76561198002942763,ct,308.2686462402344,-1567.1966552734375,-176.0,22
317,171812,172166,-1165.538330078125,-924.546875,-167.96875,100,SnipersNest,REZ,76561198034172415,ct,330.6986999511719,-586.7603149414062,-85.99100494384766,22
287,171874,172228,-2138.712890625,825.061767578125,-81.21875,100,Truck,ztr,76561199009468655,ct,-1032.2747802734375,608.1415405273438,-77.96875,22
208,172647,173001,-781.670654296875,-34.348388671875,-166.77923583984375,100,Catwalk,PR,76561198310561479,ct,408.7228088378906,-612.5956420898438,-165.24928283691406,22
347,172738,173187,131.36920166015625,-491.1072998046875,-169.748779296875,100,TopofMid,flameZ,76561197978835160,t,-808.5537719726562,-266.097900390625,-165.6383819580078,22
94,173101,173550,-1077.798095703125,635.2366943359375,-79.96875,100,Apartments,mezii,76561197973140692,t,-2187.037353515625,746.5582275390625,-125.96875,22
368,174144,174593,-1004.86669921875,-786.4422607421875,-263.96875,100,Middle,apEX,76561197989744167,t,-1191.7735595703125,-360.5854797363281,-53.96875,22
344,175393,175842,-330.6832275390625,-765.30078125,-261.7825927734375,100,Middle,ZywOo,76561198113666193,t,-551.4447021484375,-1049.9039306640625,-165.96875,22
