assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-1111.4681,801.9673,-79.96875,100,Apartments,ropz,76561197991272318,ct,false,false,ct,7.530899,0,132,0,true,head,false,false,0,0,t,false,3206,-984.329,536.0318,-79.96875,100,BackAlley,Tauson,76561198316706174,t,usp_silencer,17293822569135734845,43490047096,"",0,1
false,,,,,,,,,47.665676,-2072.5894,-39.96875,100,PalaceInterior,PR,76561198310561479,t,false,false,ct,15.084663,6,11,0,false,chest,false,false,0,0,t,false,3844,-458.12854,-2357.9683,-167.96875,2,BombsiteA,apEX,76561197989744167,ct,glock,17293822569131343876,38970220231,"",0,1
false,,,,,,,,,-520.03125,-984.03125,-167.96875,81,Connector,ZywOo,76561198113666193,ct,false,false,ct,6.4181986,0,133,0,true,head,false,false,0,0,t,false,3977,-759.96875,-1071.5209,-167.96875,100,Connector,ztr,76561199009468655,t,usp_silencer,17293822569135734845,14293785255,"",0,1
false,,,,,,,,,-845.3245,-2336.707,-170.93054,100,BombsiteA,PR,76561198310561479,t,false,false,ct,14.926905,0,24,0,false,chest,false,false,0,0,t,false,4386,-1424.59,-2262.6956,-235.22388,1,CTSpawn,mezii,76561197973140692,ct,glock,17293822569131343876,38970220231,"",0,1
false,,,,,,,,,-608.2354,-1215.3022,-167.96875,81,Connector,ZywOo,76561198113666193,ct,false,false,ct,14.459324,0,125,0,true,head,false,false,0,0,t,false,4720,-689.5768,-1774.8011,-179.96875,100,BombsiteA,REZ,76561198034172415,t,usp_silencer,17293822569135734845,14293785255,"",0,1
false,,,,,,,,,-1410.8411,-2332.0015,-227.20288,100,CTSpawn,flameZ,76561197978835160,ct,false,false,ct,13.748198,0,126,0,true,head,false,false,0,0,t,false,4850,-872.401,-2356.995,-167.96875,100,BombsiteA,PR,76561198310561479,t,usp_silencer,17293822569135734845,34768257646,"",0,1
false,,,,,,,,,-838.5204,-2535.4414,-35.96875,100,CTSpawn,ropz,76561197991272318,ct,false,false,ct,45.800976,0,99,0,true,head,false,false,0,0,t,false,5429,-608.51953,-761.31903,-261.96875,1,Middle,acoR,76561198002942763,t,usp_silencer,17293822569135734845,43490047096,"",0,1
false,,,,,,,,,-2038.8021,695.6741,-47.96875,100,Apartments,mezii,76561197973140692,ct,false,false,ct,9.680126,0,23,0,false,chest,false,false,0,0,t,false,10022,-1697.7743,863.96625,-47.96875,7,Apartments,REZ,76561198034172415,t,mp9,17293822569177022498,40458558849,"",0,2
false,,,,,,,,,110.60191,-1418.2797,-175.96875,100,PalaceInterior,PR,76561198310561479,t,false,false,ct,20.746593,0,158,0,true,head,false,false,0,0,t,false,10311,-147.80786,-2196.583,-167.96875,100,BombsiteA,apEX,76561197989744167,ct,deagle,17293822569102704641,0,"",0,2
false,,,,,,,,,-564.5896,-2291.963,-174.487,100,BombsiteA,flameZ,76561197978835160,ct,false,false,ct,25.97627,0,116,0,true,head,false,false,0,0,t,false,10380,107.86177,-1523.4672,-175.96875,34,PalaceInterior,PR,76561198310561479,t,m4a1_silencer,17293822569179840572,41455687841,"",0,2
