round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1266,5553,5873,ct,bomb_defused,4351,bombsite_b
2,5873,7153,11407,11727,ct,t_killed,,not_planted
3,11727,13007,18998,19318,t,ct_killed,17446,bombsite_b
4,19318,20598,25438,25758,t,ct_killed,25080,bombsite_b
5,25758,27038,29412,29732,t,ct_killed,,not_planted
6,29732,31012,37239,37559,t,ct_killed,,not_planted
7,37559,38839,45311,45631,ct,t_killed,,not_planted
8,45631,48989,53633,53953,ct,t_killed,,not_planted
9,53953,57541,63257,63577,ct,t_killed,,not_planted
10,63577,64857,69636,69956,ct,t_killed,,not_planted
11,69956,71236,78153,78473,ct,bomb_defused,76548,bombsite_b
12,78473,82279,88007,88551,t,ct_killed,87028,bombsite_b
13,88551,105822,110621,110941,ct,bomb_defused,108308,bombsite_b
14,110941,112221,118479,118799,ct,t_killed,,not_planted
15,118799,120079,126162,126482,ct,t_killed,,not_planted
16,126482,127762,133401,133721,t,ct_killed,,not_planted
17,133721,135001,140900,141220,t,ct_killed,,not_planted
18,141220,142500,145965,146285,t,ct_killed,,not_planted
19,146285,147565,152884,153204,t,bomb_exploded,150260,bombsite_b
20,153204,156605,163783,164103,t,bomb_exploded,161159,bombsite_b
21,164103,165383,169453,169773,ct,bomb_defused,167457,bombsite_b
22,169773,171053,176488,176488,t,ct_killed,,not_planted
