tick,event,X,Y,Z,steamid,name,bombsite,round_num
3076,drop,1101.8093,-2469.3037,-415.96875,76561197973140692,mezii,,1
5668,pickup,1127.3982,-2329.917,-415.96875,76561197991272318,ropz,,1
6691,plant,635.16016,-1256.0315,-768.84375,76561197991272318,ropz,BombsiteB,1
7762,defuse,694.6713,-1260.2426,-769.96875,76561198316706174,Tauson,BombsiteB,1
8082,pickup,1101.8093,-2469.3037,-415.96875,76561197973140692,mezii,,2
14726,drop,552.4739,452.00198,-524.1278,76561197973140692,mezii,,2
15762,pickup,821.00793,-935.6258,-771.96875,76561197978835160,flameZ,,3
17515,drop,-662.69763,-1222.9967,-415.96875,76561197978835160,flameZ,,3
17622,pickup,-505.74304,-1242.9165,-415.96875,76561197978835160,flameZ,,3
20475,drop,468.29813,-2300.7095,-415.96875,76561197978835160,flameZ,,3
22369,pickup,139.79198,-2088.8608,-415.96875,76561197991272318,ropz,,3
23172,drop,836.87994,-1828.3895,-407.96875,76561197991272318,ropz,,3
23492,pickup,664.224,-2213.8997,-287.96875,76561198113666193,ZywOo,,4
25181,drop,-584.6166,-734.37683,-415.96875,76561198113666193,ZywOo,,4
26140,pickup,-337.9807,-716.9,-415.96875,76561198113666193,ZywOo,,4
26817,drop,163.99838,-1004.8923,-415.96875,76561198113666193,ZywOo,,4
27033,pickup,126.88458,-952.8876,-415.96875,76561197973140692,mezii,,4
29057,plant,773.33936,-605.97156,-399.96832,76561197973140692,mezii,BombsiteA,4
31681,detonate,1540.729,-2446.1782,-559.96875,76561197973140692,mezii,,4
32001,pickup,1472.0231,-2223.9688,-639.96875,76561197989744167,apEX,,5
35842,drop,-1000.77686,-1091.7332,-415.96875,76561197989744167,apEX,,5
36582,pickup,-574.7071,-1032.4122,-415.96875,76561197978835160,flameZ,,5
37227,drop,-119.10571,-875.40894,-415.96875,76561197978835160,flameZ,,5
37241,pickup,-171.61737,-753.20844,-415.96875,76561197991272318,ropz,,5
38020,drop,-24.110596,-1062.0032,-415.96875,76561197991272318,ropz,,5
38051,pickup,141.9256,-939.47314,-415.96875,76561197978835160,flameZ,,5
40404,plant,668.7958,-775.6369,-415.96875,76561197978835160,flameZ,BombsiteA,5
42515,pickup,1642.7411,-688.73315,-301.96875,76561197991272318,ropz,,6
43631,drop,-1929.0,-1025.0,-415.96875,76561197991272318,ropz,,6
43638,pickup,-1947.01,-1102.11,-415.96875,76561197989744167,apEX,,6
43863,drop,-1730.5127,-1134.9464,-415.96875,76561197989744167,apEX,,6
43870,pickup,-1637.5542,-1117.6698,-415.96875,76561197978835160,flameZ,,6
44088,drop,-811.5614,-983.93335,-413.96875,76561197978835160,flameZ,,6
44487,pickup,-559.68805,-955.07166,-415.96875,76561197973140692,mezii,,6
46702,plant,764.25464,-604.94714,-399.96826,76561197973140692,mezii,BombsiteA,6
48878,pickup,1528.6166,-2406.588,-495.0625,76561197973140692,mezii,,7
54139,drop,517.78796,-1220.5964,-415.96875,76561197973140692,mezii,,7
54565,pickup,901.23224,-1270.4073,-415.96875,76561197978835160,flameZ,,8
55381,drop,-1808.0,-1089.0,-415.96875,76561197978835160,flameZ,,8
55388,pickup,-1808.0,-1025.0,-415.96875,76561197989744167,apEX,,8
56114,drop,-884.4457,-1121.2313,-413.96875,76561197989744167,apEX,,8
57325,pickup,-610.7584,-1108.3502,-415.96875,76561197973140692,mezii,,8
58472,drop,954.9249,-1676.9336,-415.96875,76561197973140692,mezii,,8
58591,pickup,826.6174,-1665.8665,-415.96875,76561197978835160,flameZ,,8
61939,drop,841.98303,-1088.9543,-765.3281,76561197978835160,flameZ,,8
62259,pickup,910.3913,-1680.0211,-415.96875,76561198113666193,ZywOo,,9
65906,drop,-684.10645,-1262.9137,-415.96875,76561198113666193,ZywOo,,9
69329,pickup,-511.5097,-1308.5126,-415.96875,76561197973140692,mezii,,9
71468,drop,543.16156,-757.10986,-399.96875,76561197973140692,mezii,,9
71788,pickup,1247.972,-2056.6255,-407.96875,76561197989744167,apEX,,10
73275,drop,-1138.2235,-1108.1353,-415.96875,76561197989744167,apEX,,10
73288,pickup,-993.9712,-1042.3278,-415.96875,76561198113666193,ZywOo,,10
73346,drop,-798.9749,-931.1285,-413.96875,76561198113666193,ZywOo,,10
73638,pickup,-593.2609,-845.0409,-415.96875,76561197978835160,flameZ,,10
77126,drop,381.03262,-919.64734,-391.87964,76561197978835160,flameZ,,10
77173,pickup,467.5735,-864.40314,-391.96875,76561198113666193,ZywOo,,10
77355,drop,335.0316,-682.57214,-415.96875,76561198113666193,ZywOo,,10
77675,pickup,231.3403,-1249.1316,-415.96875,76561197991272318,ropz,,11
79186,drop,-987.01886,-1032.1534,-415.96875,76561197991272318,ropz,,11
79397,pickup,-652.7281,-996.77545,-415.96875,76561197978835160,flameZ,,11
83964,pickup,391.69907,-1079.6017,-585.96875,76561197973140692,mezii,,12
91094,drop,810.8796,-949.22546,-415.00916,76561197973140692,mezii,,12
108745,drop,919.3028,-253.75531,-639.96875,76561198034172415,REZ,,13
110037,pickup,833.51733,-453.39648,-746.3281,76561198316706174,Tauson,,13
110463,plant,847.44507,-835.30414,-765.96875,76561198316706174,Tauson,BombsiteB,13
112621,defuse,837.1077,-777.8501,-767.96875,76561197989744167,apEX,BombsiteB,13
112941,pickup,438.1985,-34.277893,-639.96875,76561198002942763,acoR,,14
114713,drop,-587.1092,-1416.5231,-361.10938,76561198002942763,acoR,,14
114951,pickup,-665.9636,-1364.4584,-415.96875,76561199009468655,ztr,,14
117125,drop,1064.0293,-1463.8745,-639.96875,76561199009468655,ztr,,14
118874,pickup,1140.7909,-1418.6925,-639.96875,76561198316706174,Tauson,,15
120656,drop,-410.3756,-1636.9556,-415.96875,76561198316706174,Tauson,,15
120745,pickup,-347.85645,-1575.7896,-415.96875,76561199009468655,ztr,,15
124592,drop,861.5768,-1082.3239,-767.96875,76561199009468655,ztr,,15
125474,pickup,864.2175,-1081.5685,-767.96875,76561199009468655,ztr,,16
127073,drop,-852.8183,-1002.48474,-413.96875,76561199009468655,ztr,,16
128184,pickup,-804.50226,-898.33594,-415.96875,76561198002942763,acoR,,16
130809,drop,178.39291,-955.01044,-415.96875,76561198002942763,acoR,,16
132385,pickup,-25.50409,-1275.4879,-415.96875,76561198310561479,PR,,17
132470,drop,-1874.0,-1076.0,-415.96875,76561198310561479,PR,,17
132477,pickup,-1808.0,-1089.0,-415.96875,76561198316706174,Tauson,,17
135060,drop,827.31934,-1247.6864,-415.96875,76561198316706174,Tauson,,17
135467,pickup,532.73663,-825.69727,-399.96875,76561198034172415,REZ,,18
137089,drop,-725.70294,-1097.7897,-415.96875,76561198034172415,REZ,,18
137345,pickup,-540.8099,-1272.277,-415.96875,76561199009468655,ztr,,18
139470,drop,1219.9319,-2356.3,-415.96875,76561199009468655,ztr,,18
143762,pickup,899.6178,-2479.5703,-415.96875,76561198002942763,acoR,,19
