armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
91,1234.7848,-587.0912,-239.96875,100.0,Catwalk,REZ,76561198034172415,ct,ct,9,18,82,stomach,t,2366,1073.2644,-1531.7446,-339.10938,100,Outside,flameZ,76561197978835160,t,hkp2000,18,1
91,,,,,,,,,ct,0,7,75,generic,t,2373,1069.7299,-1507.4042,-401.09375,82,Outside,flameZ,76561197978835160,t,"",7,1
100,238.31294,52.018208,-415.96875,100.0,Control,ropz,76561197991272318,t,ct,0,96,4,head,t,2584,926.9267,21.247059,-351.15625,100,Ramp,acoR,76561198002942763,ct,glock,96,1
91,1193.5675,-639.1128,-415.96875,100.0,LockerRoom,PR,76561198310561479,ct,ct,0,102,0,head,t,2589,1052.9901,-1346.906,-407.96875,75,Outside,flameZ,76561197978835160,t,hkp2000,75,1
93,239.91173,86.173904,-415.96875,100.0,Control,ropz,76561197991272318,t,ct,7,13,0,stomach,t,2609,1024.3607,36.467213,-415.96875,4,Admin,acoR,76561198002942763,ct,glock,4,1
100,1222.8497,-586.91644,-239.96875,100.0,Catwalk,REZ,76561198034172415,ct,ct,0,97,3,head,t,2630,1066.3384,-2472.4185,-415.96875,100,Outside,ZywOo,76561198113666193,t,hkp2000,97,1
94,1136.6515,-639.40784,-415.96875,100.0,LockerRoom,PR,76561198310561479,ct,ct,6,12,88,chest,t,2638,1221.0054,-2441.6646,-415.96875,100,Outside,mezii,76561197973140692,t,hkp2000,12,1
94,1201.2062,-594.44293,-239.96875,100.0,Catwalk,REZ,76561198034172415,ct,ct,6,12,0,chest,t,2706,1030.0399,-2466.3833,-415.96875,3,Outside,ZywOo,76561198113666193,t,hkp2000,3,1
95,1159.0723,-1738.4205,-415.96875,100.0,Outside,apEX,76561197989744167,t,ct,5,9,91,chest,t,2791,1227.928,-596.2038,-239.96875,100,Catwalk,REZ,76561198034172415,ct,glock,9,1
90,1170.4766,-1723.639,-415.96875,100.0,Outside,apEX,76561197989744167,t,ct,5,9,82,chest,t,2809,1226.2845,-595.98956,-239.96875,91,Catwalk,REZ,76561198034172415,ct,glock,9,1
0,1204.4291,-633.962,-415.96875,100.0,LockerRoom,PR,76561198310561479,ct,ct,0,28,72,chest,t,2928,1019.2818,-1656.6896,-415.96875,100,Outside,apEX,76561197989744167,t,hkp2000,28,1
86,1127.1084,-2473.0127,-415.96875,88.0,Outside,mezii,76561197973140692,t,ct,4,7,75,chest,t,2994,1400.5481,-534.11176,-222.96875,82,Catwalk,REZ,76561198034172415,ct,glock,7,1
89,1411.0087,-535.5971,-222.96875,75.0,Catwalk,REZ,76561198034172415,ct,ct,5,12,76,chest,t,3024,1107.9576,-2470.1997,-415.96875,88,Outside,mezii,76561197973140692,t,hkp2000,12,1
84,1409.3555,-535.334,-222.96875,75.0,Catwalk,REZ,76561198034172415,ct,ct,5,12,64,chest,t,3041,1123.0627,-2472.5107,-415.96875,76,Outside,mezii,76561197973140692,t,hkp2000,12,1
84,1417.1216,-536.5125,-222.96875,75.0,Catwalk,REZ,76561198034172415,ct,ct,0,96,0,head,t,3076,1101.8093,-2469.3037,-415.96875,64,Outside,mezii,76561197973140692,t,hkp2000,64,1
0,1526.6003,-510.9901,-415.96875,100.0,Outside,PR,76561198310561479,ct,ct,0,30,42,chest,t,3135,1348.5773,-1188.8145,-415.96875,72,Outside,apEX,76561197989744167,t,hkp2000,30,1
0,1403.5325,-685.31506,-223.46875,75.0,Catwalk,REZ,76561198034172415,ct,ct,0,31,11,chest,t,3168,1395.9918,-1188.9666,-415.96875,42,Outside,apEX,76561197989744167,t,hkp2000,31,1
0,1403.1622,-688.15454,-223.46875,75.0,Catwalk,REZ,76561198034172415,ct,ct,0,31,0,chest,t,3183,1399.0375,-1189.561,-415.96875,11,Outside,apEX,76561197989744167,t,hkp2000,11,1
100,1374.1448,-2384.0361,-454.7256,100.0,Secret,ropz,76561197991272318,t,ct,0,93,7,head,t,5448,612.42004,-2374.4033,-415.96875,100,Outside,ztr,76561199009468655,ct,glock,93,1
0,580.08496,-2312.6367,-415.96875,7.0,Outside,ztr,76561199009468655,ct,ct,0,26,74,chest,t,5489,1374.2266,-2384.0315,-454.78015,100,Secret,ropz,76561197991272318,t,elite,26,1
93,1372.9294,-2395.2185,-453.9154,74.0,Secret,ropz,76561197991272318,t,ct,7,13,0,stomach,t,5510,571.62573,-2306.619,-415.96875,7,Outside,ztr,76561199009468655,ct,glock,7,1
95,515.56537,-1243.1951,-769.96875,74.0,BombsiteB,ropz,76561197991272318,t,ct,5,9,91,chest,t,6800,860.563,-24.704468,-639.96875,100,Ramp,PR,76561198310561479,ct,glock,9,1
0,892.3595,-236.60034,-639.96875,100.0,BombsiteB,Tauson,76561198316706174,ct,ct,0,114,0,head,t,6804,512.8103,-1242.7336,-769.96875,74,BombsiteB,ropz,76561197991272318,t,hkp2000,74,1
90,543.136,-1232.9946,-415.96875,100.0,BombsiteA,ztr,76561199009468655,ct,ct,10,16,84,generic,t,10726,-304.03278,-909.39166,-415.96875,100,Lobby,ropz,76561197991272318,t,hegrenade,16,2
100,170.11664,130.25655,-415.96875,100.0,Control,mezii,76561197973140692,t,ct,0,147,0,head,t,14456,1214.7429,-12.010742,-415.96875,100,Admin,acoR,76561198002942763,ct,deagle,100,2
100,588.70703,-13.943237,-639.96875,100.0,Ramp,PR,76561198310561479,ct,ct,0,23,77,right_leg,t,14691,558.35376,488.41498,-410.21875,100,Ramp,mezii,76561197973140692,t,m4a1,23,2
95,592.02295,-13.786316,-639.96875,100.0,Ramp,PR,76561198310561479,ct,ct,5,27,50,stomach,t,14697,568.60706,476.11383,-433.21875,77,Ramp,mezii,76561197973140692,t,m4a1,27,2
91,591.8345,-13.762207,-639.96875,100.0,Ramp,PR,76561198310561479,ct,ct,4,22,28,chest,t,14703,566.6603,462.34143,-463.23438,50,Ramp,mezii,76561197973140692,t,m4a1,22,2
87,591.3345,-13.844788,-639.96875,100.0,Ramp,PR,76561198310561479,ct,ct,4,22,6,chest,t,14714,550.52313,448.88397,-525.1336,28,Ramp,mezii,76561197973140692,t,m4a1,22,2
