entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
362,9967,10320,826.0955200195312,-618.4869384765625,-137.90625,100,Rafters,Tauson,76561198316706174,ct,292.475830078125,-966.501708984375,-389.96875,2
340,9984,10197,725.451171875,-819.2433471679688,-226.109375,100,Rafters,ztr,76561199009468655,ct,218.70220947265625,-1205.3385009765625,-413.96875,2
127,11530,11979,1266.2054443359375,-1931.69921875,-639.96875,100,Tunnels,apEX,76561197989744167,t,1199.0701904296875,-1076.4652099609375,-701.96875,2
348,14108,14557,1079.2716064453125,-1264.441162109375,-645.0016479492188,100,Tunnels,flameZ,76561197978835160,t,433.99591064453125,-1434.9913330078125,-591.0,2
461,17545,17898,1786.9051513671875,-1527.530029296875,-415.96875,100,Outside,REZ,76561198034172415,ct,185.3590087890625,-2110.956298828125,-416.0,3
367,17618,17971,780.5327758789062,98.23230743408203,-414.96875,100,Ramp,PR,76561198310561479,ct,81.74312591552734,-55.86061096191406,-413.96875,3
221,17675,18028,898.8556518554688,-303.8770751953125,-127.96875,100,Rafters,Tauson,76561198316706174,ct,289.53643798828125,-976.5372924804688,-389.96875,3
196,17678,18031,750.8458862304688,-825.4024658203125,-228.9375,100,Rafters,ztr,76561199009468655,ct,283.8010559082031,-1224.2529296875,-416.0,3
524,25231,25584,1374.73828125,-1296.50390625,-360.546875,100,Outside,REZ,76561198034172415,ct,809.3358154296875,-1931.1884765625,-416.0,4
531,25422,25775,771.670654296875,306.0618591308594,-362.328125,100,Ramp,PR,76561198310561479,ct,91.33251953125,-73.94198608398438,-413.96875,4
532,25443,25700,777.2826538085938,-304.784912109375,-127.96875,100,Rafters,Tauson,76561198316706174,ct,217.94082641601562,-1213.8758544921875,-416.0,4
547,26827,27276,1.7484745979309082,-823.8739013671875,-21.96875,100,Roof,mezii,76561197973140692,t,419.563232421875,-1022.75830078125,-256.0,4
548,26836,27285,-209.6187744140625,-539.6403198242188,-105.96875,100,Roof,apEX,76561197989744167,t,307.52386474609375,-746.03369140625,-128.0,4
553,26920,27369,150.90724182128906,-1193.753662109375,-415.96875,100,Squeaky,ropz,76561197991272318,t,918.34423828125,-1339.698974609375,-413.96875,4
569,27751,28200,519.5477294921875,-926.5365600585938,-388.421875,82,BombsiteA,flameZ,76561197978835160,t,1065.2779541015625,-324.7403869628906,-125.96875,4
809,36209,36479,667.16015625,-630.2791137695312,-206.96875,100,Rafters,Tauson,76561198316706174,ct,216.09921264648438,-1196.218994140625,-412.97027587890625,5
810,36236,36589,699.630615234375,350.1181640625,-377.65625,100,Ramp,acoR,76561198002942763,ct,104.01337432861328,-144.16537475585938,-413.96875,5
823,37780,38229,-210.2392578125,-539.4309692382812,-55.984375,100,Roof,apEX,76561197989744167,t,307.7191162109375,-745.1644287109375,-128.0,5
824,37787,38140,804.8170166015625,-567.7879028320312,-289.09375,100,Rafters,Tauson,76561198316706174,ct,284.04345703125,-991.0742797851562,-389.96875,5
826,37807,38256,69.73728942871094,-817.41015625,-26.75,100,Roof,mezii,76561197973140692,t,444.5994567871094,-1054.3377685546875,-106.96875,5
833,38365,38814,-31.11712646484375,-1142.2752685546875,-415.46875,100,Lobby,ropz,76561197991272318,t,897.4545288085938,-1346.57958984375,-416.0,5
840,39415,39768,-105.9698486328125,-635.1210327148438,-40.53125,100,Roof,apEX,76561197989744167,t,433.07806396484375,-983.6131591796875,-256.0,5
218,45805,46254,-9.78399658203125,-406.217529296875,-415.46875,85,Trophy,flameZ,76561197978835160,t,310.0882873535156,113.61405944824219,-413.96875,6
536,46238,46687,337.6057434082031,-727.7361450195312,-408.1383056640625,100,BombsiteA,mezii,76561197973140692,t,1144.7540283203125,-363.0843811035156,-125.67396545410156,6
307,50540,50701,1519.1549072265625,-1164.1282958984375,-415.96875,100,Outside,REZ,76561198034172415,ct,746.6903076171875,-2134.655517578125,-413.96875,7
111,50763,51059,738.0440063476562,296.7168273925781,-363.09375,100,Ramp,PR,76561198310561479,ct,97.65791320800781,-89.33019256591797,-413.96875,7
102,50786,50922,827.8150634765625,-871.35302734375,-313.328125,100,Rafters,ztr,76561199009468655,ct,276.65374755859375,-1264.0389404296875,-416.0,7
587,53032,53481,109.50299072265625,-1194.6519775390625,-415.96875,14,Squeaky,flameZ,76561197978835160,t,429.0452575683594,-1379.84765625,-413.96875,7
684,56334,56508,1491.712158203125,-1583.96826171875,-407.96875,100,Outside,acoR,76561198002942763,ct,103.31988525390625,-2098.330078125,-416.0,8
694,56490,56786,745.0241088867188,-834.2692260742188,-235.203125,100,Rafters,ztr,76561199009468655,ct,216.68093872070312,-1200.1494140625,-413.96875,8
695,56497,56946,-61.1512451171875,-1103.7198486328125,-415.96875,100,Lobby,ropz,76561197991272318,t,687.7157592773438,-1510.8397216796875,-413.96875,8
709,57969,58418,524.97021484375,-1995.4212646484375,-415.96875,76,Outside,ZywOo,76561198113666193,t,1521.278076171875,-2440.59716796875,-543.0,8
714,58909,59358,871.1994018554688,-1615.599365234375,-415.46875,100,Mini,flameZ,76561197978835160,t,858.2194213867188,-1335.1602783203125,-413.96875,8
322,66019,66372,1370.385009765625,-1298.0316162109375,-367.171875,100,Outside,REZ,76561198034172415,ct,804.7810668945312,-1928.8402099609375,-416.0,9
71,66069,66422,1780.6563720703125,-1561.4898681640625,-415.96875,100,Outside,acoR,76561198002942763,ct,109.94538879394531,-2088.813232421875,-416.0,9
1012,66240,66593,639.7973022460938,-748.6101684570312,-190.828125,100,Rafters,Tauson,76561198316706174,ct,210.47386169433594,-1186.910888671875,-416.0,9
327,66272,66721,8.808231353759766,-1289.85205078125,-143.25,100,Roof,flameZ,76561197978835160,t,425.95172119140625,-1126.492919921875,-256.0,9
110,67141,67590,622.638916015625,-2306.454833984375,-415.96875,100,Outside,apEX,76561197989744167,t,1524.1773681640625,-2424.5625,-560.0,9
111,71416,,527.0489501953125,-734.9296264648438,-399.96875,91,BombsiteA,mezii,76561197973140692,t,1119.3880615234375,-339.85791015625,-125.96875,9
762,73560,73913,1719.041259765625,-1530.0078125,-407.96875,100,Outside,REZ,76561198034172415,ct,200.29611206054688,-2092.681640625,-416.0,10
829,73641,73994,897.0994873046875,-282.7205810546875,-127.96875,100,Rafters,ztr,76561199009468655,ct,330.63177490234375,-950.7864990234375,-389.96875,10
683,75871,76224,689.9435424804688,247.57933044433594,-414.96875,100,Ramp,PR,76561198310561479,ct,108.38546752929688,-139.40272521972656,-413.96875,10
748,79469,79823,1289.290771484375,-1342.5830078125,-415.96875,100,Outside,REZ,76561198034172415,ct,162.66806030273438,-2102.4921875,-416.0,11
521,79575,79929,745.6163330078125,285.104248046875,-360.296875,100,Ramp,PR,76561198310561479,ct,86.62712860107422,-73.13003540039062,-413.9710693359375,11
954,79602,79923,1015.8255615234375,-447.2353515625,-127.96875,100,Heaven,ztr,76561199009468655,ct,235.07083129882812,-1289.4052734375,-416.0,11
68,80687,81136,-16.05572509765625,-1106.34423828125,-415.96875,99,Lobby,ropz,76561197991272318,t,906.23974609375,-1390.9459228515625,-413.96875,11
