assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,1193.5675,-639.1128,-415.96875,100,LockerRoom,PR,76561198310561479,ct,false,false,ct,18.529175,0,102,0,true,head,false,false,1,0,t,false,2589,1052.9901,-1346.906,-407.96875,75,Outside,flameZ,76561197978835160,t,usp_silencer,17293822569179578429,38971919807,"",0,1
false,,,,,,,,,239.91173,86.173904,-415.96875,100,Control,ropz,76561197991272318,t,false,false,ct,19.817804,7,13,0,false,stomach,false,false,0,0,t,false,2609,1024.3607,36.467213,-415.96875,4,Admin,acoR,76561198002942763,ct,glock,17293822569105195012,30219531045,"",0,1
false,,,,,,,,,1201.2062,-594.44293,-239.96875,100,Catwalk,REZ,76561198034172415,ct,false,false,ct,47.952637,6,12,0,false,chest,false,false,0,0,t,false,2706,1030.0399,-2466.3833,-415.96875,3,Outside,ZywOo,76561198113666193,t,usp_silencer,17293822569144451133,33931697967,"",0,1
false,,,,,,,,,1417.1216,-536.5125,-222.96875,75,Catwalk,REZ,76561198034172415,ct,false,false,ct,50.02782,0,96,0,true,head,false,false,0,0,t,false,3076,1101.8093,-2469.3037,-415.96875,64,Outside,mezii,76561197973140692,t,usp_silencer,17293822569144451133,33931697967,"",0,1
false,1413.8479,-488.62402,-415.46875,100.0,Outside,PR,76561198310561479,ct,1403.1622,-688.15454,-223.46875,75,Catwalk,REZ,76561198034172415,ct,false,false,ct,13.6938305,0,31,0,false,chest,false,false,0,0,t,false,3183,1399.0375,-1189.561,-415.96875,11,Outside,apEX,76561197989744167,t,usp_silencer,17293822569144451133,33931697967,"",0,1
false,,,,,,,,,1372.9294,-2395.2185,-453.9154,74,Secret,ropz,76561197991272318,t,false,false,ct,20.50403,7,13,0,false,stomach,false,false,0,0,t,false,5510,571.62573,-2306.619,-415.96875,7,Outside,ztr,76561199009468655,ct,glock,17293822569105195012,30219531045,"",0,1
false,571.62573,-2306.619,-415.96875,0.0,Outside,ztr,76561199009468655,ct,892.3595,-236.60034,-639.96875,100,BombsiteB,Tauson,76561198316706174,ct,false,false,ct,27.464848,0,114,0,true,head,false,false,0,0,t,false,6804,512.8103,-1242.7336,-769.96875,74,BombsiteB,ropz,76561197991272318,t,usp_silencer,17293822569154871357,40854605143,"",0,1
false,,,,,,,,,170.11664,130.25655,-415.96875,100,Control,mezii,76561197973140692,t,false,false,ct,26.78779,0,147,0,true,head,false,false,0,0,t,false,14456,1214.7429,-12.010742,-415.96875,100,Admin,acoR,76561198002942763,ct,deagle,17293822569111748609,40458558836,"",0,2
false,,,,,,,,,590.53485,-13.933533,-639.96875,100,Ramp,PR,76561198310561479,ct,false,false,ct,12.226051,0,24,0,false,left_leg,false,false,0,0,t,false,14726,552.4739,452.00198,-524.1278,6,Ramp,mezii,76561197973140692,t,m4a1,17293822569158017040,39117358723,"",0,2
false,,,,,,,,,342.4183,-1173.8562,-635.96875,100,BombsiteB,REZ,76561198034172415,ct,false,false,ct,5.3713512,19,90,0,true,head,false,false,0,0,t,false,14896,500.4819,-1140.7391,-769.96875,25,BombsiteB,apEX,76561197989744167,t,m4a1_silencer,17293822569135276092,42136600754,"",0,2
