tick,event,X,Y,Z,steamid,name,bombsite,round_num
5971,plant,1981.896,483.43558,160.03125,76561198001151695,NAF,BombsiteA,1
8595,detonate,222.32358,2462.9878,167.03125,76561198001151695,NAF,,1
8753,pickup,222.32358,2462.9878,167.03125,76561198001151695,NAF,,2
8903,drop,-1586.52,440.79,-63.96875,76561198001151695,NAF,,2
8910,pickup,-1520.06,430.891,-63.96875,76561198053126645,NertZ,,2
10428,drop,-592.0382,669.1388,-32.317566,76561198053126645,NertZ,,2
12950,pickup,-391.41248,696.8261,-32.348267,76561198016255205,Twistzz,,2
15370,plant,314.9685,2774.44,184.29976,76561198016255205,Twistzz,BombsiteB,2
16804,defuse,260.04504,2801.8435,193.03125,76561198855375325,Jimpphat,BombsiteB,2
17124,pickup,783.7691,2904.1018,142.83571,76561198283989223,ultimate,,3
21507,drop,2090.6943,-234.88306,256.22266,76561198283989223,ultimate,,3
23288,pickup,1954.5726,-197.6081,256.03125,76561198150673360,siuhy,,4
26203,drop,948.2172,711.0296,105.97023,76561198150673360,siuhy,,4
27823,pickup,-1260.2383,511.6444,-63.96875,76561198053126645,NertZ,,5
29403,drop,-782.38367,584.0462,-31.094055,76561198053126645,NertZ,,5
29703,pickup,-536.0174,678.59644,-32.389587,76561198283989223,ultimate,,5
35949,plant,2075.8955,184.46912,160.03125,76561198283989223,ultimate,BombsiteA,5
36686,defuse,2016.3118,192.51952,160.03125,76561198355739212,torzsi,BombsiteA,5
37006,pickup,1451.9696,1022.151,155.38367,76561198016255205,Twistzz,,6
39079,drop,290.39435,531.1897,88.6409,76561198016255205,Twistzz,,6
39086,pickup,249.88416,568.5155,87.413826,76561198053126645,NertZ,,6
40112,drop,1490.1562,1032.2766,155.96307,76561198053126645,NertZ,,6
42376,pickup,2081.3137,-289.44928,258.65466,76561198001151695,NAF,,7
45336,drop,-1520.06,430.891,-63.96875,76561198150673360,siuhy,,7
45380,pickup,-1662.18,288.762,-63.96875,76561198283989223,ultimate,,7
48334,plant,547.7423,2959.413,161.53123,76561198283989223,ultimate,BombsiteB,7
50672,defuse,534.42334,2900.873,161.53123,76561198355739212,torzsi,BombsiteB,7
50992,pickup,70.014915,3104.3994,160.56865,76561198283989223,ultimate,,8
57063,plant,547.0504,2951.472,161.53123,76561198283989223,ultimate,BombsiteB,8
59163,pickup,1897.3495,2306.7703,130.84705,76561198150673360,siuhy,,9
64223,drop,736.02594,2638.4644,136.03148,76561198150673360,siuhy,,9
64543,pickup,2395.7285,1747.334,153.16722,76561198053126645,NertZ,,10
66238,drop,-666.1089,631.29486,-31.804565,76561198053126645,NertZ,,10
66949,pickup,-424.23035,664.90924,-30.40625,76561198283989223,ultimate,,10
67148,drop,-22.52362,875.6405,80.03125,76561198283989223,ultimate,,10
67582,pickup,90.04694,854.0605,80.03125,76561198016255205,Twistzz,,10
69605,drop,1014.1065,547.5908,108.11646,76561198016255205,Twistzz,,10
