armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
93,52.606525,1394.2488,104.03125,100.0,Banana,NertZ,76561198053126645,t,ct,7,13,87,stomach,t,2405,484.8949,1994.9154,191.76562,100,Banana,xertioN,76561198193174134,ct,glock,13,1
87,51.094585,1396.0842,104.03125,100.0,Banana,NertZ,76561198053126645,t,ct,6,11,76,chest,t,2424,491.71506,2004.1025,152.98438,87,Banana,xertioN,76561198193174134,ct,glock,11,1
87,47.958393,1399.0634,104.03125,100.0,Banana,NertZ,76561198053126645,t,ct,0,94,0,head,t,2434,499.69055,2004.0681,136.03122,76,Banana,xertioN,76561198193174134,ct,glock,76,1
95,881.56323,2192.2888,136.36627,100.0,Banana,NertZ,76561198053126645,t,ct,5,7,93,generic,t,4865,881.56323,2192.2888,136.36627,100,Banana,NertZ,76561198053126645,t,hegrenade,7,1
100,2013.6077,1654.499,160.03125,100.0,CTSpawn,Twistzz,76561198016255205,t,ct,0,107,0,head,t,5192,2354.8105,1623.3176,159.89221,100,CTSpawn,Jimpphat,76561198855375325,ct,glock,100,1
94,1210.1987,161.06998,211.35555,100.0,Apartments,siuhy,76561198150673360,t,ct,6,11,89,chest,t,5585,1256.5228,-356.84937,260.03125,100,Apartments,torzsi,76561198355739212,ct,glock,11,1
88,1208.1776,152.18436,217.18816,100.0,Apartments,siuhy,76561198150673360,t,ct,6,12,77,chest,t,5608,1280.3999,-345.86786,260.03125,89,Apartments,torzsi,76561198355739212,ct,glock,12,1
88,1188.0325,17.547411,256.03125,100.0,Apartments,siuhy,76561198150673360,t,ct,0,107,0,head,t,5692,1250.6567,-311.47534,260.03125,77,Apartments,torzsi,76561198355739212,ct,glock,77,1
88,598.90607,2497.5916,279.03125,100.0,BombsiteB,Spinx,76561198063336407,ct,ct,7,16,77,right_arm,t,6041,906.1671,2179.484,136.36629,93,Banana,NertZ,76561198053126645,t,hkp2000,16,1
95,917.29974,2092.7869,134.26074,77.0,Banana,NertZ,76561198053126645,t,ct,5,9,91,chest,t,7263,272.03134,3073.2585,164.45941,100,BombsiteB,Spinx,76561198063336407,ct,glock,9,1
90,924.5149,2099.9478,133.35886,77.0,Banana,NertZ,76561198053126645,t,ct,5,9,82,chest,t,7272,272.03537,3062.0828,164.45941,91,BombsiteB,Spinx,76561198063336407,ct,glock,9,1
82,296.87494,3066.818,164.45941,82.0,BombsiteB,Spinx,76561198063336407,ct,ct,6,14,63,chest,t,7311,900.01715,2088.4966,136.03125,77,Banana,NertZ,76561198053126645,t,hkp2000,14,1
76,426.59155,3153.3425,163.03358,100.0,BombsiteB,Brollan,76561198138828475,ct,ct,6,14,49,chest,t,7348,917.27234,2100.8215,134.26418,63,Banana,NertZ,76561198053126645,t,hkp2000,14,1
70,425.2454,3152.3171,164.45941,100.0,BombsiteB,Brollan,76561198138828475,ct,ct,6,14,35,chest,t,7363,903.9686,2092.4036,135.87158,49,Banana,NertZ,76561198053126645,t,hkp2000,14,1
0,876.83496,2079.3167,136.36629,35.0,Banana,NertZ,76561198053126645,t,ct,0,20,80,chest,t,7397,428.19473,3153.604,162.91632,100,BombsiteB,Brollan,76561198138828475,ct,glock,20,1
0,866.9638,2075.2637,136.36629,35.0,Banana,NertZ,76561198053126645,t,ct,0,20,60,chest,t,7425,434.15463,3156.165,162.60785,80,BombsiteB,Brollan,76561198138828475,ct,glock,20,1
0,866.859,2075.192,136.36629,35.0,Banana,NertZ,76561198053126645,t,ct,0,82,0,head,t,7456,435.79068,3156.7861,162.53532,60,BombsiteB,Brollan,76561198138828475,ct,glock,60,1
0,21.739145,2608.0242,161.03125,82.0,BombsiteB,Spinx,76561198063336407,ct,ct,0,130,0,head,t,7922,205.95357,2940.1528,161.53127,100,BombsiteB,ultimate,76561198283989223,t,hkp2000,100,1
82,21.26476,2448.0317,161.03125,100.0,BombsiteB,NAF,76561198001151695,t,ct,8,17,65,chest,t,8142,48.033943,2623.1443,161.03125,82,BombsiteB,Spinx,76561198063336407,ct,hkp2000,17,1
92,58.53386,2622.1858,161.03125,65.0,BombsiteB,Spinx,76561198063336407,ct,ct,8,17,83,chest,t,8180,4.484778,2455.3435,161.03125,100,BombsiteB,NAF,76561198001151695,t,hkp2000,17,1
84,59.468166,2621.8062,161.03125,65.0,BombsiteB,Spinx,76561198063336407,ct,ct,8,17,66,right_arm,t,8213,49.79386,2487.9192,185.70312,83,BombsiteB,NAF,76561198001151695,t,hkp2000,17,1
80,39.508247,2621.4863,161.03125,65.0,BombsiteB,Spinx,76561198063336407,ct,ct,4,55,11,generic,t,8311,18.600842,2568.1975,161.03125,66,BombsiteB,NAF,76561198001151695,t,knife,55,1
79,55.462864,2525.2734,161.03125,65.0,BombsiteB,Spinx,76561198063336407,ct,ct,1,21,0,generic,t,8391,109.852325,2474.853,182.79688,11,BombsiteB,NAF,76561198001151695,t,knife,11,1
82,416.33954,2451.364,281.03125,35.0,BombsiteB,NertZ,76561198053126645,t,ct,0,109,0,head,t,8433,174.80122,2473.3147,165.40137,65,BombsiteB,Spinx,76561198063336407,ct,glock,65,1
0,,,,,,,,,ct,0,17,83,generic,t,8595,257.9428,1361.9967,111.73549,100,Banana,siuhy,76561198150673360,t,"",17,1
94,,,,,,,,,ct,6,6,94,generic,t,8595,94.043755,1180.564,91.67359,100,Banana,Twistzz,76561198016255205,t,"",6,1
0,303.9681,725.9213,76.75,100.0,Middle,siuhy,76561198150673360,t,ct,0,1,99,generic,t,10645,1457.3774,561.4901,118.385086,100,TopofMid,torzsi,76561198355739212,ct,inferno,1,2
