assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,47.958393,1399.0634,104.03125,100.0,Banana,NertZ,76561198053126645,t,false,false,ct,19.189997,0,94,0,true,head,false,false,0,0,t,false,2434,499.69055,2004.0681,136.03122,76,Banana,xertioN,76561198193174134,ct,glock,17293822569165815812,41338790371,"",0,1
false,,,,,,,,,2013.6077,1654.499,160.03125,100.0,CTSpawn,Twistzz,76561198016255205,t,false,false,ct,8.70982,0,107,0,true,head,false,false,0,0,t,false,5192,2354.8105,1623.3176,159.89221,100,CTSpawn,Jimpphat,76561198855375325,ct,glock,17293822569105195012,41676987732,"",0,1
false,,,,,,,,,1188.0325,17.547411,256.03125,100.0,Apartments,siuhy,76561198150673360,t,false,false,ct,8.453289,0,107,0,true,head,false,false,0,0,t,false,5692,1250.6567,-311.47534,260.03125,77,Apartments,torzsi,76561198355739212,ct,glock,17293822569102901252,23178604354,"",0,1
false,,,,,,,,,866.859,2075.192,136.36629,35.0,Banana,NertZ,76561198053126645,t,false,false,ct,29.575974,0,82,0,true,head,false,false,0,0,t,false,7456,435.79068,3156.7861,162.53532,60,BombsiteB,Brollan,76561198138828475,ct,glock,17293822569165815812,41338790371,"",0,1
false,,,,,,,,,21.739145,2608.0242,161.03125,82.0,BombsiteB,Spinx,76561198063336407,ct,false,false,ct,9.80449,0,130,0,true,head,false,false,0,0,t,false,7922,205.95357,2940.1528,161.53127,100,BombsiteB,ultimate,76561198283989223,t,usp_silencer,17293822569177546813,42239695808,"",0,1
false,,,,,,,,,55.462864,2525.2734,161.03125,65.0,BombsiteB,Spinx,76561198063336407,ct,false,false,ct,1.7550012,1,21,0,false,generic,false,false,0,0,t,false,8391,109.852325,2474.853,182.79688,11,BombsiteB,NAF,76561198001151695,t,knife_karambit,17293822569129902587,37411626428,"",0,1
false,,,,,,,,,416.33954,2451.364,281.03125,35.0,BombsiteB,NertZ,76561198053126645,t,false,false,ct,7.098089,0,109,0,true,head,false,false,0,0,t,false,8433,174.80122,2473.3147,165.40137,65,BombsiteB,Spinx,76561198063336407,ct,glock,17293822569165815812,41338790371,"",0,1
false,,,,,,,,,1594.2137,1225.5723,177.03125,53.0,Arch,torzsi,76561198355739212,ct,false,false,ct,21.84324,25,289,0,true,head,false,false,0,0,t,false,11196,1239.087,447.2961,117.398315,100,Middle,siuhy,76561198150673360,t,ssg08,17293822569159589928,39723877858,"",0,2
false,,,,,,,,,593.7103,2115.9026,140.13982,50.0,Banana,Spinx,76561198063336407,ct,false,false,ct,24.009073,17,82,0,true,head,false,false,0,0,t,false,11461,28.1809,1360.4844,104.03125,39,Banana,NertZ,76561198053126645,t,m4a1_silencer,17293822569168306236,42240116955,"",0,2
false,28.398039,1360.3196,104.03125,0.0,Banana,NertZ,76561198053126645,t,62.450954,1391.9604,154.54688,99.0,Banana,ultimate,76561198283989223,t,false,true,ct,4.7472134,0,107,0,true,head,false,false,0,0,t,false,11906,244.17358,1355.8928,110.999855,41,Banana,xertioN,76561198193174134,ct,mac10,17293822569102704657,0,"",0,2
false,,,,,,,,,432.65546,2488.3318,167.03125,11.0,BombsiteB,Spinx,76561198063336407,ct,false,false,ct,11.957617,4,95,0,true,head,false,false,0,0,t,false,14826,738.1776,2847.369,139.79822,76,BombsiteB,NAF,76561198001151695,t,fiveseven,17293822569128067075,40664037464,"",0,2
false,,,,,,,,,434.7256,2486.7551,167.03125,11.0,BombsiteB,Spinx,76561198063336407,ct,false,false,ct,13.803171,4,93,0,true,head,false,false,0,0,t,false,14836,783.46545,2904.071,142.79091,92,BombsiteB,ultimate,76561198283989223,t,fiveseven,17293822569128067075,40664037464,"",0,2
false,28.398039,1360.3196,104.03125,0.0,Banana,NertZ,76561198053126645,t,560.6802,2596.4329,189.10938,100.0,BombsiteB,Twistzz,76561198016255205,t,false,true,ct,4.2495675,1,13,0,false,chest,false,false,2,0,t,true,14841,438.30276,2483.725,167.03125,11,BombsiteB,Spinx,76561198063336407,ct,galilar,17293822569154478093,30622150224,"",0,2
false,,,,,,,,,640.0286,2513.6604,195.17511,49.0,BombsiteB,Brollan,76561198138828475,ct,false,false,ct,21.027802,17,83,0,true,head,false,false,0,0,t,false,15901,100.45845,3139.583,160.41808,17,BombsiteB,Twistzz,76561198016255205,t,m4a1_silencer,17293822569168306236,42240116955,"",0,2
false,1354.0319,-36.57428,132.03125,100.0,Quad,Jimpphat,76561198855375325,ct,1767.7721,-38.486145,132.03125,100.0,BombsiteA,torzsi,76561198355739212,ct,false,false,ct,5.2352147,16,110,0,true,head,false,false,0,0,t,false,21433,1950.0831,-71.206726,218.03125,38,BombsiteA,NAF,76561198001151695,t,ak47,17293822569122496519,42424724712,"",0,3
false,,,,,,,,,1829.9292,58.71939,127.66935,100.0,BombsiteA,torzsi,76561198355739212,ct,false,false,ct,10.306526,15,109,0,true,head,false,false,0,0,t,false,21507,2090.6943,-234.88306,256.22266,100,Balcony,ultimate,76561198283989223,t,ak47,17293822569122496519,42424724712,"",0,3
false,,,,,,,,,1927.61,131.04518,139.22934,100.0,BombsiteA,torzsi,76561198355739212,ct,false,false,ct,8.946551,15,110,0,true,head,false,false,0,0,t,false,21565,1954.5726,-197.6081,256.03125,100,Balcony,siuhy,76561198150673360,t,ak47,17293822569122496519,42424724712,"",0,3
false,,,,,,,,,1231.0317,576.349,124.80302,5.0,Middle,NertZ,76561198053126645,t,false,false,ct,19.110254,4,84,0,true,head,false,false,0,0,t,false,21668,1633.0967,-59.453735,139.58751,79,BombsiteA,Jimpphat,76561198855375325,ct,tec9,17293822569165881374,32917868761,"",0,3
false,1633.5591,-59.128784,139.41254,0.0,BombsiteA,Jimpphat,76561198855375325,ct,1582.9684,-86.70416,142.03125,24.0,BombsiteA,torzsi,76561198355739212,ct,false,false,ct,11.252111,15,109,0,true,head,false,false,0,0,t,false,21790,1413.8093,321.69128,128.03125,45,TopofMid,Twistzz,76561198016255205,t,ak47,17293822569122496519,42424724712,"",0,3
false,1413.8093,321.69128,128.03125,0.0,TopofMid,Twistzz,76561198016255205,t,1347.1354,474.5545,119.89966,5.0,TopofMid,NertZ,76561198053126645,t,false,false,ct,15.475872,1,28,0,false,stomach,false,false,0,0,t,false,21798,1584.025,-86.29358,142.03125,24,BombsiteA,torzsi,76561198355739212,ct,tec9,17293822569165881374,32917868761,"",0,3
false,1633.5591,-59.128784,139.41254,0.0,BombsiteA,Jimpphat,76561198855375325,ct,948.70087,710.8874,105.96926,100.0,Middle,xertioN,76561198193174134,ct,false,false,ct,15.983483,5,16,0,false,stomach,false,false,0,0,t,false,22968,781.68915,104.36531,89.43643,5,SecondMid,NertZ,76561198053126645,t,mp9,17293822569109258274,36592164114,"",0,3
false,,,,,,,,,1265.8291,57.237823,256.03125,100.0,Apartments,torzsi,76561198355739212,ct,false,false,ct,7.0004406,0,96,0,true,head,false,false,0,0,t,false,25955,1040.3838,-100.96808,256.03125,28,Apartments,Twistzz,76561198016255205,t,mp9,17293822569170665506,23115676172,"",0,4
