assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-1047.1664,-1584.8525,-153.96875,100,BackofB,Spinx,76561198063336407,t,false,false,ct,9.341051,0,106,0,true,head,false,false,0,0,t,false,4565,-732.5623,-1775.5353,-153.96875,82,BackofB,NAF,76561198001151695,ct,glock,17293822569105195012,42239705330,"",0,1
true,-755.9158,957.57916,-214.96875,100.0,TMain,torzsi,76561198355739212,t,-697.3634,407.9656,-215.96875,100,TMain,Brollan,76561198138828475,t,false,false,ct,8.512272,0,107,0,true,head,false,false,0,0,t,false,4964,-440.06482,623.4564,-215.96875,61,BombsiteA,NertZ,76561198053126645,ct,glock,17293822569157230596,43799473877,"",0,1
false,,,,,,,,,660.138,-181.09302,-215.96875,16,BombsiteA,ultimate,76561198283989223,ct,false,false,ct,27.881643,0,114,0,true,head,false,false,0,0,t,false,5190,-436.48975,-226.24243,-215.96875,100,LongDog,xertioN,76561198193174134,t,usp_silencer,17293822569148907581,36376659845,"",0,1
false,,,,,,,,,350.622,385.06058,-215.96875,56,BombsiteA,siuhy,76561198150673360,ct,false,false,ct,21.563301,0,119,0,true,head,false,false,0,0,t,false,5573,-169.1015,-285.25885,-215.96875,5,BombsiteA,Brollan,76561198138828475,t,usp_silencer,17293822569102704701,0,"",0,1
false,-168.67505,-285.20264,-215.96875,0.0,BombsiteA,Brollan,76561198138828475,t,-219.9148,40.17805,-215.96875,100,ElectricalBox,Jimpphat,76561198855375325,t,false,false,ct,17.062021,0,24,0,false,right_arm,false,false,0,0,t,false,5656,371.3058,359.44986,-215.96875,8,BombsiteA,siuhy,76561198150673360,ct,glock,17293822569105195012,43926699468,"",0,1
false,-436.49768,-226.06702,-215.96875,0.0,LongDog,xertioN,76561198193174134,t,-235.40118,85.733765,-215.96875,100,ElectricalBox,Jimpphat,76561198855375325,t,false,false,ct,23.749298,0,88,0,true,head,false,false,0,0,t,false,5787,690.4737,-44.716797,-215.96875,10,BombsiteA,ultimate,76561198283989223,ct,glock,17293822569105195012,43926699468,"",0,1
false,,,,,,,,,-1173.6509,-370.33167,-132.96875,7,LongDog,Twistzz,76561198016255205,ct,false,false,ct,19.62113,0,121,0,true,head,false,false,0,0,t,false,5965,-406.6787,-332.07166,-214.8451,100,LongDog,Spinx,76561198063336407,t,usp_silencer,17293822569170862141,24830523706,"",0,1
false,-406.69983,-331.58813,-214.70697,0.0,LongDog,Spinx,76561198063336407,t,595.47485,-61.578796,-141.96875,82,BombsiteA,Jimpphat,76561198855375325,t,false,false,ct,27.19374,5,9,0,false,chest,false,false,0,0,t,false,6700,-461.19324,93.70223,-215.96875,7,BombsiteA,Twistzz,76561198016255205,ct,glock,17293822569105195012,43926699468,"",0,1
false,,,,,,,,,-1197.7268,-312.60248,-132.96875,59,LongDog,siuhy,76561198150673360,ct,false,false,ct,6.6461873,19,58,0,true,head,false,false,0,0,t,false,9260,-1296.6171,-550.3019,-88.96875,44,LongDog,Brollan,76561198138828475,t,mp9,17293822569182986274,32396219481,"",0,2
false,,,,,,,,,-755.15735,-556.499,-87.91699,100,BackofB,Spinx,76561198063336407,t,false,false,ct,13.271743,3,27,0,false,chest,false,false,0,0,t,false,9482,-1275.4922,-527.85565,-88.96875,19,LongDog,siuhy,76561198150673360,ct,ak47,17293822569150152711,42239583874,"",0,2
