round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1264,4334,4654,t,ct_killed,,not_planted
2,4654,5934,7818,8138,ct,t_killed,,not_planted
3,8138,9418,18765,19085,t,bomb_exploded,16141,bombsite_b
4,19085,20365,28370,28690,t,bomb_exploded,25746,bombsite_b
5,28690,32204,37230,37550,ct,bomb_defused,34742,bombsite_b
6,37550,38830,41582,41902,ct,t_killed,,not_planted
7,41902,43182,46533,46853,ct,t_killed,,not_planted
8,46853,48133,51525,51845,ct,t_killed,,not_planted
9,51845,53125,56516,56836,ct,t_killed,,not_planted
10,56836,60222,65813,66133,ct,t_killed,,not_planted
11,66133,67413,70537,70857,ct,t_killed,,not_planted
12,70857,74108,78306,78850,t,ct_killed,,not_planted
13,78850,93578,95638,95958,ct,t_killed,,not_planted
14,95958,97238,101895,102215,ct,t_killed,,not_planted
15,102215,103495,107280,107600,ct,t_killed,,not_planted
16,107600,108880,112488,112808,ct,bomb_defused,111490,bombsite_b
17,112808,114088,121448,121768,ct,time_ran_out,,not_planted
18,121768,123048,130034,130354,ct,t_killed,,not_planted
19,130354,133702,138530,138850,ct,t_killed,,not_planted
20,138850,140130,143013,143333,ct,t_killed,,not_planted
21,143333,144613,148795,149115,t,ct_killed,147881,bombsite_b
22,149115,150395,153988,153988,ct,t_killed,,not_planted
