assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,930.5468,865.5543,0.8687804,76.0,LongDoors,Brollan,76561198138828475,ct,false,false,ct,8.545505,0,131,0,true,head,false,false,0,0,t,false,5258,625.2181,729.9726,0.9169197,100,LongDoors,m0NESY,76561198074762801,t,usp_silencer,17293822569135734845,37193573977,"",0,1
false,,,,,,,,,1555.4384,1418.5829,1.0312514,100.0,LongA,torzsi,76561198355739212,ct,false,false,ct,29.902544,0,112,0,true,head,false,false,0,0,t,false,5349,598.9807,732.14014,1.0568032,100,LongDoors,Magisk,76561197983956651,t,usp_silencer,17293822569135734845,36583624212,"",0,1
false,,,,,,,,,1531.8094,1415.795,1.03125,59.0,LongA,torzsi,76561198355739212,ct,false,false,ct,29.979044,0,112,0,true,head,false,false,0,0,t,false,5472,587.39294,707.6604,1.131177,58,LongDoors,NiKo,76561198041683378,t,usp_silencer,17293822569135734845,36583624212,"",0,1
false,,,,,,,,,1435.0569,2630.4478,80.429016,100.0,ARamp,Spinx,76561198063336407,ct,false,false,ct,16.1164,0,124,0,true,head,false,false,0,0,t,false,5542,1168.6521,2059.2832,1.6241179,100,UnderA,TeSeS,76561197996678278,t,usp_silencer,17293822569177546813,42239695808,"",0,1
false,1346.8833,2727.5403,106.69444,71.0,ARamp,Spinx,76561198063336407,ct,1786.903,1897.6029,2.8731232,59.0,LongA,torzsi,76561198355739212,ct,false,false,ct,38.364956,0,105,0,true,head,false,false,0,0,t,false,5700,342.17694,2326.5256,96.49695,72,ExtendedA,kyxsan,76561198057282432,t,usp_silencer,17293822569135734845,36583624212,"",0,1
false,,,,,,,,,-1731.6298,2160.567,-3.2094116,100.0,BombsiteB,Jimpphat,76561198855375325,ct,false,false,ct,14.4389515,0,123,0,true,head,false,false,0,0,t,false,8306,-2014.7793,1673.39,32.545147,100,UpperTunnel,Magisk,76561197983956651,t,m4a1_silencer,17293822569131868220,43926699517,"",0,2
false,,,,,,,,,-1730.4341,2159.8801,-3.2827148,53.0,BombsiteB,Jimpphat,76561198855375325,ct,false,false,ct,13.470651,0,123,0,true,head,false,false,0,0,t,false,8332,-1991.0875,1705.3478,31.613394,73,UpperTunnel,m0NESY,76561198074762801,t,m4a1_silencer,17293822569131868220,43926699517,"",0,2
false,,,,,,,,,-1733.6608,2163.4172,-3.0210571,18.0,BombsiteB,Jimpphat,76561198855375325,ct,false,false,ct,10.677097,0,36,0,false,chest,false,false,0,0,t,false,8429,-2073.0823,1917.4739,0.98658466,7,BombsiteB,NiKo,76561198041683378,t,m4a1_silencer,17293822569131868220,43926699517,"",0,2
false,-1992.1792,1708.3843,31.65051,0.0,UpperTunnel,m0NESY,76561198074762801,t,-2017.0276,1788.2012,33.03125,100.0,UpperTunnel,TeSeS,76561197996678278,t,false,false,ct,11.795025,6,12,0,false,chest,false,false,0,0,t,false,8499,-1692.319,2120.6116,-5.9241333,6,BombsiteB,Jimpphat,76561198855375325,ct,glock,17293822569165422596,23868644929,"",0,2
false,,,,,,,,,-1065.3966,2364.1038,-4.6278687,100.0,BDoors,Spinx,76561198063336407,ct,false,false,ct,28.256548,0,123,0,true,head,false,false,0,0,t,false,8504,-2014.77,1790.4663,33.03125,100,UpperTunnel,TeSeS,76561197996678278,t,m4a1,17293822569122955280,37294061078,"",0,2
