round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1266,7326,7646,ct,t_killed,,not_planted
2,7646,8926,13306,13626,ct,t_killed,,not_planted
3,13626,14906,19931,20251,t,ct_killed,19749,bombsite_b
4,20251,21531,29632,29952,t,bomb_exploded,27008,bombsite_b
5,29952,33474,41453,41773,t,bomb_exploded,38829,bombsite_b
6,41773,43053,50413,50733,ct,time_ran_out,,not_planted
7,50733,52013,59000,59320,ct,bomb_defused,56792,bombsite_b
8,59320,63378,68864,69184,ct,t_killed,,not_planted
9,69184,70464,77119,77439,ct,bomb_defused,76266,bombsite_b
10,77439,78719,86079,86399,ct,time_ran_out,,not_planted
11,86399,87679,90148,90468,t,ct_killed,,not_planted
12,90468,91748,96296,96840,ct,t_killed,,not_planted
13,96840,111213,114111,114431,t,ct_killed,113271,bombsite_b
14,114431,115711,120845,121165,t,ct_killed,,not_planted
15,121165,122445,130305,130625,t,bomb_exploded,127681,bombsite_b
16,130625,134164,140898,141218,ct,t_killed,,not_planted
17,141218,142498,148091,148411,t,ct_killed,147056,bombsite_b
18,148411,149691,155439,155759,ct,t_killed,,not_planted
19,155759,157039,163288,163608,ct,t_killed,,not_planted
20,163608,164888,168785,169105,ct,t_killed,,not_planted
21,169105,170385,172878,173198,ct,t_killed,,not_planted
22,173198,176970,180690,181010,ct,t_killed,,not_planted
23,181010,182290,187158,187478,ct,t_killed,,not_planted
24,187478,193219,197178,197722,ct,bomb_defused,196351,bombsite_b
25,197722,199002,203528,203848,ct,t_killed,,not_planted
26,203848,207048,209631,209951,ct,t_killed,,not_planted
27,209951,211231,218059,218603,ct,t_killed,,not_planted
28,218603,219883,227336,227336,t,ct_killed,225442,bombsite_b
