round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1266,4509,4829,ct,t_killed,,not_planted
2,4829,6109,11770,12090,ct,t_killed,,not_planted
3,12090,13370,18753,19073,ct,t_killed,,not_planted
4,19073,20353,26321,26641,ct,t_killed,,not_planted
5,26641,30458,37282,37602,t,ct_killed,36620,bombsite_b
6,37602,38882,44355,44675,ct,t_killed,,not_planted
7,44675,45955,48088,48408,ct,t_killed,,not_planted
8,48408,51748,55478,55798,t,ct_killed,,not_planted
9,55798,59016,64012,64332,t,ct_killed,62579,bombsite_b
10,64332,65612,68525,68845,t,ct_killed,,not_planted
11,68845,70125,75749,76068,ct,t_killed,,not_planted
12,76068,77348,79495,80039,ct,t_killed,,not_planted
13,80039,94913,99954,100274,ct,bomb_defused,97434,bombsite_b
14,100274,101554,108119,108439,t,bomb_exploded,105495,bombsite_b
15,108439,109719,116324,116644,ct,t_killed,,not_planted
16,116644,117924,122105,122425,ct,t_killed,,not_planted
17,122425,123705,125759,126079,ct,t_killed,,not_planted
18,126079,129306,134310,134630,ct,t_killed,,not_planted
19,134630,135910,141705,142025,t,ct_killed,140728,bombsite_b
20,142025,143305,149491,149811,ct,t_killed,,not_planted
21,149811,153548,156349,156669,ct,t_killed,,not_planted
22,156669,157949,163015,163335,ct,t_killed,,not_planted
23,163335,167090,175207,175527,t,bomb_exploded,172583,bombsite_b
24,175527,176807,183004,183004,ct,bomb_defused,181842,bombsite_b
