assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
true,-1876.6378,1381.8407,36.933216,100.0,UpperTunnel,apEX,76561197989744167,t,-1893.0275,1867.1212,0.06161523,100,BombsiteB,flameZ,76561197978835160,t,false,false,ct,12.048102,0,103,0,true,head,false,false,0,0,t,false,2597,-1473.7046,2086.0505,1.1434698,100,BombsiteB,xertioN,76561198193174134,ct,glock,17293822569105850372,34768596195,"",0,1
false,,,,,,,,,-1071.1584,2365.1636,-2.3529053,90,BDoors,Spinx,76561198063336407,ct,false,false,ct,21.806835,0,119,0,true,head,false,false,0,0,t,true,2667,-1811.6163,1931.0038,-0.34729004,86,BombsiteB,flameZ,76561197978835160,t,usp_silencer,17293822569177546813,42239695808,"",0,1
false,,,,,,,,,-1800.2649,1970.3014,-2.0532227,60,BombsiteB,mezii,76561197973140692,t,false,false,ct,21.843826,0,90,0,true,head,false,false,0,0,t,false,2961,-1329.732,2677.3435,130.03125,90,Hole,Spinx,76561198063336407,ct,glock,17293822569125838852,40458558825,"",0,1
false,-1473.7659,2083.0234,1.1942205,0.0,BombsiteB,xertioN,76561198193174134,ct,-1323.435,2676.3262,130.03125,100,Hole,torzsi,76561198355739212,ct,false,false,ct,18.680355,0,122,0,true,head,false,false,0,0,t,false,3007,-1727.8512,2087.358,-5.6574707,60,BombsiteB,mezii,76561197973140692,t,usp_silencer,17293822569135734845,36583624212,"",0,1
false,-1833.801,2477.0327,30.75919,87.0,BombsiteB,Jimpphat,76561198855375325,ct,-1323.4661,2673.6794,130.03125,100,Hole,torzsi,76561198355739212,ct,false,false,ct,26.203287,0,20,0,false,chest,false,false,1,0,t,false,3046,-1884.9717,1814.6,19.49897,3,BombsiteB,apEX,76561197989744167,t,usp_silencer,17293822569135734845,36583624212,"",0,1
false,-1473.7659,2083.0234,1.1942205,0.0,BombsiteB,xertioN,76561198193174134,ct,-1784.422,2503.1318,31.01955,87,BombsiteB,Jimpphat,76561198855375325,ct,false,false,ct,13.126606,0,127,0,true,head,false,false,0,0,t,false,3099,-1418.1077,2139.6973,1.0535774,57,BombsiteB,ropz,76561197991272318,t,usp_silencer,17293822569177546813,39594040383,"",0,1
false,-1874.49,2496.7153,28.71284,87.0,BombsiteB,Jimpphat,76561198855375325,ct,-1359.3312,2685.159,130.03125,62,Hole,torzsi,76561198355739212,ct,false,false,ct,27.695786,0,114,0,true,head,false,false,0,0,t,false,3162,-2028.9784,1831.6443,25.31628,38,BombsiteB,ZywOo,76561198113666193,t,usp_silencer,17293822569135734845,36583624212,"",0,1
false,,,,,,,,,-436.55627,-240.52429,0.54317474,81,TopofMid,ZywOo,76561198113666193,t,false,false,ct,67.696175,0,50,0,true,head,false,false,0,0,t,false,6504,-410.08112,2421.8384,-90.382935,49,MidDoors,Spinx,76561198063336407,ct,glock,17293822569181872132,43805746730,"",0,2
true,-652.50244,2458.1577,-86.21765,100.0,MidDoors,Jimpphat,76561198855375325,ct,-759.8628,1483.826,-111.10785,100,LowerTunnel,xertioN,76561198193174134,ct,false,false,ct,12.985782,0,22,0,false,chest,false,false,0,0,t,false,6683,-275.0321,1324.479,-122.87012,12,Middle,flameZ,76561197978835160,t,mp9,17293822569109258274,36592164114,"",0,2
false,-419.63184,1027.1848,-59.473633,81.0,Middle,ZywOo,76561198113666193,t,-426.3772,796.2908,-5.954956,100,Middle,ropz,76561197991272318,t,false,false,ct,18.631756,23,83,0,true,head,false,false,0,0,t,false,7048,-355.00427,1517.9258,-125.9538,40,MidDoors,xertioN,76561198193174134,ct,p250,17293822569104932900,11057796005,"",0,2
false,-355.31342,1518.1183,-125.959045,0.0,MidDoors,xertioN,76561198193174134,ct,-336.33594,2284.7625,-116.58887,19,MidDoors,torzsi,76561198355739212,ct,false,false,ct,31.33494,0,13,0,false,stomach,false,false,1,0,t,false,7098,-487.1327,1063.669,-62.20636,6,Middle,mezii,76561197973140692,t,m4a1_silencer,17293822569169354812,26497449213,"",0,2
