round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1266,3162,3482,ct,t_killed,,not_planted
2,3482,4762,9902,10222,ct,t_killed,,not_planted
3,10222,11502,16117,16437,t,bomb_exploded,13493,bombsite_b
4,16437,17717,25836,26156,ct,bomb_defused,23548,bombsite_b
5,26156,27436,34334,34654,t,ct_killed,34303,bombsite_b
6,34654,35934,43657,43977,t,bomb_exploded,41033,bombsite_b
7,43977,45257,51376,51696,t,ct_killed,48989,bombsite_b
8,51696,52976,60790,61110,t,ct_killed,59258,bombsite_b
9,61110,62390,68452,68772,t,ct_killed,66854,bombsite_b
10,68772,72095,79455,79775,ct,time_ran_out,,not_planted
11,79775,81055,87617,87937,t,ct_killed,86476,bombsite_b
12,87937,89217,97720,98264,ct,bomb_defused,95713,bombsite_b
13,98264,112499,117593,117913,ct,bomb_defused,116347,bombsite_b
14,117913,119193,124836,125156,t,ct_killed,,not_planted
15,125156,126436,132797,133117,t,ct_killed,,not_planted
16,133117,134397,137471,137791,t,ct_killed,,not_planted
17,137791,141113,147902,148222,t,ct_killed,147704,bombsite_b
18,148222,151985,154695,155015,t,ct_killed,,not_planted
19,155015,156295,165406,165726,t,bomb_exploded,162782,bombsite_b
20,165726,168926,176286,176606,ct,time_ran_out,,not_planted
21,176606,177886,185246,185566,ct,time_ran_out,,not_planted
22,185566,186846,191462,191782,ct,t_killed,,not_planted
23,191782,195069,202429,202749,ct,time_ran_out,,not_planted
24,202749,206307,210548,210548,ct,t_killed,,not_planted
