assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-947.02155,-72.24603,-167.96875,100.0,Catwalk,ropz,76561197991272318,ct,false,false,ct,16.528872,0,124,0,true,head,false,false,0,0,t,false,4077,-483.69415,-515.3056,-143.96875,100,Middle,xertioN,76561198193174134,t,usp_silencer,17293822569135734845,43490047096,"",0,1
false,,,,,,,,,146.17166,-1914.0337,-39.96875,87.0,PalaceInterior,ZywOo,76561198113666193,ct,false,false,ct,4.3652205,0,140,0,true,head,false,false,0,0,t,false,5235,87.967545,-2075.3208,-39.96875,100,PalaceInterior,torzsi,76561198355739212,t,elite,17293822569173876738,38448161303,"",0,1
false,,,,,,,,,-657.684,-1171.4142,-167.96875,76.0,Connector,mezii,76561197973140692,ct,false,false,ct,3.8589485,0,136,0,true,head,false,false,0,0,t,false,5328,-802.15576,-1215.506,-167.96875,100,Connector,Brollan,76561198138828475,t,usp_silencer,17293822569145499709,44111836510,"",0,1
false,,,,,,,,,-1119.4207,-211.37067,-55.96875,100.0,Ladder,ropz,76561197991272318,ct,false,false,ct,29.216715,0,112,0,true,head,false,false,0,0,t,false,5356,-1265.4272,-1342.3577,-167.61395,82,CTSpawn,Spinx,76561198063336407,t,usp_silencer,17293822569135734845,43490047096,"",0,1
false,,,,,,,,,-682.4061,-537.6718,-265.9007,100.0,Middle,Jimpphat,76561198855375325,t,false,false,ct,17.532938,0,96,0,true,head,false,false,0,0,t,false,5871,-771.62775,-1214.6659,-167.96875,76,Connector,mezii,76561197973140692,ct,glock,17293822569105195012,43926699468,"",0,1
false,,,,,,,,,-852.4014,-284.61023,-167.0318,90.0,Catwalk,ropz,76561197991272318,ct,false,false,ct,22.17541,0,118,0,true,head,false,false,0,0,t,false,6412,-111.98749,-743.4858,-217.70343,85,Middle,Jimpphat,76561198855375325,t,usp_silencer,17293822569135734845,43490047096,"",0,1
false,,,,,,,,,-913.66565,-736.6636,-261.94678,100.0,Middle,ZywOo,76561198113666193,ct,false,false,ct,15.147267,0,28,0,false,left_arm,false,false,0,0,t,false,8983,-998.64703,-159.61353,-367.96875,16,Underpass,xertioN,76561198193174134,t,famas,17293822569180299274,43805695040,"",0,2
false,,,,,,,,,-945.0358,-741.63916,-262.52222,100.0,Middle,ZywOo,76561198113666193,ct,false,false,ct,9.399679,0,116,0,true,head,false,false,0,0,t,false,9013,-1003.30347,-390.40698,-340.7616,100,Underpass,Brollan,76561198138828475,t,famas,17293822569180299274,43805695040,"",0,2
false,-889.8973,-668.8452,-261.94678,61.0,Middle,ZywOo,76561198113666193,ct,-860.9211,-316.70288,-166.12659,100.0,Catwalk,ropz,76561197991272318,ct,false,false,ct,26.885088,0,123,0,true,head,false,false,0,0,t,false,9152,188.2243,-449.2942,-167.21082,36,TopofMid,Spinx,76561198063336407,t,m4a1,17293822569184952336,40249609943,"",0,2
false,-894.652,-643.0362,-261.94678,61.0,Middle,ZywOo,76561198113666193,ct,-861.08746,-318.14783,-166.0653,100.0,Catwalk,ropz,76561197991272318,ct,false,false,ct,34.87193,0,121,0,true,head,false,false,0,0,t,false,9182,503.65964,-474.33057,-159.97974,12,TopofMid,torzsi,76561198355739212,t,m4a1,17293822569184952336,40249609943,"",0,2
false,,,,,,,,,-860.6242,-312.86328,-166.28937,100.0,Catwalk,ropz,76561197991272318,ct,false,false,ct,34.26874,0,121,0,true,head,false,false,0,0,t,false,9234,478.24338,-488.27008,-160.7489,100,TopofMid,Jimpphat,76561198855375325,t,m4a1,17293822569184952336,40249609943,"",0,2
false,,,,,,,,,-663.5451,596.2664,-80.42529,43.0,BackAlley,Spinx,76561198063336407,t,false,false,ct,8.444826,3,21,0,false,right_arm,false,false,1,0,t,false,11774,-442.01416,358.03162,-123.97186,14,Underpass,flameZ,76561197978835160,ct,ak47,17293822569150152711,42239583874,"",0,3
false,,,,,,,,,-130.56598,793.8007,-135.96875,43.0,BackAlley,Spinx,76561198063336407,t,false,false,ct,11.11267,3,27,0,false,chest,false,false,0,0,t,false,12283,-380.8405,438.6184,-83.18945,19,Underpass,ropz,76561197991272318,ct,ak47,17293822569150152711,42239583874,"",0,3
false,-442.5332,358.0321,-124.31793,0.0,Underpass,flameZ,76561197978835160,ct,-1119.6621,536.2163,-79.96875,100.0,Apartments,mezii,76561197973140692,ct,false,false,ct,24.426512,5,23,0,false,chest,false,false,0,0,t,false,12757,-161.11371,612.73315,-71.96875,20,BackAlley,Spinx,76561198063336407,t,m4a1_silencer,17293822569126297660,23563090332,"",0,3
false,87.96816,-2189.9893,-39.96875,100.0,PalaceInterior,Jimpphat,76561198855375325,t,95.84833,-2242.6152,-39.96875,100.0,PalaceInterior,torzsi,76561198355739212,t,false,false,ct,42.20107,3,26,0,false,chest,false,false,0,0,t,false,15311,-1217.26,-1228.4751,-167.96875,16,CTSpawn,apEX,76561197989744167,ct,ak47,17293822569179447303,40075330175,"",0,3
