round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1263,7472,7792,ct,t_killed,,not_planted
2,7792,9072,13094,13414,ct,t_killed,,not_planted
3,13414,14694,19175,19495,t,ct_killed,18565,bombsite_b
4,19495,20775,28864,29184,t,bomb_exploded,26240,bombsite_b
5,29184,30464,39021,39341,ct,bomb_defused,37616,bombsite_b
6,39341,42541,49696,50016,t,bomb_exploded,47072,bombsite_b
7,50016,51296,59721,60041,t,bomb_exploded,57097,bombsite_b
8,60041,63484,71163,71483,t,bomb_exploded,68539,bombsite_b
9,71483,72763,78439,78759,t,ct_killed,77345,bombsite_b
10,78759,80039,85271,85591,t,bomb_exploded,82647,bombsite_b
11,85591,88840,90973,91293,ct,t_killed,,not_planted
12,91293,92573,98849,99393,ct,bomb_defused,96838,bombsite_b
13,99393,114276,117914,118234,ct,t_killed,,not_planted
14,118234,119514,127832,128152,ct,bomb_defused,126566,bombsite_b
15,128152,129432,135130,135450,ct,t_killed,,not_planted
16,135450,136730,141653,141973,ct,t_killed,,not_planted
17,141973,145304,152161,152481,t,bomb_exploded,149537,bombsite_b
18,152481,156138,164835,165155,t,bomb_exploded,162211,bombsite_b
19,165155,166435,172084,172404,t,ct_killed,169716,bombsite_b
20,172404,173684,180537,180856,ct,t_killed,,not_planted
21,180856,182136,184757,184757,ct,t_killed,,not_planted
