tick,event,X,Y,Z,steamid,name,bombsite,round_num
4351,plant,-294.37976,-2161.741,-174.05298,76561198034172415,REZ,BombsiteA,1
5553,defuse,-337.08923,-2173.0312,-174.94757,76561197978835160,flameZ,BombsiteA,1
5873,pickup,-872.401,-2356.995,-167.96875,76561198310561479,PR,,2
6127,drop,1296.0,-352.0,-167.96875,76561198310561479,PR,,2
6137,pickup,1216.0,-307.0,-164.81482,76561198002942763,acoR,,2
7267,drop,1331.2184,-673.0472,-121.171875,76561198002942763,acoR,,2
8710,pickup,1272.1251,-689.6508,-154.305,76561198002942763,acoR,,2
8757,drop,1271.1731,-507.86194,-108.5,76561198002942763,acoR,,2
9713,pickup,1212.8309,-102.04431,-163.96875,76561199009468655,ztr,,2
11092,drop,84.62549,-2178.53,-39.96875,76561199009468655,ztr,,2
11727,pickup,84.62549,-2178.53,-39.96875,76561199009468655,ztr,,3
12739,drop,1216.0,-115.0,-163.96875,76561199009468655,ztr,,3
13137,pickup,1384.8751,-40.914917,-167.96875,76561198310561479,PR,,3
13208,drop,1355.3816,-305.84106,-167.96875,76561198310561479,PR,,3
15229,pickup,1256.0569,-320.31512,-163.96875,76561198002942763,acoR,,3
17446,plant,-432.29047,-1981.2831,-179.96875,76561198002942763,acoR,BombsiteA,3
19318,pickup,-1089.6674,639.7654,-79.96875,76561198034172415,REZ,,4
20872,drop,1059.9238,351.20074,-260.27686,76561198034172415,REZ,,4
22730,pickup,888.44904,518.4841,-249.81763,76561199009468655,ztr,,4
22890,drop,1222.977,145.35268,-159.96875,76561199009468655,ztr,,4
22960,pickup,1411.3776,0.6276009,-167.96875,76561198002942763,acoR,,4
25080,plant,-492.34753,-2221.544,-177.5357,76561198002942763,acoR,BombsiteA,4
25758,pickup,-683.8131,-1608.8885,-167.96875,76561198002942763,acoR,,5
29732,pickup,-1233.3756,-1275.3445,-167.96875,76561198316706174,Tauson,,6
30399,drop,1136.0,-64.0,-164.49915,76561198316706174,Tauson,,6
30514,pickup,1216.0,-307.0,-164.81482,76561199009468655,ztr,,6
31063,drop,1192.0415,-152.09741,-163.96875,76561199009468655,ztr,,6
31070,pickup,1150.9088,-44.58972,-164.7323,76561198002942763,acoR,,6
32865,drop,800.2707,616.4048,-181.47626,76561198002942763,acoR,,6
32915,pickup,542.0675,654.7931,-135.96875,76561198034172415,REZ,,6
35449,drop,-2337.3994,779.4573,-80.96875,76561198034172415,REZ,,6
37559,pickup,-2178.371,501.90558,-167.96875,76561198310561479,PR,,7
37725,drop,1216.0,-211.0,-163.96875,76561198310561479,PR,,7
37751,pickup,1296.0,-352.0,-167.96875,76561198034172415,REZ,,7
39667,drop,363.66544,204.43507,-257.16766,76561198034172415,REZ,,7
41175,pickup,338.7654,313.3366,-262.73608,76561198002942763,acoR,,7
42385,drop,-662.0077,-802.5319,-263.96875,76561198002942763,acoR,,7
42393,pickup,-700.61945,-869.9905,-248.96985,76561198316706174,Tauson,,7
42454,drop,-693.45184,-869.43536,-249.24738,76561198316706174,Tauson,,7
45272,pickup,-741.55,-788.8483,-263.96875,76561198310561479,PR,,7
45311,drop,-697.22754,-787.0636,-263.96875,76561198310561479,PR,,7
45631,pickup,-825.9814,-1306.0356,-167.96875,76561199009468655,ztr,,8
50252,drop,141.17357,819.04443,-135.96875,76561199009468655,ztr,,8
50799,pickup,326.22144,807.70355,-135.96875,76561198002942763,acoR,,8
52252,drop,-1243.7208,111.83461,-166.70007,76561198002942763,acoR,,8
53953,pickup,-807.4012,-237.10211,-159.96875,76561198034172415,REZ,,9
56724,pickup,1296.0,32.0,-167.96875,76561199009468655,ztr,,9
58715,drop,131.34557,820.5497,-135.96875,76561199009468655,ztr,,9
59312,pickup,340.30704,812.5167,-135.96875,76561198002942763,acoR,,9
60338,drop,-743.31104,23.27347,-143.96875,76561198002942763,acoR,,9
