round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1265,7762,8082,ct,bomb_defused,6691,bombsite_b
2,8082,9362,15442,15762,ct,t_killed,,not_planted
3,15762,17042,23172,23492,ct,t_killed,,not_planted
4,23492,24772,31681,32001,t,bomb_exploded,29057,bombsite_b
5,32001,35576,42195,42515,t,ct_killed,40404,bombsite_b
6,42515,43795,48558,48878,t,ct_killed,46702,bombsite_b
7,48878,50158,54245,54565,ct,t_killed,,not_planted
8,54565,55845,61939,62259,ct,t_killed,,not_planted
9,62259,65578,71468,71788,ct,t_killed,,not_planted
10,71788,73068,77355,77675,ct,t_killed,,not_planted
11,77675,78955,83644,83964,t,ct_killed,,not_planted
12,83964,88160,91242,91786,ct,t_killed,,not_planted
13,91786,106956,112621,112941,ct,bomb_defused,110463,bombsite_b
14,112941,114221,118554,118874,ct,t_killed,,not_planted
15,118874,120154,125154,125474,ct,t_killed,,not_planted
16,125474,126754,132065,132385,ct,t_killed,,not_planted
17,132385,133665,135147,135467,ct,t_killed,,not_planted
18,135467,136747,143442,143762,ct,t_killed,,not_planted
19,143762,145042,151570,151890,ct,t_killed,,not_planted
20,151890,155126,163246,163566,t,ct_killed,161637,bombsite_b
21,163566,164846,169425,169745,t,bomb_exploded,166801,bombsite_b
22,169745,173002,177332,177652,ct,t_killed,,not_planted
23,177652,178932,184324,184324,ct,bomb_defused,182896,bombsite_b
