ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1282,-1854.7736,-1096.9279,-415.96875,100,TSpawn,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,1305,-1785.1835,-1123.6859,-415.96875,100,TSpawn,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,1348,-1627.3986,-1139.3728,-415.96875,100,TSpawn,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,1375,-1529.2568,-1145.0106,-415.96875,100,TSpawn,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,1397,-1448.5118,-1147.8088,-415.96875,100,TSpawn,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,1417,-1373.9624,-1147.0076,-415.96875,100,TSpawn,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,1438,-1296.6128,-1134.4364,-415.96875,100,TSpawn,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,1599,-1637.4408,-1273.9651,-404.375,100,TSpawn,apEX,76561197989744167,t,weapon_smokegrenade,1
ct,false,t,1609,-633.35767,-776.94684,-415.96875,100,Outside,ropz,76561197991272318,t,weapon_knife_skeleton,1
ct,false,t,1706,-405.81274,-867.6967,-415.96875,100,Lobby,ropz,76561197991272318,t,weapon_hegrenade,1
ct,false,t,1798,-253.76508,-1068.4513,-415.96875,100,Lobby,ropz,76561197991272318,t,weapon_flashbang,1
ct,false,t,2117,-213.32715,-1137.3217,-167.3042,100,Roof,apEX,76561197989744167,t,weapon_knife_canis,1
ct,false,t,2143,-111.946106,-1143.3234,-164.30334,100,Roof,apEX,76561197989744167,t,weapon_knife_canis,1
ct,false,t,2192,197.82259,-2054.034,-367.96875,100,Outside,mezii,76561197973140692,t,weapon_flashbang,1
ct,false,t,2256,407.1452,-992.9488,-255.96875,100,HutRoof,ztr,76561199009468655,ct,weapon_smokegrenade,1
ct,true,t,2366,1234.7848,-587.0912,-239.96875,100,Catwalk,REZ,76561198034172415,ct,weapon_usp_silencer,1
ct,true,t,2382,1226.8232,-586.05707,-239.96875,100,Catwalk,REZ,76561198034172415,ct,weapon_usp_silencer,1
ct,true,t,2397,1224.2351,-600.14996,-239.96875,100,Catwalk,REZ,76561198034172415,ct,weapon_usp_silencer,1
ct,true,t,2410,1231.5768,-597.1703,-239.96875,100,Catwalk,REZ,76561198034172415,ct,weapon_usp_silencer,1
ct,false,t,2497,1041.2448,-2309.3245,-415.96875,100,Outside,mezii,76561197973140692,t,weapon_glock,1
ct,true,t,2500,1413.9136,-488.29663,-222.96875,100,Catwalk,REZ,76561198034172415,ct,weapon_usp_silencer,1
ct,false,t,2510,1052.9403,-2329.0857,-415.96875,100,Outside,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,2522,1045.3564,-2331.2227,-415.96875,100,Outside,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,2570,237.53647,33.125496,-415.96875,100,Control,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2584,238.31294,52.018208,-415.96875,100,Control,ropz,76561197991272318,t,weapon_glock,1
ct,true,t,2589,1193.5675,-639.1128,-415.96875,100,LockerRoom,PR,76561198310561479,ct,weapon_usp_silencer,1
ct,false,t,2599,239.29388,72.367065,-415.96875,100,Control,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2609,239.91173,86.173904,-415.96875,100,Control,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2620,240.27122,93.80019,-415.96875,100,Control,ropz,76561197991272318,t,weapon_glock,1
ct,true,t,2630,1222.8497,-586.91644,-239.96875,100,Catwalk,REZ,76561198034172415,ct,weapon_usp_silencer,1
ct,false,t,2632,1065.9602,-2471.2979,-415.96875,3,Outside,ZywOo,76561198113666193,t,weapon_p250,1
ct,true,t,2638,1136.6515,-639.40784,-415.96875,100,LockerRoom,PR,76561198310561479,ct,weapon_usp_silencer,1
