round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1263,8433,8753,t,ct_killed,5971,bombsite_b
2,8753,10033,16804,17124,ct,bomb_defused,15370,bombsite_b
3,17124,18404,22968,23288,ct,t_killed,,not_planted
4,23288,24568,27503,27823,ct,t_killed,,not_planted
5,27823,29103,36686,37006,ct,bomb_defused,35949,bombsite_b
6,37006,38286,42057,42376,ct,t_killed,,not_planted
7,42376,45817,50672,50992,ct,bomb_defused,48334,bombsite_b
8,50992,54541,58843,59163,t,ct_killed,57063,bombsite_b
9,59163,60443,64223,64543,ct,t_killed,,not_planted
10,64543,65823,73724,74044,t,ct_killed,72360,bombsite_b
11,74044,75324,79378,79698,ct,t_killed,,not_planted
12,79698,80978,84639,85183,ct,t_killed,,not_planted
13,85183,99886,105775,106095,t,bomb_exploded,103151,bombsite_b
14,106095,107375,112015,112335,t,ct_killed,111189,bombsite_b
15,112335,113615,117906,118226,t,ct_killed,116179,bombsite_b
16,118226,119506,122369,122689,ct,t_killed,,not_planted
17,122689,123969,129680,130000,ct,t_killed,,not_planted
18,130000,131280,135001,135321,ct,t_killed,,not_planted
19,135321,138559,141652,141972,ct,t_killed,,not_planted
20,141972,143252,147552,147872,ct,t_killed,,not_planted
21,147872,149152,156090,156090,t,ct_killed,154442,bombsite_b
