ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,true,t,2265,396.27667,2113.5884,139.65146,100,Banana,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,2281,405.63077,2111.1062,139.92305,100,Banana,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,2297,405.63077,2111.1062,139.92305,100,Banana,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,false,t,2312,103.00277,886.3755,80.03125,100,Middle,NAF,76561198001151695,t,weapon_glock,1
ct,true,t,2319,420.0908,2107.2727,140.13982,100,Banana,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,false,t,2389,50.27228,1395.9619,104.03125,100,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,2405,52.606525,1394.2488,104.03125,100,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,2407,71.765076,895.0955,80.33636,100,Middle,NAF,76561198001151695,t,weapon_glock,1
ct,false,t,2414,46.55536,1398.6602,104.03125,100,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,2424,51.094585,1396.0842,104.03125,100,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,2433,45.600887,903.1616,80.68814,100,Middle,NAF,76561198001151695,t,weapon_glock,1
ct,false,t,2434,47.958393,1399.0634,104.03125,100,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,2443,47.79985,1399.1843,104.03125,100,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,4343,457.26797,1833.3123,136.03122,100,Banana,siuhy,76561198150673360,t,weapon_smokegrenade,1
ct,false,t,4345,369.5406,1664.0719,137.26562,100,Banana,ultimate,76561198283989223,t,weapon_smokegrenade,1
ct,false,t,4471,416.247,3094.964,161.79811,100,BombsiteB,Brollan,76561198138828475,ct,weapon_smokegrenade,1
ct,false,t,4590,273.10986,1697.1549,117.93879,100,Banana,NAF,76561198001151695,t,weapon_decoy,1
ct,false,t,4629,409.06616,2008.8679,136.03122,100,Banana,siuhy,76561198150673360,t,weapon_molotov,1
ct,false,t,4723,368.1537,1671.1089,134.0313,100,Banana,ultimate,76561198283989223,t,weapon_flashbang,1
ct,false,t,4755,779.66223,2057.9802,136.0313,100,Banana,NertZ,76561198053126645,t,weapon_hegrenade,1
ct,false,t,4857,537.2724,3308.2332,167.03125,100,BombsiteB,Brollan,76561198138828475,ct,weapon_flashbang,1
ct,false,t,4914,847.77747,2183.6948,136.13934,93,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,4923,844.033,2182.3723,136.07715,93,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,4933,852.0538,2183.073,136.19856,93,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,4942,839.4108,2181.4836,136.03128,93,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,4954,843.06586,2192.5244,136.03128,93,Banana,NertZ,76561198053126645,t,weapon_glock,1
ct,false,t,5017,782.2426,2235.1396,170.28125,93,Banana,NertZ,76561198053126645,t,weapon_glock,1
