entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
576,4614,6026,535.041748046875,3331.84814453125,167.03125,100,BombsiteB,Brollan,76561198138828475,ct,699.3075561523438,2312.49755859375,138.03146362304688,1
575,4666,6078,365.51971435546875,1666.126953125,134.03131103515625,100,Banana,ultimate,76561198283989223,t,943.7772216796875,2713.008056640625,134.9683074951172,1
573,4676,6088,393.3854675292969,1978.29833984375,136.03121948242188,100,Banana,siuhy,76561198150673360,t,533.5211791992188,3111.13671875,210.5475616455078,1
366,11212,12624,937.1304931640625,-91.06622314453125,283.78125,100,Balcony,NAF,76561198001151695,t,1362.3865966796875,996.9827880859375,160.6486053466797,2
380,11711,13123,419.49102783203125,1764.532470703125,134.03123474121094,41,Banana,xertioN,76561198193174134,ct,115.49036407470703,1107.4351806640625,88.99830627441406,2
73,11722,13134,41.24200439453125,808.9418334960938,80.03125,100,Middle,ultimate,76561198283989223,t,169.52310180664062,1713.4195556640625,117.2232666015625,2
513,14392,15804,490.4573669433594,2010.5135498046875,136.03121948242188,100,Banana,Twistzz,76561198016255205,t,1052.6795654296875,2637.998291015625,244.28500366210938,2
518,14550,15962,1127.345703125,2757.679443359375,125.56896209716797,24,Ruins,Spinx,76561198063336407,ct,762.4470825195312,2547.253662109375,138.03146362304688,2
249,19134,20546,-383.458740234375,-145.660400390625,192.03125,100,Bridge,siuhy,76561198150673360,t,1414.9940185546875,506.0240783691406,120.9366683959961,3
254,19145,20557,-63.2344970703125,913.1244506835938,72.87661743164062,100,TRamp,NertZ,76561198053126645,t,410.57440185546875,1968.6339111328125,138.03121948242188,3
251,19289,20701,2365.41796875,833.9784545898438,156.83682250976562,100,BombsiteA,torzsi,76561198355739212,ct,137.9136199951172,1039.4051513671875,86.28795623779297,3
273,19969,21381,2065.540283203125,55.988319396972656,125.88763427734375,100,BombsiteA,Jimpphat,76561198855375325,ct,1862.405029296875,-313.9496154785156,263.03125,3
275,20554,21966,1054.52001953125,2752.5283203125,128.33285522460938,100,Ruins,Brollan,76561198138828475,ct,167.83816528320312,1029.4468994140625,86.7879409790039,3
278,21005,22417,1736.571044921875,-50.670654296875,134.85816955566406,100,BombsiteA,torzsi,76561198355739212,ct,1169.6279296875,346.8207702636719,130.03125,3
280,21405,22817,1075.4036865234375,465.4934997558594,104.49237823486328,100,Middle,Twistzz,76561198016255205,t,2314.8798828125,757.555419921875,154.38726806640625,3
78,25208,26620,1446.0267333984375,937.523681640625,147.51104736328125,100,TopofMid,Spinx,76561198063336407,ct,134.48971557617188,1032.2767333984375,85.72309112548828,4
989,29829,31241,-374.3839111328125,760.8203125,-2.5882568359375,100,LowerMid,ultimate,76561198283989223,t,199.41358947753906,1736.4481201171875,119.95416259765625,5
991,29935,31347,2383.027099609375,1079.268310546875,164.99981689453125,100,BombsiteA,Jimpphat,76561198855375325,ct,168.17364501953125,1456.492431640625,103.69105529785156,5
1004,30628,32040,2632.970947265625,-177.12689208984375,100.83660888671875,100,Pit,Jimpphat,76561198855375325,ct,1811.884521484375,-284.2108459472656,263.03125,5
1018,31547,32959,1192.4439697265625,205.07562255859375,182.46978759765625,100,Apartments,NAF,76561198001151695,t,1500.16796875,931.5543823242188,145.58335876464844,5
948,31868,33280,701.596435546875,2316.68017578125,136.03146362304688,80,BombsiteB,Brollan,76561198138828475,ct,758.5843505859375,2542.466796875,138.03146362304688,5
967,32782,34194,157.24392700195312,1190.4337158203125,93.21820831298828,46,Banana,Twistzz,76561198016255205,t,1054.0496826171875,2633.19580078125,244.9906463623047,5
997,34777,36189,1769.474853515625,78.23926544189453,129.81703186035156,71,BombsiteA,ultimate,76561198283989223,t,2028.076904296875,217.9986114501953,162.03125,5
891,39007,40419,1594.0770263671875,1221.4593505859375,177.03125,100,Arch,torzsi,76561198355739212,ct,165.71658325195312,1456.410400390625,103.64081573486328,6
898,39014,40426,140.85037231445312,685.1192016601562,81.07381439208984,100,Middle,NertZ,76561198053126645,t,214.24710083007812,1726.6688232421875,119.95346069335938,6
381,40907,42319,765.18310546875,144.2552490234375,90.12816619873047,81,SecondMid,siuhy,76561198150673360,t,1462.3671875,726.1871337890625,129.44985961914062,6
765,46457,47869,-574.4683837890625,483.96826171875,40.03125,100,LowerMid,ultimate,76561198283989223,t,98.0000991821289,1227.7613525390625,94.01092529296875,7
785,47150,48562,372.6279602050781,1861.963623046875,137.03125,100,Banana,Twistzz,76561198016255205,t,447.05816650390625,1959.0491943359375,138.03123474121094,7
706,47601,49013,437.51519775390625,3142.3486328125,162.5127716064453,0,BombsiteB,Brollan,76561198138828475,ct,871.6116943359375,2333.875,140.03076171875,7
966,47854,49266,670.045654296875,2480.8505859375,142.88748168945312,93,BombsiteB,Twistzz,76561198016255205,t,995.2119750976562,2671.09521484375,140.0029754638672,7
867,47918,49330,827.7047729492188,2490.483642578125,136.03146362304688,60,BombsiteB,ultimate,76561198283989223,t,985.1277465820312,2723.980712890625,133.4746856689453,7
589,55184,56596,2271.932373046875,785.5048217773438,152.02708435058594,100,BombsiteA,Jimpphat,76561198855375325,ct,135.00778198242188,1039.1063232421875,86.14827728271484,8
553,55227,56639,41.25756072998047,894.0195922851562,134.046875,100,TRamp,Twistzz,76561198016255205,t,1403.494873046875,531.8919677734375,120.2602767944336,8
625,56383,57795,714.460693359375,2162.78466796875,136.03131103515625,51,Banana,siuhy,76561198150673360,t,974.4373168945312,2725.496826171875,134.05909729003906,8
633,56524,57936,839.1926879882812,2265.747314453125,140.0843048095703,77,Banana,NertZ,76561198053126645,t,427.41656494140625,3206.614013671875,162.83697509765625,8
578,58541,,200.8069610595703,2983.797607421875,161.53126525878906,51,BombsiteB,siuhy,76561198150673360,t,1016.5741577148438,2688.66162109375,131.6910400390625,8
71,61093,62505,2289.664306640625,762.1102905273438,151.41290283203125,100,BombsiteA,torzsi,76561198355739212,ct,137.0255584716797,1034.2650146484375,85.94591522216797,9
