tick,event,X,Y,Z,steamid,name,bombsite,round_num
849,drop,-2033.0,1362.2332,-171.96875,76561198193174134,xertioN,,1
863,pickup,-1925.0,1394.0,-171.96875,76561198063336407,Spinx,,1
910,drop,-1925.0,1394.0,-171.96875,76561198063336407,Spinx,,1
917,pickup,-1916.0,1456.2332,-171.96875,76561198855375325,Jimpphat,,1
6358,plant,452.03134,-108.33569,-141.96875,76561198855375325,Jimpphat,BombsiteA,1
7020,pickup,-436.49768,-226.06702,-215.96875,76561198193174134,xertioN,,2
7147,drop,-1955.0,1326.0,-171.96875,76561198193174134,xertioN,,2
7162,pickup,-1850.0,1256.0,-171.96875,76561198855375325,Jimpphat,,2
7626,drop,-1850.0,1256.0,-171.96875,76561198855375325,Jimpphat,,2
8340,pickup,-1823.4767,1426.5181,-171.96875,76561198138828475,Brollan,,2
8546,drop,-1095.5847,1334.6372,-215.96875,76561198138828475,Brollan,,2
8553,pickup,-1124.6825,1385.8302,-215.96875,76561198063336407,Spinx,,2
8607,drop,-944.9117,1319.4247,-215.96875,76561198063336407,Spinx,,2
8614,pickup,-898.1209,1235.6017,-214.09985,76561198138828475,Brollan,,2
8725,drop,-926.0318,828.829,-35.573975,76561198138828475,Brollan,,2
8741,pickup,-1004.4618,864.7901,-62.35022,76561198063336407,Spinx,,2
8869,drop,-1007.96826,381.96832,16.03125,76561198063336407,Spinx,,2
9028,pickup,-971.099,469.51843,16.031248,76561198355739212,torzsi,,2
11874,drop,-903.1355,1279.6868,-213.96875,76561198355739212,torzsi,,2
11881,pickup,-909.76794,1261.5929,-213.96753,76561198063336407,Spinx,,2
12228,pickup,-393.5617,1345.769,-107.96875,76561198063336407,Spinx,,3
13441,drop,-1850.0,1256.0,-171.96875,76561198063336407,Spinx,,3
13456,pickup,-1955.0,1326.0,-171.96875,76561198855375325,Jimpphat,,3
13765,drop,-1027.2114,1345.9115,-215.96875,76561198855375325,Jimpphat,,3
13939,pickup,-968.2107,1355.0564,-215.96875,76561198355739212,torzsi,,3
14024,drop,-773.6937,1156.4124,-215.96875,76561198355739212,torzsi,,3
14174,pickup,-758.1899,871.8887,-213.96875,76561198855375325,Jimpphat,,3
14222,drop,-774.82684,1043.2517,-215.96875,76561198855375325,Jimpphat,,3
16239,pickup,1105.4015,-43.654053,-211.96875,76561198855375325,Jimpphat,,4
17489,drop,-1850.0,1256.0,-171.96875,76561198855375325,Jimpphat,,4
17504,pickup,-1955.0,1326.0,-171.96875,76561198355739212,torzsi,,4
17795,drop,-980.20807,1398.516,-215.96875,76561198355739212,torzsi,,4
17816,pickup,-772.9201,1362.2256,-215.96875,76561198855375325,Jimpphat,,4
20336,drop,-621.18353,416.07294,-215.96875,76561198855375325,Jimpphat,,4
21136,pickup,-387.62598,-110.53998,-215.96875,76561198138828475,Brollan,,5
22593,drop,-1450.8914,1416.6091,-171.96875,76561198138828475,Brollan,,5
22620,pickup,-1534.9127,1366.7588,-171.96875,76561198355739212,torzsi,,5
27035,plant,372.66385,-12.737244,-215.96875,76561198355739212,torzsi,BombsiteA,5
29659,detonate,-798.9676,1261.5768,-215.96875,76561198355739212,torzsi,,5
29668,pickup,-798.9676,1261.5768,-215.96875,76561198355739212,torzsi,,6
31291,drop,-745.3544,1133.7766,-215.96875,76561198355739212,torzsi,,6
31330,pickup,-766.7495,1098.6688,-215.96875,76561198193174134,xertioN,,6
31369,drop,-770.4083,946.4162,-214.96875,76561198193174134,xertioN,,6
32776,pickup,-726.49835,924.0148,-214.96875,76561198855375325,Jimpphat,,6
32977,pickup,136.67973,-22.509766,-160.64062,76561198193174134,xertioN,,7
33239,drop,-1916.0,1456.2332,-171.96875,76561198193174134,xertioN,,7
33246,pickup,-1925.0,1394.0,-171.96875,76561198855375325,Jimpphat,,7
34650,drop,-732.51965,1264.6814,-215.96875,76561198855375325,Jimpphat,,7
34657,pickup,-775.983,1244.3638,-215.96875,76561198138828475,Brollan,,7
36809,plant,116.96554,-109.09534,-215.96875,76561198138828475,Brollan,BombsiteA,7
39433,detonate,-741.5718,-890.4177,-230.16663,76561198138828475,Brollan,,7
39753,pickup,290.95193,556.4949,-215.96875,76561198063336407,Spinx,,8
43802,drop,-648.11206,945.4386,-214.96875,76561198138828475,Brollan,,8
44529,pickup,-763.0616,999.9712,-215.96875,76561198855375325,Jimpphat,,8
45251,pickup,116.96669,-35.196533,-215.96875,76561198855375325,Jimpphat,,9
46860,drop,-951.08484,1375.6464,-215.96875,76561198855375325,Jimpphat,,9
48526,pickup,-899.39197,1236.6078,-213.96875,76561198138828475,Brollan,,9
51155,drop,-464.01013,-1537.8452,-170.64398,76561198138828475,Brollan,,9
52089,pickup,-464.83337,-1536.6045,-170.71289,76561198138828475,Brollan,,10
54011,drop,-926.33636,985.59216,-152.29803,76561198138828475,Brollan,,10
54668,pickup,-921.63586,1076.8318,-170.96875,76561198193174134,xertioN,,10
55663,drop,-701.78784,-865.6555,-259.57953,76561198193174134,xertioN,,10
55679,pickup,-533.4711,-882.7728,-318.96875,76561198138828475,Brollan,,10
56176,plant,-313.03125,-1306.6426,-350.96875,76561198138828475,Brollan,BombsiteB,10
58074,pickup,942.41327,-39.397827,-211.96875,76561198355739212,torzsi,,11
65634,plant,-265.56018,-1385.6084,-350.96875,76561198355739212,torzsi,BombsiteB,11
68051,pickup,-495.59558,515.1229,-215.96875,76561198193174134,xertioN,,12
68421,drop,-1925.0,1394.0,-171.96875,76561198193174134,xertioN,,12
68428,pickup,-1955.0,1326.0,-171.96875,76561198355739212,torzsi,,12
69698,drop,-761.13104,1203.1458,-215.96875,76561198355739212,torzsi,,12
70494,pickup,-774.3008,908.54474,-215.96875,76561198355739212,torzsi,,12
70845,drop,-352.3131,1475.9697,-216.14648,76561198355739212,torzsi,,12
70860,pickup,-213.0841,1534.899,-216.32416,76561198138828475,Brollan,,12
92063,drop,-257.95227,4.7216635,-215.96875,76561198016255205,Twistzz,,13
92069,pickup,-227.92719,48.536697,-215.96875,76561198053126645,NertZ,,13
92186,drop,-235.53998,-2.2315674,-215.96875,76561198053126645,NertZ,,13
92837,pickup,1114.2664,1386.8358,-214.69421,76561198001151695,NAF,,14
95765,drop,-955.85364,-830.9494,-153.96875,76561198001151695,NAF,,14
96723,pickup,-633.2679,558.8988,-215.96875,76561198283989223,ultimate,,15
100068,drop,16.95745,1615.488,-215.96875,76561198283989223,ultimate,,15
100330,pickup,182.45071,1565.5974,-215.96875,76561198053126645,NertZ,,15
100399,drop,54.20842,1626.1469,-215.96875,76561198053126645,NertZ,,15
