armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
95,-951.517,-525.83344,-88.70459,100.0,BackofB,xertioN,76561198193174134,t,ct,5,9,91,chest,t,2472,-958.2902,-1730.8776,-153.96875,100,BackofB,NAF,76561198001151695,ct,glock,9,1
90,-944.25134,-525.8987,-88.848755,100.0,BackofB,xertioN,76561198193174134,t,ct,5,9,82,chest,t,2486,-935.9561,-1730.9233,-153.96875,91,BackofB,NAF,76561198001151695,ct,glock,9,1
90,-1047.1664,-1584.8525,-153.96875,100.0,BackofB,Spinx,76561198063336407,t,ct,0,106,0,head,t,4565,-732.5623,-1775.5353,-153.96875,82,BackofB,NAF,76561198001151695,ct,glock,82,1
93,-850.15546,568.44275,-215.96875,100.0,TMain,Brollan,76561198138828475,t,ct,7,12,88,chest,t,4865,-507.1892,461.89197,-207.82812,100,TMain,NertZ,76561198053126645,ct,glock,12,1
85,-850.58344,567.33887,-215.96875,100.0,TMain,Brollan,76561198138828475,t,ct,8,15,73,stomach,t,4875,-474.3629,476.92825,-165.4375,88,BombsiteA,NertZ,76561198053126645,ct,glock,15,1
79,-850.4634,566.68,-215.96875,100.0,TMain,Brollan,76561198138828475,t,ct,6,12,61,chest,t,4895,-425.38214,529.4056,-166.23438,73,BombsiteA,NertZ,76561198053126645,ct,glock,12,1
79,-697.3634,407.9656,-215.96875,100.0,TMain,Brollan,76561198138828475,t,ct,0,107,0,head,t,4964,-440.06482,623.4564,-215.96875,61,BombsiteA,NertZ,76561198053126645,ct,glock,61,1
100,-436.6294,-222.68268,-215.96875,100.0,LongDog,xertioN,76561198193174134,t,ct,0,84,16,head,t,5163,659.8384,-179.41797,-215.96875,100,BombsiteA,ultimate,76561198283989223,ct,glock,84,1
100,660.138,-181.09302,-215.96875,16.0,BombsiteA,ultimate,76561198283989223,ct,ct,0,114,0,head,t,5190,-436.48975,-226.24243,-215.96875,100,LongDog,xertioN,76561198193174134,t,hkp2000,100,1
100,-453.54346,169.11263,-215.96875,100.0,BombsiteA,Brollan,76561198138828475,t,ct,0,1,15,generic,t,5228,661.35876,-234.01276,-215.96875,16,BombsiteA,ultimate,76561198283989223,ct,inferno,1,1
100,-458.40424,126.01142,-215.96875,100.0,BombsiteA,Brollan,76561198138828475,t,ct,0,2,13,generic,t,5241,660.2312,-274.96765,-207.76868,15,BombsiteA,ultimate,76561198283989223,ct,inferno,2,1
100,-464.3766,98.836266,-215.96875,100.0,BombsiteA,Brollan,76561198138828475,t,ct,0,3,10,generic,t,5254,655.7023,-319.64246,-207.96875,13,BombsiteA,ultimate,76561198283989223,ct,inferno,3,1
0,368.8891,373.8515,-215.96875,100.0,BombsiteA,siuhy,76561198150673360,ct,ct,0,29,71,chest,t,5445,-276.6371,-203.01459,-215.96875,100,LongDog,Brollan,76561198138828475,t,hkp2000,29,1
0,-229.08246,-261.62268,-215.96875,71.0,BombsiteA,Brollan,76561198138828475,t,ct,0,22,78,chest,t,5485,356.291,385.96805,-215.96875,100,BombsiteA,siuhy,76561198150673360,ct,glock,22,1
