tick,event,X,Y,Z,steamid,name,bombsite,round_num
133,drop,-367.0,-808.0,83.744965,76561198251984554,CYPHER,,1
5966,pickup,-560.3236,-793.1604,113.20888,76561198263656468,CacaNito,,1
7402,drop,-293.99487,576.2186,-0.9165039,76561198263656468,CacaNito,,1
7409,pickup,-259.18127,662.50854,1.5916882,76561197999825422,nexa,,1
8281,drop,305.84766,2047.7784,96.89839,76561197999825422,nexa,,1
8291,pickup,384.68744,2038.3699,95.81942,76561198158709510,pr1metapz,,1
8303,drop,386.59113,2047.5056,95.866196,76561198158709510,pr1metapz,,1
8623,pickup,1312.8726,1686.5267,1.03125,76561198153651861,nawwk,,2
14909,drop,-1739.3785,482.37848,26.352266,76561198153651861,nawwk,,2
15229,pickup,-1690.6432,615.9761,31.430729,76561197999825422,nexa,,3
22908,plant,1161.2805,2585.8857,96.580475,76561197999825422,nexa,BombsiteA,3
25532,detonate,1141.262,220.44223,12.314405,76561197999825422,nexa,,3
25852,pickup,-275.86438,-1163.9684,70.77823,76561198251984554,CYPHER,,4
27383,drop,245.02612,-306.72754,0.85147667,76561198251984554,CYPHER,,4
27890,pickup,373.9295,-349.79718,9.031252,76561198153651861,nawwk,,4
33528,pickup,1778.4908,1929.3816,2.987845,76561198158709510,pr1metapz,,5
33528,plant,1129.6278,2488.486,95.74374,76561198153651861,nawwk,BombsiteA,5
34041,drop,-760.66296,-836.174,117.07177,76561198158709510,pr1metapz,,5
34832,pickup,-609.0166,-773.3294,117.024445,76561198153651861,nawwk,,5
38920,drop,51.44225,1415.1163,28.53125,76561198153651861,nawwk,,5
39086,pickup,-435.21045,1516.5216,-125.86255,76561198263656468,CacaNito,,5
41006,plant,987.96857,2512.8499,96.53125,76561198263656468,CacaNito,BombsiteA,5
41925,pickup,719.9116,2485.7131,96.238174,76561198263656468,CacaNito,,6
42305,drop,-367.0,-808.0,83.744965,76561198263656468,CacaNito,,6
42322,pickup,-493.0,-808.0,108.56338,76561197999825422,nexa,,6
42933,drop,-493.0,-808.0,108.56338,76561197999825422,nexa,,6
45145,pickup,-593.4374,-738.3445,121.2277,76561198153651861,nawwk,,6
49754,drop,-1586.7203,2601.849,4.2404437,76561198153651861,nawwk,,6
50074,pickup,-1587.006,2601.6511,4.236397,76561198153651861,nawwk,,7
51074,drop,-1076.0,-843.0,116.78947,76561198153651861,nawwk,,7
51813,pickup,-858.1056,-797.8102,117.34096,76561198158709510,pr1metapz,,7
53374,plant,-1366.0327,2553.1384,4.811245,76561198158709510,pr1metapz,BombsiteB,7
55998,detonate,-1619.163,573.018,36.1875,76561198158709510,pr1metapz,,7
56318,pickup,-1421.0027,539.4916,64.03125,76561197999825422,nexa,,8
63104,plant,1110.3868,2541.4292,96.03124,76561197999825422,nexa,BombsiteA,8
65728,detonate,-1468.1001,-314.88477,130.90784,76561197999825422,nexa,,8
65994,pickup,523.52155,822.43134,2.0977569,76561198251984554,CYPHER,,9
66295,drop,-1015.0,-808.0,116.08262,76561198251984554,CYPHER,,9
66302,pickup,-980.0,-754.0,120.18125,76561198153651861,nawwk,,9
72590,drop,381.7559,1733.3538,91.362686,76561198153651861,nawwk,,9
72601,pickup,306.9594,1840.4335,97.2281,76561197999825422,nexa,,9
73422,plant,975.9879,2583.9546,96.53125,76561197999825422,nexa,BombsiteA,9
77097,pickup,-289.3098,-713.6316,77.42649,76561198251984554,CYPHER,,10
77241,drop,157.72722,-431.89948,1.1865363,76561198251984554,CYPHER,,10
77624,pickup,362.0841,-380.29443,5.09363,76561197999825422,nexa,,10
82916,plant,1001.0114,2575.5715,96.53125,76561197999825422,nexa,BombsiteA,10
85540,detonate,360.02612,1368.8479,0.28514957,76561197999825422,nexa,,10
85860,pickup,281.53036,1633.3582,15.641707,76561198263656468,CacaNito,,11
86148,drop,-428.0,-843.0,95.29629,76561198263656468,CacaNito,,11
86155,pickup,-493.0,-808.0,108.56338,76561198158709510,pr1metapz,,11
86374,drop,-493.0,-808.0,108.56338,76561198158709510,pr1metapz,,11
87530,pickup,-251.03516,-774.8162,56.488277,76561197999825422,nexa,,11
93521,drop,-1978.6194,1794.3562,33.03125,76561197999825422,nexa,,11
93841,pickup,-614.7426,502.3651,8.546875,76561198153651861,nawwk,,12
97491,drop,685.9722,1188.8807,47.890625,76561198153651861,nawwk,,12
97809,pickup,631.45654,1105.3873,1.4870503,76561197999825422,nexa,,12
100911,plant,1228.7274,2580.699,99.15409,76561197999825422,nexa,BombsiteA,12
122468,plant,987.9195,2506.1414,96.53125,76561198138828475,Brollan,BombsiteA,13
123315,pickup,-346.18884,1182.1809,-95.092896,76561198855375325,Jimpphat,,14
123411,drop,-367.0,-808.0,83.744965,76561198855375325,Jimpphat,,14
124635,pickup,-549.0929,-762.82404,114.61043,76561198138828475,Brollan,,14
124852,drop,132.90964,-424.9729,1.9370303,76561198138828475,Brollan,,14
126040,pickup,293.10178,-338.60742,0.61951184,76561198355739212,torzsi,,14
128347,plant,-1370.6392,2553.153,4.568909,76561198355739212,torzsi,BombsiteB,14
128853,pickup,-1425.2107,284.84235,4.3269186,76561198063336407,Spinx,,15
129887,drop,-980.0,-754.0,120.18125,76561198063336407,Spinx,,15
129902,pickup,-857.50653,-738.3613,122.08912,76561198138828475,Brollan,,15
130390,drop,42.43035,-537.1207,1.430865,76561198138828475,Brollan,,15
130536,pickup,339.04337,-573.85223,0.4812274,76561198855375325,Jimpphat,,15
133780,pickup,1313.7865,1872.8871,1.03125,76561198355739212,torzsi,,16
142665,plant,1235.9688,2561.0312,99.602425,76561198355739212,torzsi,BombsiteA,16
145289,detonate,1136.3273,2456.2222,95.48418,76561198355739212,torzsi,,16
145609,pickup,-477.58765,923.7317,-31.817505,76561198193174134,xertioN,,17
145768,drop,-332.0,-754.0,78.877106,76561198193174134,xertioN,,17
146886,drop,-332.0,-754.0,78.877106,76561198193174134,xertioN,,17
146969,pickup,-521.0009,-746.5433,113.691696,76561198138828475,Brollan,,17
147624,drop,-313.61487,-582.46356,0.8568189,76561198138828475,Brollan,,17
147631,pickup,-386.19647,-531.7211,1.0562029,76561198355739212,torzsi,,17
149814,drop,-1973.8988,1510.2885,32.858055,76561198355739212,torzsi,,17
149821,pickup,-1961.7698,1572.0739,33.549038,76561198138828475,Brollan,,17
