armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
100,-658.3391,2549.7502,-81.57538,100.0,MidDoors,xertioN,76561198193174134,ct,ct,0,92,8,head,t,7300,-109.4505,436.47107,-1.0222778,100,TopofMid,CacaNito,76561198263656468,t,hkp2000,92,1
93,521.92395,2081.2983,127.12714,100.0,ExtendedA,Spinx,76561198063336407,ct,ct,7,15,85,chest,t,7723,278.43225,1505.8835,1.734375,100,ShortStairs,nexa,76561197999825422,t,hkp2000,15,1
93,601.6471,2402.3074,127.03125,100.0,ExtendedA,torzsi,76561198355739212,ct,ct,7,15,85,chest,t,7766,396.0353,1701.3564,68.92012,100,ShortStairs,CYPHER,76561198251984554,t,hkp2000,15,1
64,650.3939,2628.389,94.650215,100.0,ExtendedA,Brollan,76561198138828475,ct,ct,29,44,41,generic,t,7834,404.75165,1653.8716,35.614773,85,ShortStairs,nexa,76561197999825422,t,hegrenade,44,1
78,650.3939,2628.389,94.650215,100.0,ExtendedA,Brollan,76561198138828475,ct,ct,22,33,0,generic,t,7834,375.6659,1502.5701,1.6961999,8,ShortStairs,CacaNito,76561198263656468,t,hegrenade,8,1
79,650.3939,2628.389,94.650215,100.0,ExtendedA,Brollan,76561198138828475,ct,ct,14,21,64,generic,t,7834,380.2449,1733.5552,91.50395,85,ShortStairs,CYPHER,76561198251984554,t,hegrenade,21,1
0,372.0429,1752.578,103.03124,64.0,ShortStairs,CYPHER,76561198251984554,t,ct,0,22,78,chest,t,7842,628.1363,2635.189,94.95387,100,ExtendedA,Brollan,76561198138828475,ct,glock,22,1
72,648.3001,2629.1714,94.68504,78.0,ExtendedA,Brollan,76561198138828475,ct,ct,7,14,50,chest,t,7883,407.57065,1767.4836,103.24002,64,ShortStairs,CYPHER,76561198251984554,t,hkp2000,14,1
65,640.4437,2631.3167,94.78979,78.0,ExtendedA,Brollan,76561198138828475,ct,ct,7,14,36,chest,t,7895,402.16525,1769.1714,103.24002,50,ShortStairs,CYPHER,76561198251984554,t,hkp2000,14,1
64,634.93134,2410.0056,127.03125,100.0,ExtendedA,torzsi,76561198355739212,ct,ct,1,2,34,stomach,t,7918,419.3791,1770.4312,103.24002,36,ShortStairs,CYPHER,76561198251984554,t,hkp2000,2,1
0,421.0911,1771.3374,103.24002,34.0,ShortStairs,CYPHER,76561198251984554,t,ct,0,22,56,chest,t,7923,615.05316,2637.9688,95.1247,78,ExtendedA,Brollan,76561198138828475,ct,glock,22,1
57,629.13824,2408.5125,127.03125,100.0,ExtendedA,torzsi,76561198355739212,ct,ct,7,15,19,chest,t,7933,424.4421,1773.0555,103.23481,34,ShortStairs,CYPHER,76561198251984554,t,hkp2000,15,1
57,606.9432,2639.8218,95.19212,56.0,ExtendedA,Brollan,76561198138828475,ct,ct,0,118,0,head,t,7937,425.87003,1773.0302,103.225235,19,ShortStairs,CYPHER,76561198251984554,t,hkp2000,19,1
94,334.50336,1710.488,63.10625,41.0,ShortStairs,nexa,76561197999825422,t,ct,6,11,89,chest,t,7964,615.77765,2412.7703,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,glock,11,1
0,400.31982,1721.6029,83.120766,41.0,ShortStairs,nexa,76561197999825422,t,ct,0,22,34,chest,t,8041,708.35175,2612.824,94.260315,56,ExtendedA,Brollan,76561198138828475,ct,glock,22,1
0,335.5575,1739.2606,80.81246,41.0,ShortStairs,nexa,76561197999825422,t,ct,0,87,0,head,t,8079,784.98334,2609.8362,94.7282,34,ExtendedA,Brollan,76561198138828475,ct,glock,34,1
92,1316.6267,2026.4758,1.03125,100.0,LongA,Spinx,76561198063336407,ct,ct,8,16,84,chest,t,8128,1371.3348,1671.9917,56.75,100,LongA,nawwk,76561198153651861,t,hkp2000,16,1
84,1310.3737,2017.2687,1.03125,100.0,LongA,Spinx,76561198063336407,ct,ct,8,16,68,chest,t,8139,1332.5582,1680.1746,46.390625,84,LongA,nawwk,76561198153651861,t,hkp2000,16,1
84,1300.3123,2013.0593,1.03125,100.0,LongA,Spinx,76561198063336407,ct,ct,0,131,0,head,t,8150,1312.384,1686.211,3.390625,68,LongA,nawwk,76561198153651861,t,hkp2000,68,1
64,1125.9937,2220.872,8.460674,100.0,UnderA,xertioN,76561198193174134,ct,ct,0,119,0,head,t,8281,305.84766,2047.7784,96.89839,41,ExtendedA,nexa,76561197999825422,t,hkp2000,41,1
0,1404.337,2318.6235,8.958899,89.0,ARamp,torzsi,76561198355739212,ct,ct,0,28,72,chest,t,8302,386.25708,2048.5293,95.8566,100,ExtendedA,pr1metapz,76561198158709510,t,hkp2000,28,1
0,1127.3185,2214.624,7.6572485,100.0,UnderA,xertioN,76561198193174134,ct,ct,0,121,0,head,t,8303,386.59113,2047.5056,95.866196,72,ExtendedA,pr1metapz,76561198158709510,t,hkp2000,72,1
0,,,,,,,,,ct,0,5,95,generic,t,10214,-1745.0758,70.70195,4.125,100,OutsideTunnel,CacaNito,76561198263656468,t,"",5,2
0,-1711.9447,1344.622,40.869877,100.0,UpperTunnel,Jimpphat,76561198855375325,ct,ct,0,86,14,head,t,14166,-1677.3215,696.21674,31.46009,100,OutsideTunnel,pr1metapz,76561198158709510,t,mp9,86,2
0,-1709.6803,1344.7247,40.876595,100.0,UpperTunnel,Jimpphat,76561198855375325,ct,ct,0,21,0,chest,t,14175,-1670.1941,701.7906,31.538513,14,OutsideTunnel,pr1metapz,76561198158709510,t,mp9,14,2
0,-1719.1033,1342.9402,40.669724,100.0,UpperTunnel,Jimpphat,76561198855375325,ct,ct,0,21,79,chest,t,14784,-1656.6991,688.23083,31.871237,100,OutsideTunnel,CYPHER,76561198251984554,t,mp9,21,2
0,-1712.3468,1343.9095,40.82325,100.0,UpperTunnel,Jimpphat,76561198855375325,ct,ct,0,21,58,chest,t,14788,-1658.4943,695.75385,31.810343,79,OutsideTunnel,CYPHER,76561198251984554,t,mp9,21,2
0,-1712.3468,1343.9095,40.82325,100.0,UpperTunnel,Jimpphat,76561198855375325,ct,ct,0,3,97,chest,t,14788,-1665.0739,606.6673,31.549767,100,OutsideTunnel,nexa,76561197999825422,t,mp9,3,2
0,-1713.1857,1344.0911,40.83513,100.0,UpperTunnel,Jimpphat,76561198855375325,ct,ct,0,21,76,chest,t,14793,-1659.4373,608.01086,31.519909,97,OutsideTunnel,nexa,76561197999825422,t,mp9,21,2
0,-1717.5437,1343.8456,40.76097,100.0,UpperTunnel,Jimpphat,76561198855375325,ct,ct,0,21,55,chest,t,14797,-1661.3595,608.01105,31.5199,76,OutsideTunnel,nexa,76561197999825422,t,mp9,21,2
94,-1650.0858,701.27875,31.8585,58.0,OutsideTunnel,CYPHER,76561198251984554,t,ct,6,11,89,chest,t,14802,-1718.3507,1343.8469,40.746864,100,UpperTunnel,Jimpphat,76561198855375325,ct,glock,11,2
0,-1718.3507,1343.8469,40.746864,100.0,UpperTunnel,Jimpphat,76561198855375325,ct,ct,0,21,37,chest,t,14802,-1650.0858,701.27875,31.8585,58,OutsideTunnel,CYPHER,76561198251984554,t,mp9,21,2
0,-1719.6967,1343.7024,40.712997,89.0,UpperTunnel,Jimpphat,76561198855375325,ct,ct,0,87,0,head,t,14806,-1650.0272,701.2961,31.858957,37,OutsideTunnel,CYPHER,76561198251984554,t,mp9,37,2
89,-1675.8943,607.32086,31.535242,55.0,OutsideTunnel,nexa,76561197999825422,t,ct,5,20,69,chest,t,14821,-1734.4043,1342.164,40.519337,89,UpperTunnel,Jimpphat,76561198855375325,ct,p250,20,2
83,-1601.051,679.9676,32.170506,95.0,OutsideTunnel,CacaNito,76561198263656468,t,ct,6,11,58,chest,t,14823,-1736.5966,1342.1927,40.50422,69,UpperTunnel,Jimpphat,76561198855375325,ct,glock,11,2
0,-1562.6665,1220.5101,36.003708,100.0,UpperTunnel,torzsi,76561198355739212,ct,ct,0,34,66,chest,t,14858,-1703.3553,475.77228,21.983644,100,OutsideTunnel,nawwk,76561198153651861,t,m4a1,34,2
