entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
228,10430,10783,-371.6201171875,1730.46142578125,-125.8861083984375,100,MidDoors,Spinx,76561198063336407,ct,-80.03231048583984,326.80267333984375,-0.5001344680786133,2
229,10486,10839,-1586.16162109375,2012.9232177734375,-2.88433837890625,100,BombsiteB,Jimpphat,76561198855375325,ct,-1998.92822265625,1606.028076171875,33.067283630371094,2
232,10584,10797,1345.883056640625,1176.793701171875,-7.722900390625,100,LongA,Brollan,76561198138828475,ct,592.81201171875,578.8560180664062,3.08851957321167,2
202,17054,17407,1299.87646484375,1015.086669921875,-4.83111572265625,100,LongA,xertioN,76561198193174134,ct,640.111083984375,890.8634033203125,1.5880649089813232,3
201,17174,17527,-1442.1214599609375,1997.38525390625,3.9169063568115234,100,BombsiteB,Jimpphat,76561198855375325,ct,-1992.8497314453125,1619.69091796875,33.00965118408203,3
207,18104,18553,-275.0322265625,1356.9677734375,-68.96875,100,Middle,CYPHER,76561198251984554,t,462.8061828613281,1747.88037109375,6.165780067443848,3
235,18557,18910,543.5664672851562,2386.60400390625,127.1171646118164,100,UnderA,xertioN,76561198193174134,ct,197.5906982421875,1356.3392333984375,1.8870244026184082,3
228,18570,19019,256.2929992675781,1513.1640625,1.9805827140808105,100,Catwalk,CYPHER,76561198251984554,t,460.65362548828125,1989.9119873046875,134.0078887939453,3
198,19152,19505,-1478.030517578125,2627.41748046875,99.65625,100,BombsiteB,Spinx,76561198063336407,ct,-2016.5140380859375,1459.0406494140625,33.49501419067383,3
184,19365,19718,1314.3162841796875,2523.056640625,74.27547454833984,100,ARamp,torzsi,76561198355739212,ct,305.73394775390625,1940.5130615234375,100.31273651123047,3
352,19691,20140,-1890.383056640625,1244.1695556640625,31.961393356323242,100,UpperTunnel,pr1metapz,76561198158709510,t,-2015.3717041015625,2826.130859375,33.83948516845703,3
102,27676,27812,1327.0714111328125,1276.9617919921875,-1.3948974609375,100,LongA,xertioN,76561198193174134,ct,543.5631713867188,669.9190063476562,1.2606925964355469,4
99,29541,29990,1136.431640625,1063.643798828125,-2.0467529296875,99,LongDoors,pr1metapz,76561198158709510,t,1788.5609130859375,2007.990234375,20.623577117919922,4
378,30494,30943,1291.415771484375,1909.1312255859375,1.03125,100,LongA,CYPHER,76561198251984554,t,923.96142578125,2602.98876953125,97.31690979003906,4
129,30786,31139,380.36309814453125,1938.2515869140625,96.03492736816406,41,ShortStairs,Brollan,76561198138828475,ct,1546.0550537109375,2552.8017578125,58.95122528076172,4
128,30815,31264,1383.27734375,1848.5887451171875,-7.6844482421875,100,LongA,CacaNito,76561198263656468,t,503.1124267578125,2760.387451171875,96.88446044921875,4
267,30888,31337,1393.8961181640625,2249.596435546875,0.17972660064697266,100,LongA,nexa,76561197999825422,t,577.0968627929688,2138.461181640625,-113.24828338623047,4
320,30997,31350,291.6180114746094,2334.03515625,-119.65252685546875,100,CTSpawn,Spinx,76561198063336407,ct,1391.10302734375,2404.7158203125,24.191085815429688,4
302,31091,31540,1298.94384765625,1863.896240234375,1.0312504768371582,100,LongA,nawwk,76561198153651861,t,509.1986999511719,2147.485107421875,-125.12740325927734,4
72,35444,35893,-1661.1619873046875,875.4146118164062,31.34372329711914,100,UpperTunnel,pr1metapz,76561198158709510,t,-2010.9617919921875,1635.2518310546875,33.50288391113281,5
364,35974,36423,-1283.028564453125,1120.1173095703125,32.250205993652344,100,TunnelStairs,CacaNito,76561198263656468,t,-1077.755859375,1153.7581787109375,-46.968753814697266,5
253,36759,37208,-352.3245849609375,1228.97265625,-109.47515869140625,100,Middle,CYPHER,76561198251984554,t,438.3639831542969,1716.2364501953125,5.864142894744873,5
220,43781,43994,1345.6795654296875,986.6769409179688,-8.47918701171875,100,LongA,Brollan,76561198138828475,ct,576.70654296875,607.2561645507812,3.158930778503418,6
96,43890,44243,-1258.4444580078125,2658.05419921875,129.44857788085938,100,Hole,Jimpphat,76561198855375325,ct,-1994.7579345703125,1638.2490234375,33.486083984375,6
123,44651,45100,-528.5194091796875,1426.6929931640625,-111.10894775390625,100,LowerTunnel,CacaNito,76561198263656468,t,288.7135925292969,1591.090576171875,5.436315059661865,6
253,45014,45463,90.20789337158203,1382.87109375,-0.119384765625,66,Catwalk,CYPHER,76561198251984554,t,465.0224304199219,1982.800048828125,134.0078887939453,6
267,46429,46782,1315.0274658203125,2278.6572265625,12.339218139648438,100,LongA,xertioN,76561198193174134,ct,385.08428955078125,1893.1224365234375,97.28931427001953,6
307,47686,48135,-2047.550537109375,1118.2061767578125,62.734375,100,UpperTunnel,pr1metapz,76561198158709510,t,-2089.388671875,3092.876220703125,52.3572998046875,6
342,49306,49755,-1978.439453125,2005.52392578125,-1.01263427734375,100,BombsiteB,nawwk,76561198153651861,t,-1309.47314453125,2683.001220703125,129.96734619140625,6
315,51901,52120,1332.2314453125,1033.006103515625,-7.37322998046875,100,LongA,Brollan,76561198138828475,ct,529.9939575195312,670.5542602539062,1.3327579498291016,7
116,51955,52308,-1295.318603515625,2683.061279296875,130.03125,100,Hole,Jimpphat,76561198855375325,ct,-1992.9058837890625,1640.886474609375,31.00543975830078,7
132,53042,53491,-1567.509765625,2492.107666015625,2.3709778785705566,24,BombsiteB,CYPHER,76561198251984554,t,-1145.4046630859375,2708.56298828125,90.39807891845703,7
351,54811,55260,-1929.7418212890625,2308.0654296875,-0.23199462890625,100,BombsiteB,pr1metapz,76561198158709510,t,-1245.000244140625,2691.941650390625,115.4064712524414,7
341,58151,58504,-1616.4437255859375,2102.990478515625,-6.0625,100,BombsiteB,torzsi,76561198355739212,ct,-1997.7520751953125,1613.1318359375,32.819976806640625,8
122,58163,58516,1310.33203125,1021.479736328125,-4.96875,73,LongA,Brollan,76561198138828475,ct,634.9293212890625,746.9425048828125,2.7725367546081543,8
396,58569,58922,1364.7772216796875,1360.60986328125,-8.98602294921875,100,LongA,xertioN,76561198193174134,ct,593.3624877929688,1059.4580078125,3.1359591484069824,8
107,58871,59320,-1390.593505859375,1140.478515625,34.36955261230469,100,UpperTunnel,CacaNito,76561198263656468,t,-1085.9918212890625,1430.1201171875,-109.96875,8
317,61880,62233,1367.5552978515625,2265.145263671875,3.605774402618408,100,LongA,Spinx,76561198063336407,ct,442.38653564453125,1818.8515625,97.77525329589844,8
331,62418,62867,305.8357238769531,2074.572509765625,97.98848724365234,100,ExtendedA,nexa,76561197999825422,t,1116.2060546875,2540.703125,97.42152404785156,8
212,64436,64789,-1895.0521240234375,491.96588134765625,12.025308609008789,100,OutsideTunnel,Jimpphat,76561198855375325,ct,-1697.2723388671875,923.360595703125,50.90678405761719,8
230,68683,69132,-581.4581298828125,1418.483642578125,-114.1922607421875,100,LowerTunnel,CacaNito,76561198263656468,t,283.39501953125,1609.6395263671875,5.578497886657715,9
241,69731,70180,-575.7696533203125,1350.061279296875,-109.93310546875,100,LowerTunnel,CacaNito,76561198263656468,t,-327.4163513183594,1851.783935546875,-120.16935729980469,9
186,69981,70430,-182.7076416015625,1362.5108642578125,-0.03125,100,Catwalk,CYPHER,76561198251984554,t,278.7020263671875,1622.2508544921875,5.644436359405518,9
216,72532,72981,403.8519287109375,1695.1531982421875,64.5692367553711,100,ShortStairs,nawwk,76561198153651861,t,736.6951904296875,2146.849853515625,-67.0023422241211,9
102,72670,73119,315.2025146484375,2045.8895263671875,96.74598693847656,100,ExtendedA,nexa,76561197999825422,t,880.978271484375,2541.059814453125,96.20965576171875,9
221,77642,77887,1331.2548828125,1198.6466064453125,-3.06829833984375,100,LongA,Brollan,76561198138828475,ct,596.6091918945312,591.3372802734375,3.062120199203491,10
114,77653,78006,-372.58453369140625,1720.6954345703125,-126.25628662109375,100,MidDoors,Spinx,76561198063336407,ct,-79.22728729248047,390.3638916015625,0.634660005569458,10
378,77731,78084,-1261.044677734375,2657.39404296875,130.03125,100,Hole,Jimpphat,76561198855375325,ct,-1984.82958984375,1641.4652099609375,30.73638343811035,10
205,78087,78536,-1445.89794921875,1182.66552734375,35.69999313354492,100,UpperTunnel,CacaNito,76561198263656468,t,-1042.52734375,1440.021484375,-110.86783599853516,10
99,80357,80806,-1879.5068359375,2433.922607421875,20.32565689086914,48,BombsiteB,Spinx,76561198063336407,ct,-2122.42578125,1200.805419921875,38.538368225097656,10
184,81156,81510,204.49339294433594,2090.103759765625,-124.1671142578125,100,CTSpawn,xertioN,76561198193174134,ct,-401.7892761230469,1926.31640625,-125.34351348876953,10
130,82241,82690,321.77825927734375,1632.1771240234375,14.914923667907715,100,ShortStairs,nexa,76561197999825422,t,198.59234619140625,1445.5999755859375,1.377751111984253,10
366,82335,82784,422.49951171875,1889.7890625,95.6977310180664,96,ShortStairs,nawwk,76561198153651861,t,741.853515625,2123.4267578125,-66.66673278808594,10
210,82611,83060,1069.2830810546875,2789.938232421875,127.03125,98,BombsiteA,CYPHER,76561198251984554,t,662.6111450195312,2196.1787109375,-85.56253814697266,10
110,87549,87998,-491.759033203125,-228.7176513671875,0.43276429176330566,100,TopofMid,nawwk,76561198153651861,t,-145.6101837158203,1513.9658203125,0.4422454833984375,11
306,87808,88047,1323.2412109375,1179.1630859375,0.13716888427734375,100,LongA,Brollan,76561198138828475,ct,587.6961059570312,561.125244140625,3.1245617866516113,11
