assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,-90.4837,2158.3672,-127.253296,100.0,CTSpawn,xertioN,76561198193174134,ct,650.3939,2628.389,94.650215,100.0,ExtendedA,Brollan,76561198138828475,ct,false,false,ct,29.590334,22,33,0,false,generic,false,false,0,0,t,false,7834,375.6659,1502.5701,1.6961999,8,ShortStairs,CacaNito,76561198263656468,t,hegrenade,"","","",0,1
false,629.5029,2408.3896,127.03125,100.0,ExtendedA,torzsi,76561198355739212,ct,606.9432,2639.8218,95.19212,56.0,ExtendedA,Brollan,76561198138828475,ct,false,false,ct,22.495234,0,118,0,true,head,false,false,0,0,t,false,7937,425.87003,1773.0302,103.225235,19,ShortStairs,CYPHER,76561198251984554,t,usp_silencer,17293822569135734845,37193573977,"",0,1
false,426.18716,1772.99,103.22311,0.0,ShortStairs,CYPHER,76561198251984554,t,335.5575,1739.2606,80.81246,41.0,ShortStairs,nexa,76561197999825422,t,false,false,ct,24.821808,0,87,0,true,head,false,false,0,0,t,false,8079,784.98334,2609.8362,94.7282,34,ExtendedA,Brollan,76561198138828475,ct,glock,17293822569111158788,41472681584,"",0,1
true,971.2371,2160.025,-3.7402344,100.0,UnderA,xertioN,76561198193174134,ct,1300.3123,2013.0593,1.03125,100.0,LongA,Spinx,76561198063336407,ct,false,false,ct,8.334086,0,131,0,true,head,false,false,0,0,t,false,8150,1312.384,1686.211,3.390625,68,LongA,nawwk,76561198153651861,t,usp_silencer,17293822569177546813,42239695808,"",0,1
false,784.98334,2609.8362,94.7282,0.0,ExtendedA,Brollan,76561198138828475,ct,1125.9937,2220.872,8.460674,100.0,UnderA,xertioN,76561198193174134,ct,false,false,ct,21.422955,0,119,0,true,head,false,false,0,0,t,false,8281,305.84766,2047.7784,96.89839,41,ExtendedA,nexa,76561197999825422,t,usp_silencer,17293822569135734845,40641117231,"",0,1
false,1404.299,2318.774,8.988699,89.0,ARamp,torzsi,76561198355739212,ct,1127.3185,2214.624,7.6572485,100.0,UnderA,xertioN,76561198193174134,ct,false,false,ct,19.426727,0,121,0,true,head,false,false,0,0,t,false,8303,386.59113,2047.5056,95.866196,72,ExtendedA,pr1metapz,76561198158709510,t,usp_silencer,17293822569135734845,40641117231,"",0,1
false,,,,,,,,,-1709.6803,1344.7247,40.876595,100.0,UpperTunnel,Jimpphat,76561198855375325,ct,false,false,ct,16.373804,0,21,0,false,chest,false,false,0,0,t,false,14175,-1670.1941,701.7906,31.538513,14,OutsideTunnel,pr1metapz,76561198158709510,t,mp9,17293822569170665506,23115676172,"",0,2
false,,,,,,,,,-1719.6967,1343.7024,40.712997,89.0,UpperTunnel,Jimpphat,76561198855375325,ct,false,false,ct,16.425005,0,87,0,true,head,false,false,0,0,t,false,14806,-1650.0272,701.2961,31.858957,37,OutsideTunnel,CYPHER,76561198251984554,t,mp9,17293822569170665506,23115676172,"",0,2
false,,,,,,,,,-1799.3925,1357.9722,40.312016,58.0,UpperTunnel,Jimpphat,76561198855375325,ct,false,false,ct,17.957281,0,21,0,false,chest,false,false,0,0,t,false,14891,-1616.851,674.9695,32.15168,1,OutsideTunnel,CacaNito,76561198263656468,t,mp9,17293822569170665506,23115676172,"",0,2
false,-1799.2622,1358.0161,40.318165,58.0,UpperTunnel,Jimpphat,76561198855375325,ct,-1561.8752,1220.1388,36.02498,88.0,UpperTunnel,torzsi,76561198355739212,ct,false,false,ct,15.691803,0,35,0,false,chest,false,false,0,0,t,false,14896,-1690.6432,615.9761,31.430729,20,OutsideTunnel,nexa,76561197999825422,t,m4a1_silencer,17293822569131868220,43926699517,"",0,2
false,,,,,,,,,-1560.9011,1219.9104,36.06263,81.0,UpperTunnel,torzsi,76561198355739212,ct,false,false,ct,19.277245,0,34,0,false,right_arm,false,false,0,0,t,false,14909,-1739.3785,482.37848,26.352266,32,OutsideTunnel,nawwk,76561198153651861,t,m4a1_silencer,17293822569131868220,43926699517,"",0,2
false,,,,,,,,,912.29913,820.1472,1.3964381,81.0,LongDoors,nexa,76561197999825422,t,false,false,ct,21.459616,15,107,0,true,head,false,false,0,0,t,false,21972,1516.2166,1410.8177,-3.2797241,100,LongA,Brollan,76561198138828475,ct,ak47,17293822569150152711,39818865882,"",0,3
false,,,,,,,,,403.94028,1746.4792,100.56875,100.0,ShortStairs,nawwk,76561198153651861,t,false,false,ct,22.979757,15,107,0,true,head,false,false,0,0,t,false,22281,608.4733,2628.4387,95.21603,67,ExtendedA,xertioN,76561198193174134,ct,ak47,17293822569163063303,41938721771,"",0,3
