round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,5838,8303,8623,ct,t_killed,,not_planted
2,8623,9903,14909,15229,ct,t_killed,,not_planted
3,15229,16509,25532,25852,t,bomb_exploded,22908,bombsite_b
4,25852,27132,33208,33528,t,ct_killed,,not_planted
5,33528,34808,41605,41925,t,ct_killed,33528,bombsite_b
6,41925,43205,49754,50074,ct,t_killed,,not_planted
7,50074,51354,55998,56318,t,bomb_exploded,53374,bombsite_b
8,56318,57598,65674,65994,t,ct_killed,63104,bombsite_b
9,65994,67274,73469,73789,t,ct_killed,73422,bombsite_b
10,73789,76989,85540,85860,t,bomb_exploded,82916,bombsite_b
11,85860,87140,93521,93841,ct,t_killed,,not_planted
12,93841,95121,101901,102445,t,ct_killed,100911,bombsite_b
13,102445,119956,122995,123315,t,ct_killed,122468,bombsite_b
14,123315,124595,128533,128853,t,ct_killed,128347,bombsite_b
15,128853,130133,133460,133780,t,ct_killed,,not_planted
16,133780,137994,145289,145609,t,bomb_exploded,142665,bombsite_b
17,145609,146889,153331,153651,t,bomb_exploded,150707,bombsite_b
18,153651,154931,162342,162662,t,ct_killed,160716,bombsite_b
19,162662,163942,167896,168216,t,ct_killed,166778,bombsite_b
20,168216,172218,177223,177543,t,ct_killed,174992,bombsite_b
21,177543,178823,182477,182797,ct,t_killed,,not_planted
22,182797,184077,189490,189490,t,ct_killed,189350,bombsite_b
