tick,event,X,Y,Z,steamid,name,bombsite,round_num
414,drop,1216.0,-307.0,-164.81482,76561198063336407,Spinx,,1
448,pickup,1216.0,-115.0,-163.96875,76561198138828475,Brollan,,1
4649,plant,-265.31738,-2159.9746,-172.91827,76561198138828475,Brollan,BombsiteA,1
4654,pickup,-697.9526,-1245.3417,-167.96875,76561198063336407,Spinx,,2
6180,drop,1081.7145,414.88742,-261.20178,76561198063336407,Spinx,,2
6327,pickup,1128.5776,351.71744,-261.49402,76561198855375325,Jimpphat,,2
7818,drop,-1945.1006,490.3258,-164.54926,76561198855375325,Jimpphat,,2
8138,pickup,-624.09503,-395.2749,-168.08624,76561198355739212,torzsi,,3
10541,drop,240.21307,77.32184,-218.25958,76561198355739212,torzsi,,3
10549,pickup,160.03908,1.4333733,-189.48047,76561198855375325,Jimpphat,,3
16141,plant,-1987.0326,418.30243,-159.96875,76561198855375325,Jimpphat,BombsiteB,3
18765,detonate,282.65778,854.0371,-121.3125,76561198855375325,Jimpphat,,3
19085,pickup,218.78578,766.03033,-90.046875,76561198855375325,Jimpphat,,4
19159,drop,1136.0,32.0,-164.78845,76561198855375325,Jimpphat,,4
19169,pickup,1216.0,-16.0,-163.96875,76561198355739212,torzsi,,4
23198,drop,0.528529,-449.11548,-174.3518,76561198355739212,torzsi,,4
23689,pickup,-65.9574,-476.23798,-165.96875,76561198138828475,Brollan,,4
25746,plant,-429.29285,-1987.0856,-179.96875,76561198138828475,Brollan,BombsiteA,4
28370,detonate,1422.9661,-21.940918,-150.45312,76561198138828475,Brollan,,4
28690,pickup,1190.6066,-914.68115,-261.4792,76561198138828475,Brollan,,5
32079,drop,1136.0,-160.0,-164.43054,76561198138828475,Brollan,,5
32086,pickup,1216.0,-211.0,-163.96875,76561198355739212,torzsi,,5
34134,drop,-97.43201,-1860.6573,-167.96875,76561198355739212,torzsi,,5
34398,pickup,-224.0943,-1789.6412,-167.96875,76561198063336407,Spinx,,5
34742,plant,-256.79047,-2154.8157,-172.99792,76561198063336407,Spinx,BombsiteA,5
37230,defuse,-313.43787,-2176.8225,-173.55939,76561198153651861,nawwk,BombsiteA,5
37550,pickup,-1158.166,-2254.683,-181.82239,76561198193174134,xertioN,,6
37679,drop,1136.0,32.0,-164.78845,76561198193174134,xertioN,,6
37686,pickup,1216.0,-16.0,-163.96875,76561198063336407,Spinx,,6
39042,drop,1000.5465,455.83722,-258.10907,76561198063336407,Spinx,,6
39181,pickup,686.373,509.28986,-255.45337,76561198355739212,torzsi,,6
39787,drop,371.5486,157.16588,-245.98114,76561198355739212,torzsi,,6
39794,pickup,305.4514,184.87035,-255.02307,76561198138828475,Brollan,,6
39868,drop,266.08655,-20.051697,-192.0625,76561198138828475,Brollan,,6
40176,pickup,197.03593,27.916952,-202.6919,76561198355739212,torzsi,,6
41582,drop,498.52292,-474.79572,-160.14539,76561198355739212,torzsi,,6
41902,pickup,-1044.0276,-158.6452,-367.96875,76561198063336407,Spinx,,7
43646,drop,71.13763,807.68115,-135.96875,76561198063336407,Spinx,,7
