armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
100,-778.60284,-2094.5435,-179.96875,100.0,BombsiteA,nawwk,76561198153651861,ct,ct,0,113,0,head,t,2621,149.45665,-1447.2316,-175.96875,100,PalaceInterior,torzsi,76561198355739212,t,hkp2000,100,1
100,17.636328,-2285.3955,-39.96875,100.0,PalaceInterior,xertioN,76561198193174134,t,ct,0,105,0,head,t,2696,151.97047,-1914.0286,-39.96875,100,PalaceInterior,CacaNito,76561198263656468,ct,glock,100,1
100,18.809088,-1448.8862,-171.44952,100.0,BombsiteA,Brollan,76561198138828475,t,ct,0,93,7,head,t,2769,-198.8039,-2199.4841,-167.96875,100,BombsiteA,pr1metapz,76561198158709510,ct,glock,93,1
94,30.495472,-1452.2449,-172.61816,100.0,BombsiteA,Brollan,76561198138828475,t,ct,6,10,0,chest,t,2779,-187.48761,-2203.6604,-167.96875,7,BombsiteA,pr1metapz,76561198158709510,ct,glock,7,1
95,60.413185,-2158.777,-39.96875,100.0,PalaceInterior,xertioN,76561198193174134,t,ct,5,9,91,right_arm,t,2836,-1026.4791,-2317.5425,-167.96875,100,BombsiteA,nawwk,76561198153651861,ct,glock,9,1
97,68.28669,-2228.9229,-39.96875,100.0,PalaceInterior,Jimpphat,76561198855375325,t,ct,3,5,95,stomach,t,2873,20.032213,-2189.4014,-39.96875,100,Scaffolding,xertioN,76561198193174134,t,glock,5,1
0,68.28669,-2228.9229,-39.96875,100.0,PalaceInterior,Jimpphat,76561198855375325,t,ct,0,3,97,left_arm,t,2873,-1199.9799,-1257.1024,-167.96875,100,CTSpawn,nexa,76561197999825422,ct,glock,3,1
90,-1049.3313,-2324.8035,-167.96875,91.0,BombsiteA,nawwk,76561198153651861,ct,ct,7,14,81,right_arm,t,2891,21.446075,-2171.0576,-39.96875,95,Scaffolding,xertioN,76561198193174134,t,hkp2000,14,1
88,68.93038,-2228.1216,-39.96875,100.0,PalaceInterior,Jimpphat,76561198855375325,t,ct,2,4,77,left_arm,t,2898,22.330765,-2178.7607,-39.96875,81,Scaffolding,xertioN,76561198193174134,t,glock,4,1
95,-86.8136,-1830.4116,-167.96875,100.0,BombsiteA,Brollan,76561198138828475,t,ct,0,81,10,head,t,3226,-1065.0111,-2500.028,-167.96875,91,CTSpawn,nawwk,76561198153651861,ct,glock,81,1
