assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-778.60284,-2094.5435,-179.96875,100,BombsiteA,nawwk,76561198153651861,ct,false,false,ct,28.832457,0,113,0,true,head,false,false,0,0,t,false,2621,149.45665,-1447.2316,-175.96875,100,PalaceInterior,torzsi,76561198355739212,t,usp_silencer,17293822569177546813,28986839257,"",0,1
false,,,,,,,,,17.636328,-2285.3955,-39.96875,100,PalaceInterior,xertioN,76561198193174134,t,false,false,ct,9.969769,0,105,0,true,head,false,false,0,0,t,false,2696,151.97047,-1914.0286,-39.96875,100,PalaceInterior,CacaNito,76561198263656468,ct,glock,17293822569105195012,40982490798,"",0,1
false,,,,,,,,,30.495472,-1452.2449,-172.61816,100,BombsiteA,Brollan,76561198138828475,t,false,false,ct,19.871374,6,10,0,false,chest,false,false,0,0,t,false,2779,-187.48761,-2203.6604,-167.96875,7,BombsiteA,pr1metapz,76561198158709510,ct,glock,17293822569157230596,43799473877,"",0,1
false,,,,,,,,,-100.700134,-1814.2657,-167.96875,100,BombsiteA,Brollan,76561198138828475,t,false,false,ct,30.087332,0,54,0,true,head,false,false,1,0,t,false,3257,-1047.75,-2525.7856,-167.96875,1,CTSpawn,nawwk,76561198153651861,ct,glock,17293822569157230596,43799473877,"",0,1
false,,,,,,,,,-785.7206,-1534.2743,-167.96875,97,Jungle,nexa,76561197999825422,ct,false,false,ct,7.6934395,0,132,0,true,head,false,false,0,0,t,false,3552,-696.5226,-1245.514,-167.96875,84,Connector,Spinx,76561198063336407,t,hkp2000,17293822569128198176,41329326875,"",0,1
false,,,,,,,,,-758.58606,-1730.2988,-178.59851,77,BombsiteA,xertioN,76561198193174134,t,false,false,ct,6.992354,0,110,0,true,head,false,false,0,0,t,true,3617,-812.0544,-1460.7108,-167.96875,97,Jungle,nexa,76561197999825422,ct,glock,17293822569105195012,40982490798,"",0,1
false,,,,,,,,,-153.85797,-2091.9092,-167.96875,100,BombsiteA,Jimpphat,76561198855375325,t,false,false,ct,25.680702,5,10,0,false,chest,false,false,0,0,t,false,4334,-896.3892,-1405.9779,-167.96875,3,Jungle,CYPHER,76561198251984554,ct,glock,17293822569105195012,43926699468,"",0,1
false,,,,,,,,,-784.441,-45.560974,-166.89777,72,Catwalk,pr1metapz,76561198158709510,ct,false,false,ct,8.967087,4,14,0,false,chest,false,false,0,0,t,false,7060,-696.0089,-387.28662,-168.1217,13,Catwalk,Brollan,76561198138828475,t,mp9,17293822569162342434,38188384495,"",0,2
false,,,,,,,,,-828.40216,-68.24786,-168.19672,50,Catwalk,pr1metapz,76561198158709510,ct,false,false,ct,9.79486,18,56,0,true,head,false,false,0,0,t,false,7171,-624.3455,-395.4386,-168.08667,44,Catwalk,torzsi,76561198355739212,t,mp9,17293822569162342434,38188384495,"",0,2
false,-696.31604,-387.34918,-168.12177,0.0,Catwalk,Brollan,76561198138828475,t,-518.92285,-493.87946,-165.0091,100,Catwalk,xertioN,76561198193174134,t,false,false,ct,12.017246,0,141,0,true,head,false,false,0,0,t,false,7236,-829.8336,-140.97668,-168.1723,50,Catwalk,pr1metapz,76561198158709510,ct,ak47,17293822569150152711,40641151083,"",0,2
