entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
123,2667,4079,273.8448181152344,-1573.4342041015625,-175.96875,100,TRamp,Brollan,76561198138828475,t,-621.7385864257812,-1622.4202880859375,-169.96875,1
206,6414,7826,399.9680480957031,67.0711898803711,-217.6650390625,100,SideAlley,torzsi,76561198355739212,t,-1170.1827392578125,-659.9820556640625,-165.96875,2
121,6495,7907,592.67626953125,684.8248291015625,-127.484375,100,House,Jimpphat,76561198855375325,t,-622.5316772460938,-901.7880859375,-245.96875,2
349,10053,11465,556.1881713867188,466.7817077636719,-257.9677734375,100,SideAlley,Jimpphat,76561198855375325,t,-622.940673828125,-901.9312133789062,-245.96875,3
510,10269,11681,-989.7572631835938,-2468.547607421875,-167.96875,100,BombsiteA,pr1metapz,76561198158709510,ct,102.3039321899414,-2298.417236328125,-37.96875,3
188,10361,11773,234.1633758544922,242.0184326171875,-255.96875,100,SideAlley,torzsi,76561198355739212,t,-1172.509521484375,-639.824951171875,-165.96875,3
137,10917,12329,-578.781005859375,-1398.3057861328125,-167.96875,100,BombsiteA,CYPHER,76561198251984554,ct,-638.1739501953125,-753.0817260742188,-264.15167236328125,3
96,10935,12347,-2199.669677734375,656.2117309570312,-131.62225341796875,100,Truck,nexa,76561197999825422,ct,-1354.4879150390625,749.9622192382812,-77.96875,3
187,12253,13665,-1138.45166015625,-459.12451171875,-167.96875,100,Catwalk,nawwk,76561198153651861,ct,-1108.5208740234375,-629.7516479492188,-165.96875,3
296,20865,22277,632.8109130859375,477.3624267578125,-258.23016357421875,100,SideAlley,torzsi,76561198355739212,t,34.82173156738281,-482.49365234375,-184.14520263671875,4
295,20895,22307,522.3155517578125,465.02777099609375,-259.0501708984375,100,SideAlley,torzsi,76561198355739212,t,-1202.926025390625,-639.8099975585938,-165.96875,4
305,21129,22541,-590.7157592773438,-1310.1279296875,-167.96875,100,BombsiteA,pr1metapz,76561198158709510,ct,23.000070571899414,-2344.707275390625,-37.96875,4
