tick,event,X,Y,Z,steamid,name,bombsite,round_num
369,drop,-1181.0,-754.0,120.18125,76561198057282432,kyxsan,,1
486,drop,-857.50653,-738.3613,122.08913,76561197996678278,TeSeS,,1
493,pickup,-822.3652,-795.6421,117.264,76561197983956651,Magisk,,1
2686,drop,196.77176,63.32775,7.746746,76561197983956651,Magisk,,1
2693,pickup,148.03569,162.78438,9.359064,76561198074762801,m0NESY,,1
5258,drop,625.2181,729.9726,0.9169197,76561198074762801,m0NESY,,1
6020,pickup,598.9807,732.14014,1.0568032,76561197983956651,Magisk,,2
8306,drop,-2014.7793,1673.39,32.545147,76561197983956651,Magisk,,2
9279,pickup,-1992.1792,1708.3843,31.65051,76561198074762801,m0NESY,,3
12089,drop,1096.2218,1032.8523,-2.2011108,76561198074762801,m0NESY,,3
12104,pickup,988.38617,961.8294,-0.123535156,76561198041683378,NiKo,,3
13529,drop,1556.9631,2599.0793,79.99546,76561198041683378,NiKo,,3
14424,pickup,1377.546,2496.0461,54.347572,76561198057282432,kyxsan,,3
14934,plant,1211.3146,2561.0315,98.07603,76561198057282432,kyxsan,BombsiteA,3
16863,pickup,1556.9631,2599.0793,79.99546,76561198041683378,NiKo,,4
17051,drop,-857.50653,-738.3613,122.08912,76561198041683378,NiKo,,4
18395,pickup,-710.57465,-687.45856,129.34636,76561198057282432,kyxsan,,4
22879,drop,322.00015,2133.514,97.73234,76561198057282432,kyxsan,,4
23337,pickup,445.5937,2268.1487,96.04652,76561198041683378,NiKo,,4
24226,plant,1219.0321,2561.0312,98.55384,76561198041683378,NiKo,BombsiteA,4
25307,defuse,1167.5413,2592.8862,96.592674,76561198855375325,Jimpphat,BombsiteA,4
25627,pickup,322.0299,2136.873,97.74219,76561198057282432,kyxsan,,5
32794,plant,-1366.0312,2565.9685,4.6350007,76561198057282432,kyxsan,BombsiteB,5
35418,detonate,-1630.0009,675.5382,32.12872,76561198057282432,kyxsan,,5
35738,pickup,-1889.9062,1195.0654,32.0389,76561197996678278,TeSeS,,6
35868,drop,-980.0,-754.0,120.18125,76561197996678278,TeSeS,,6
35893,pickup,-822.3652,-795.6421,117.264,76561198057282432,kyxsan,,6
39387,drop,-1366.0312,2565.9666,4.635033,76561198057282432,kyxsan,,6
40141,pickup,-2012.9374,2436.0806,66.03125,76561197983956651,Magisk,,7
41564,drop,-310.67664,-731.47034,78.368744,76561197983956651,Magisk,,7
41805,pickup,113.25992,-709.2849,-0.61621094,76561198074762801,m0NESY,,7
42236,drop,148.03224,131.82852,8.680529,76561198074762801,m0NESY,,7
42848,pickup,245.60684,-24.515625,3.031249,76561197983956651,Magisk,,7
43210,drop,-8.827148,440.33185,-0.89556885,76561197983956651,Magisk,,7
43228,pickup,-169.5163,372.24567,-1.1330566,76561198074762801,m0NESY,,7
46362,drop,1544.635,1466.2019,1.03125,76561198074762801,m0NESY,,7
46398,pickup,1353.7115,1676.3933,-6.2906494,76561198057282432,kyxsan,,7
