armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
94,-21.144897,1548.9067,1.1976619,100.0,Catwalk,torzsi,76561198355739212,ct,ct,6,13,87,chest,t,3351,-541.97656,395.77484,5.405391,100,TopofMid,NiKo,76561198041683378,t,hkp2000,13,1
88,-3.2250977,1540.3846,0.92245007,100.0,Catwalk,torzsi,76561198355739212,ct,ct,6,13,74,chest,t,3364,-539.0187,395.94876,5.4059153,87,TopofMid,NiKo,76561198041683378,t,hkp2000,13,1
0,-142.81555,463.7931,-0.6105957,100.0,TopofMid,m0NESY,76561198074762801,t,ct,0,60,40,head,t,3556,-655.65704,2520.333,-79.36395,100,MidDoors,xertioN,76561198193174134,ct,glock,60,1
80,780.412,888.7808,-0.03125,100.0,LongDoors,Brollan,76561198138828475,ct,ct,8,16,58,chest,t,5111,539.63306,555.9539,1.4616311,74,LongDoors,NiKo,76561198041683378,t,hkp2000,16,1
0,539.63306,555.9539,1.4616311,58.0,LongDoors,NiKo,76561198041683378,t,ct,0,24,76,head,t,5117,780.169,887.78217,-0.03125,100,LongDoors,Brollan,76561198138828475,ct,p250,24,1
100,930.5468,865.5543,0.8687804,76.0,LongDoors,Brollan,76561198138828475,ct,ct,0,131,0,head,t,5258,625.2181,729.9726,0.9169197,100,LongDoors,m0NESY,76561198074762801,t,hkp2000,100,1
0,1555.4384,1418.5829,1.0312514,100.0,LongA,torzsi,76561198355739212,ct,ct,0,112,0,head,t,5349,598.9807,732.14014,1.0568032,100,LongDoors,Magisk,76561197983956651,t,hkp2000,100,1
94,615.7812,685.85455,0.9909606,58.0,LongDoors,NiKo,76561198041683378,t,ct,6,23,77,stomach,t,5360,1546.4966,1430.5685,1.0312514,100,LongA,torzsi,76561198355739212,ct,p250,23,1
89,616.87177,684.5154,0.98583317,58.0,LongDoors,NiKo,76561198041683378,t,ct,5,18,59,chest,t,5401,1531.8555,1450.4366,1.0312481,77,LongA,torzsi,76561198355739212,ct,p250,18,1
80,1531.8094,1415.795,1.03125,59.0,LongA,torzsi,76561198355739212,ct,ct,0,112,0,head,t,5472,587.39294,707.6604,1.131177,58,LongDoors,NiKo,76561198041683378,t,hkp2000,58,1
94,1168.6521,2059.2832,1.6241179,100.0,UnderA,TeSeS,76561197996678278,t,ct,6,11,89,chest,t,5542,1435.0569,2630.4478,80.429016,100,ARamp,Spinx,76561198063336407,ct,glock,11,1
100,1435.0569,2630.4478,80.429016,100.0,ARamp,Spinx,76561198063336407,ct,ct,0,124,0,head,t,5542,1168.6521,2059.2832,1.6241179,100,UnderA,TeSeS,76561197996678278,t,hkp2000,100,1
0,1336.6183,2755.7651,114.86482,89.0,ARamp,Spinx,76561198063336407,ct,ct,0,28,72,chest,t,5648,334.28024,2347.0454,96.42104,100,ExtendedA,kyxsan,76561198057282432,t,hkp2000,28,1
89,335.57327,2343.6384,96.430374,72.0,ExtendedA,kyxsan,76561198057282432,t,ct,5,9,80,chest,t,5669,1345.7582,2730.7083,107.60068,89,ARamp,Spinx,76561198063336407,ct,glock,9,1
84,341.10458,2329.2693,96.487656,72.0,ExtendedA,kyxsan,76561198057282432,t,ct,5,9,71,chest,t,5685,1348.3893,2723.802,105.55373,80,ARamp,Spinx,76561198063336407,ct,glock,9,1
0,1786.903,1897.6029,2.8731232,59.0,LongA,torzsi,76561198355739212,ct,ct,0,105,0,head,t,5700,342.17694,2326.5256,96.49695,72,ExtendedA,kyxsan,76561198057282432,t,hkp2000,72,1
0,,,,,,,,,ct,0,2,98,generic,t,7697,-1521.0952,86.68156,12.4375,100,OutsideTunnel,NiKo,76561198041683378,t,"",2,2
0,-1902.3423,1940.4905,-0.68078613,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,27,73,generic,t,8066,-1696.0132,1160.365,30.956995,100,UpperTunnel,m0NESY,76561198074762801,t,hegrenade,27,2
0,-1902.3423,1940.4905,-0.68078613,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,19,79,generic,t,8066,-1663.368,1072.4238,31.223694,98,UpperTunnel,NiKo,76561198041683378,t,hegrenade,19,2
0,-1731.6298,2160.567,-3.2094116,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,123,0,head,t,8306,-2014.7793,1673.39,32.545147,100,UpperTunnel,Magisk,76561197983956651,t,m4a1,100,2
74,-1989.5404,1698.9934,31.560402,73.0,UpperTunnel,m0NESY,76561198074762801,t,ct,26,47,53,head,t,8330,-1730.4341,2159.8801,-3.2827148,100,BombsiteB,Jimpphat,76561198855375325,ct,glock,47,2
0,-1730.4341,2159.8801,-3.2827148,53.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,123,0,head,t,8332,-1991.0875,1705.3478,31.613394,73,UpperTunnel,m0NESY,76561198074762801,t,m4a1,73,2
68,-2002.468,1794.4689,33.031254,79.0,UpperTunnel,NiKo,76561198041683378,t,ct,6,12,41,right_arm,t,8382,-1732.2719,2160.9182,-3.1707153,53,BombsiteB,Jimpphat,76561198855375325,ct,glock,12,2
62,-2041.3883,1851.0787,11.216776,79.0,BombsiteB,NiKo,76561198041683378,t,ct,6,12,29,right_arm,t,8401,-1729.2988,2158.353,-3.385437,41,BombsiteB,Jimpphat,76561198855375325,ct,glock,12,2
0,-1732.3837,2161.593,-3.140686,29.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,27,52,left_leg,t,8416,-2067.9485,1898.8378,0.727788,79,BombsiteB,NiKo,76561198041683378,t,m4a1,27,2
0,-1735.2931,2165.5066,-2.8773804,29.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,45,7,stomach,t,8423,-2072.9,1911.0721,0.9422445,52,BombsiteB,NiKo,76561198041683378,t,m4a1,45,2
56,-1992.5837,1724.7515,31.667217,100.0,UpperTunnel,TeSeS,76561197996678278,t,ct,6,11,18,chest,t,8423,-1735.2931,2165.5066,-2.8773804,29,BombsiteB,Jimpphat,76561198855375325,ct,glock,11,2
0,-1733.6608,2163.4172,-3.0210571,18.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,36,0,chest,t,8429,-2073.0823,1917.4739,0.98658466,7,BombsiteB,NiKo,76561198041683378,t,m4a1,7,2
50,-1985.717,1745.8629,31.552725,100.0,UpperTunnel,TeSeS,76561197996678278,t,ct,6,12,6,chest,t,8441,-1736.2069,2166.7993,-2.7922363,18,BombsiteB,Jimpphat,76561198855375325,ct,glock,12,2
44,-2017.0276,1788.2012,33.03125,100.0,UpperTunnel,TeSeS,76561197996678278,t,ct,6,12,0,chest,t,8499,-1692.319,2120.6116,-5.9241333,6,BombsiteB,Jimpphat,76561198855375325,ct,glock,6,2
0,-1065.3966,2364.1038,-4.6278687,100.0,BDoors,Spinx,76561198063336407,ct,ct,0,123,0,head,t,8504,-2014.77,1790.4663,33.03125,100,UpperTunnel,TeSeS,76561197996678278,t,m4a1,100,2
0,-1359.222,1165.5737,33.017845,100.0,UpperTunnel,torzsi,76561198355739212,ct,ct,0,36,64,chest,t,8933,-1590.3585,1049.0673,34.596085,100,UpperTunnel,kyxsan,76561198057282432,t,m4a1,36,2
0,-1387.3584,1168.9641,33.668045,100.0,UpperTunnel,torzsi,76561198355739212,ct,ct,0,36,28,chest,t,8952,-1581.5508,1029.8423,34.764645,64,UpperTunnel,kyxsan,76561198057282432,t,m4a1,36,2
0,-1389.4227,1170.8094,33.753014,100.0,UpperTunnel,torzsi,76561198355739212,ct,ct,0,36,0,chest,t,8959,-1581.2252,1021.8334,34.949932,28,UpperTunnel,kyxsan,76561198057282432,t,m4a1,28,2
100,-390.59143,-492.40808,56.09375,100.0,TopofMid,NiKo,76561198041683378,t,ct,0,1,99,generic,t,11188,-31.961243,1466.3942,-0.69000244,100,Catwalk,torzsi,76561198355739212,ct,inferno,1,3
100,-348.32422,-513.7085,38.40625,100.0,TopofMid,NiKo,76561198041683378,t,ct,0,2,97,generic,t,11201,-29.680054,1429.1937,-0.7223511,99,Catwalk,torzsi,76561198355739212,ct,inferno,2,3
100,-304.07123,-522.2111,0.6506276,100.0,TopofMid,NiKo,76561198041683378,t,ct,0,3,94,generic,t,11214,-5.973816,1397.362,-0.22961426,97,Catwalk,torzsi,76561198355739212,ct,inferno,3,3
96,1247.4677,2048.0266,1.7019429,100.0,LongA,Brollan,76561198138828475,ct,ct,4,12,88,chest,t,12154,1566.8933,1296.2831,1.03125,100,LongA,TeSeS,76561197996678278,t,mp9,12,3
92,1242.7802,2046.2357,1.7569871,100.0,UnderA,Brollan,76561198138828475,ct,ct,4,12,76,chest,t,12167,1568.8818,1300.065,1.03125,88,LongA,TeSeS,76561197996678278,t,mp9,12,3
85,1567.9113,1299.6385,1.03125,76.0,LongA,TeSeS,76561197996678278,t,ct,15,108,0,head,t,12169,1242.7114,2046.2063,1.7578914,100,UnderA,Brollan,76561198138828475,ct,ak47,100,3
88,1064.0973,2765.948,112.45305,94.0,BombsiteA,torzsi,76561198355739212,ct,ct,4,21,55,chest,t,12220,1551.0267,1293.4746,1.03125,76,LongA,TeSeS,76561197996678278,t,m4a1,21,3
84,1049.6599,2760.389,108.93608,94.0,BombsiteA,torzsi,76561198355739212,ct,ct,4,21,34,chest,t,12252,1558.1528,1295.8184,1.03125,55,LongA,TeSeS,76561197996678278,t,m4a1,21,3
100,-863.20404,2219.5264,-90.84686,100.0,BDoors,Jimpphat,76561198855375325,ct,ct,0,21,79,left_leg,t,12449,1311.8645,2082.6558,-0.7886963,100,LongA,Magisk,76561197983956651,t,m4a1,21,3
81,614.2919,2615.2886,95.261154,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,19,29,71,generic,t,12460,1253.4899,1762.4968,2.4024856,100,LongA,NiKo,76561198041683378,t,hegrenade,29,3
78,614.2919,2615.2886,95.261154,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,6,9,25,generic,t,12460,1409.0591,1597.4071,-6.6657104,34,LongA,TeSeS,76561197996678278,t,hegrenade,9,3
99,614.2919,2615.2886,95.261154,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,1,2,77,generic,t,12460,1313.4247,2097.4895,-1.9835205,79,LongA,Magisk,76561197983956651,t,hegrenade,2,3
100,614.2919,2615.2886,95.261154,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,0,1,99,generic,t,12460,1272.144,1515.9962,1.9311678,100,LongA,kyxsan,76561198057282432,t,hegrenade,1,3
99,563.9683,2763.9688,97.36051,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,0,1,76,generic,t,12596,1341.2089,2409.6165,41.015007,77,ARamp,Magisk,76561197983956651,t,inferno,1,3
99,563.9683,2763.9688,97.36051,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,0,2,74,generic,t,12609,1340.0745,2453.0051,54.230145,76,ARamp,Magisk,76561197983956651,t,inferno,2,3
99,563.9683,2763.9688,97.36051,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,0,3,71,generic,t,12622,1332.2772,2495.738,66.88265,74,ARamp,Magisk,76561197983956651,t,inferno,3,3
99,563.9683,2763.9688,97.36051,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,0,4,67,generic,t,12634,1335.621,2535.1,75.665924,71,ARamp,Magisk,76561197983956651,t,inferno,4,3
77,353.59637,2719.2158,138.28125,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,4,22,49,chest,t,13510,1557.6813,2603.3176,81.05932,71,ARamp,NiKo,76561198041683378,t,m4a1,22,3
73,353.60696,2719.555,138.28125,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,4,22,27,chest,t,13517,1557.6146,2608.2695,82.30231,49,ARamp,NiKo,76561198041683378,t,m4a1,22,3
67,353.37497,2716.9287,138.28125,94.0,ExtendedA,torzsi,76561198355739212,ct,ct,6,28,0,stomach,t,13529,1556.9631,2599.0793,79.99546,27,ARamp,NiKo,76561198041683378,t,m4a1,27,3
94,1277.1813,2387.5918,127.03125,100.0,BombsiteA,xertioN,76561198193174134,ct,ct,5,24,43,right_arm,t,13622,1098.5492,3057.596,131.15195,67,BombsiteA,Magisk,76561197983956651,t,m4a1,24,3
97,1097.3384,3057.1462,131.11716,43.0,BombsiteA,Magisk,76561197983956651,t,ct,3,27,73,chest,t,13624,1278.3292,2387.9001,127.03125,100,BombsiteA,xertioN,76561198193174134,ct,ak47,27,3
88,1278.6902,2388.0056,127.03125,73.0,BombsiteA,xertioN,76561198193174134,ct,ct,6,30,13,stomach,t,13635,1095.5255,3056.529,131.06941,43,BombsiteA,Magisk,76561197983956651,t,m4a1,30,3
94,1322.983,1732.3856,1.0312486,25.0,LongA,TeSeS,76561197996678278,t,ct,3,27,46,chest,t,13639,1278.6841,2388.0046,127.03125,73,BombsiteA,xertioN,76561198193174134,ct,ak47,27,3
91,1323.4697,1732.4249,1.0216489,25.0,LongA,TeSeS,76561197996678278,t,ct,3,27,19,chest,t,13646,1279.8209,2388.3267,127.03125,46,BombsiteA,xertioN,76561198193174134,ct,ak47,27,3
88,1323.0645,1732.3961,1.0312505,25.0,LongA,TeSeS,76561197996678278,t,ct,3,27,0,chest,t,13652,1281.2705,2388.7363,127.03125,19,BombsiteA,xertioN,76561198193174134,ct,ak47,19,3
99,1479.1447,1778.4772,-7.7105103,25.0,LongA,TeSeS,76561197996678278,t,ct,1,10,90,chest,t,13911,967.84045,2379.3513,12.638279,100,UnderA,Jimpphat,76561198855375325,ct,ak47,10,3
98,1479.4584,1778.7509,-7.7057495,25.0,LongA,TeSeS,76561197996678278,t,ct,1,12,78,right_arm,t,13918,972.698,2379.5537,14.508432,90,UnderA,Jimpphat,76561198855375325,ct,ak47,12,3
97,1479.9799,1779.1993,-7.697815,25.0,LongA,TeSeS,76561197996678278,t,ct,1,9,69,chest,t,13924,969.4927,2376.6953,13.274385,78,UnderA,Jimpphat,76561198855375325,ct,ak47,9,3
75,967.6833,2375.1304,12.57777,69.0,UnderA,Jimpphat,76561198855375325,ct,ct,3,14,11,stomach,t,13927,1479.9081,1779.137,-7.6989136,25,LongA,TeSeS,76561197996678278,t,m4a1,14,3
92,1480.2887,1779.466,-7.693115,11.0,LongA,TeSeS,76561197996678278,t,ct,5,37,32,head,t,13930,966.24854,2373.893,12.0870075,69,UnderA,Jimpphat,76561198855375325,ct,ak47,37,3
69,965.0912,2372.8962,11.75717,32.0,UnderA,Jimpphat,76561198855375325,ct,ct,6,30,0,stomach,t,13933,1481.0785,1780.1478,-7.6810913,11,LongA,TeSeS,76561197996678278,t,m4a1,11,3
