round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1265,5700,6020,ct,t_killed,,not_planted
2,6020,7300,8959,9279,ct,t_killed,,not_planted
3,9279,10559,16543,16863,t,ct_killed,14934,bombsite_b
4,16863,18143,25307,25627,ct,bomb_defused,24226,bombsite_b
5,25627,26907,35418,35738,t,bomb_exploded,32794,bombsite_b
6,35738,37018,39821,40141,ct,t_killed,,not_planted
7,40141,41421,48660,48980,t,ct_killed,47266,bombsite_b
8,48980,50260,57941,58261,ct,bomb_defused,56218,bombsite_b
9,58261,61925,69996,70316,ct,bomb_defused,68131,bombsite_b
10,70316,74431,80355,80675,ct,t_killed,,not_planted
11,80675,84265,87657,87977,ct,t_killed,,not_planted
12,87977,89257,93246,93790,ct,t_killed,,not_planted
13,93790,108603,113741,114061,ct,bomb_defused,111688,bombsite_b
14,114061,115341,122337,122657,t,bomb_exploded,119713,bombsite_b
15,122657,123937,126753,127073,t,ct_killed,,not_planted
16,127073,131215,134667,134987,t,ct_killed,,not_planted
17,134987,136267,140122,140122,t,ct_killed,138976,bombsite_b
