ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1329,161.44354,2321.483,-118.96875,100,CTSpawn,Jimpphat,76561198855375325,ct,weapon_knife_butterfly,1
ct,false,t,1386,-1366.9763,-366.05878,128.38303,100,TSpawn,kyxsan,76561198057282432,t,weapon_knife_karambit,1
ct,false,t,1411,-1409.2261,-278.01526,129.70255,100,TSpawn,kyxsan,76561198057282432,t,weapon_knife_karambit,1
ct,false,t,1417,-116.78259,2173.8042,-126.92877,100,CTSpawn,Jimpphat,76561198855375325,ct,weapon_knife_butterfly,1
ct,false,t,1436,734.7899,2165.1165,-64.35388,100,UnderA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,false,t,1437,-1447.7644,-184.93329,174.40625,100,TSpawn,kyxsan,76561198057282432,t,weapon_knife_karambit,1
ct,false,t,1465,844.4794,2136.8293,-34.30432,100,UnderA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,false,t,1479,-329.17493,2023.3547,-127.1499,100,MidDoors,Spinx,76561198063336407,ct,weapon_knife_karambit,1
ct,false,t,1496,962.50885,2109.7979,-8.430542,100,UnderA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,false,t,1521,1057.473,2087.0283,0.15480423,100,UnderA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,true,t,1831,-429.08295,2418.4297,-91.155945,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,1853,-433.5874,2418.3518,-91.17432,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,1870,-433.5874,2418.3518,-91.17432,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,1891,-433.5874,2418.3518,-91.17432,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,2054,-415.49866,2424.7075,-89.690796,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,false,t,2486,375.96875,-464.00867,13.0,100,OutsideLong,Magisk,76561197983956651,t,weapon_smokegrenade,1
ct,false,t,2613,1503.117,1401.9056,-8.16156,100,LongA,Brollan,76561198138828475,ct,weapon_smokegrenade,1
ct,false,t,2922,-68.25006,392.40033,-1.3150024,100,TopofMid,Magisk,76561197983956651,t,weapon_molotov,1
ct,true,t,2933,-110.83264,1581.819,2.2319899,100,Catwalk,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,2938,-177.48193,308.08868,2.1601048,100,TopofMid,NiKo,76561198041683378,t,weapon_p250,1
ct,false,t,3194,-108.402466,438.00458,-1.0003052,100,TopofMid,m0NESY,76561198074762801,t,weapon_glock,1
ct,false,t,3204,-113.40552,438.02536,-0.99658203,100,TopofMid,m0NESY,76561198074762801,t,weapon_glock,1
ct,false,t,3210,-838.03406,2546.7588,-40.96875,100,MidDoors,xertioN,76561198193174134,ct,weapon_flashbang,1
ct,false,t,3213,-130.08319,434.41724,-1.0506592,100,TopofMid,m0NESY,76561198074762801,t,weapon_glock,1
ct,false,t,3306,-682.78033,2485.02,-81.59503,100,MidDoors,xertioN,76561198193174134,ct,weapon_hegrenade,1
ct,true,t,3351,-21.144897,1548.9067,1.1976619,100,Catwalk,torzsi,76561198355739212,ct,weapon_usp_silencer,1
