tick,event,X,Y,Z,steamid,name,bombsite,round_num
818,drop,1296.0,32.0,-167.96875,76561198063336407,Spinx,,1
2830,drop,-1848.1047,746.62067,-47.96875,76561198138828475,Brollan,,1
7646,pickup,-1848.1047,746.62067,-47.96875,76561198138828475,Brollan,,2
10038,drop,-865.7875,455.31006,-358.48743,76561198138828475,Brollan,,2
10049,pickup,-992.1708,475.96777,-367.96875,76561198855375325,Jimpphat,,2
12007,drop,-349.97034,462.88608,-79.96875,76561198855375325,Jimpphat,,2
12014,pickup,-267.69336,467.23804,-80.35901,76561198063336407,Spinx,,2
13273,drop,500.59625,-272.1372,-160.07855,76561198063336407,Spinx,,2
13279,pickup,449.82147,-275.30005,-159.96875,76561198193174134,xertioN,,2
13298,drop,446.18658,-299.72345,-159.96875,76561198193174134,xertioN,,2
13626,pickup,446.09772,-299.3534,-159.96875,76561198193174134,xertioN,,3
13768,drop,1136.0,-64.0,-164.49915,76561198193174134,xertioN,,3
13794,pickup,1216.0,-211.0,-163.96875,76561198063336407,Spinx,,3
14417,drop,1216.0,-211.0,-163.96875,76561198063336407,Spinx,,3
14424,pickup,1136.0,-256.0,-164.83655,76561198855375325,Jimpphat,,3
15142,drop,946.3745,453.8803,-255.18457,76561198855375325,Jimpphat,,3
15244,pickup,851.16113,460.74304,-255.1889,76561198355739212,torzsi,,3
19749,plant,-607.0488,-2264.4116,-178.82306,76561198355739212,torzsi,BombsiteA,3
20251,pickup,-1577.0656,694.81006,-47.96875,76561198063336407,Spinx,,4
21698,drop,978.9923,462.37424,-257.54248,76561198063336407,Spinx,,4
21970,pickup,726.0709,533.31464,-255.58984,76561198355739212,torzsi,,4
27008,plant,-1969.032,450.03125,-159.96875,76561198355739212,torzsi,BombsiteB,4
29632,detonate,401.06003,760.03424,-135.96875,76561198355739212,torzsi,,4
29952,pickup,279.1261,775.4995,-135.96875,76561198355739212,torzsi,,5
34024,drop,247.28838,63.40395,-214.49493,76561198355739212,torzsi,,5
34543,pickup,245.72993,124.98376,-231.15173,76561198855375325,Jimpphat,,5
37480,drop,-1142.1971,562.3488,-79.96875,76561198855375325,Jimpphat,,5
37502,pickup,-952.982,598.97327,-79.96875,76561198063336407,Spinx,,5
38829,plant,-1987.0321,429.5809,-159.96875,76561198063336407,Spinx,BombsiteB,5
41453,detonate,335.82654,404.48328,-196.78125,76561198063336407,Spinx,,5
41773,pickup,-463.96875,887.9682,-71.96875,76561198855375325,Jimpphat,,6
42391,drop,1296.0,-352.0,-167.96875,76561198855375325,Jimpphat,,6
42448,pickup,1136.0,-160.0,-164.43054,76561198355739212,torzsi,,6
44197,drop,-549.23834,-482.71594,-164.92188,76561198355739212,torzsi,,6
44618,pickup,-369.29285,-390.80103,-167.06476,76561198138828475,Brollan,,6
46197,drop,1135.9683,519.71857,-262.54968,76561198138828475,Brollan,,6
46303,pickup,957.3896,570.9468,-253.06183,76561198193174134,xertioN,,6
46983,drop,1266.0471,86.188034,-167.96875,76561198193174134,xertioN,,6
47027,pickup,1065.9314,377.16098,-260.79224,76561198063336407,Spinx,,6
48425,drop,-553.2086,614.6917,-79.67847,76561198063336407,Spinx,,6
50733,pickup,1249.572,302.93268,-223.25092,76561198138828475,Brollan,,7
51918,drop,1296.0,32.0,-167.96875,76561198138828475,Brollan,,7
51928,pickup,1216.0,-16.0,-163.96875,76561198193174134,xertioN,,7
