entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
119,9462,9815,-194.902099609375,-2156.07666015625,-168.6744384765625,100,BombsiteA,Magisk,76561197983956651,ct,450.31805419921875,-1651.0389404296875,-237.96875,2
213,11572,11925,-793.4927368164062,-693.1221313476562,-268.08203125,30,Middle,NiKo,76561198041683378,ct,-1021.985595703125,-388.2930603027344,-341.96875,2
321,15484,15933,252.55657958984375,-14.94873046875,-193.3011474609375,100,TopofMid,xertioN,76561198193174134,t,-662.8908081054688,-917.9406127929688,-223.00167846679688,3
151,15584,15937,-1158.1259765625,-456.15582275390625,-167.96875,99,SnipersNest,NiKo,76561198041683378,ct,466.2515869140625,-656.4036865234375,-161.68544006347656,3
289,15796,16149,-2129.56005859375,820.4511108398438,-95.96875,100,Truck,kyxsan,76561198057282432,ct,-1072.55859375,615.8776245117188,-77.96875,3
502,17499,17852,-751.7085571289062,-1306.216552734375,-167.96875,100,BombsiteA,m0NESY,76561198074762801,ct,72.6728744506836,-2268.011962890625,-37.96875,3
158,17877,18326,-946.184814453125,-745.7924194335938,-263.14093017578125,100,Middle,xertioN,76561198193174134,t,-1141.5277099609375,-358.1912841796875,-39.0,3
267,18044,18397,-752.4141845703125,-78.61505126953125,-161.5870361328125,100,Underpass,TeSeS,76561197996678278,ct,-1012.0374145507812,-592.8775024414062,-288.0,3
203,18316,18452,-1462.4144287109375,664.0336303710938,-47.96875,100,Apartments,Spinx,76561198063336407,t,-2211.84033203125,753.2455444335938,-125.96875,3
356,18352,18801,-310.3804931640625,-927.90234375,-166.05426025390625,100,Middle,Jimpphat,76561198855375325,t,-782.4673461914062,146.14291381835938,-172.2178192138672,3
180,21981,22334,-720.1032104492188,-2134.1123046875,-179.96875,100,BombsiteA,Magisk,76561197983956651,ct,295.3424072265625,-1560.977294921875,-176.0,4
278,22120,22473,-1245.57080078125,-619.3468017578125,-167.96875,100,SnipersNest,m0NESY,76561198074762801,ct,486.85791015625,-651.1307373046875,-161.04183959960938,4
279,22167,22616,350.3435363769531,-107.581787109375,-170.15899658203125,100,TopofMid,xertioN,76561198193174134,t,-976.6344604492188,-673.6925048828125,-261.96875,4
194,22379,22732,-2118.384033203125,673.4037475585938,-103.390625,100,Truck,kyxsan,76561198057282432,ct,-1066.1375732421875,670.9210205078125,-77.96875,4
291,23419,23772,-300.8817138671875,-919.0640258789062,-166.4630126953125,73,Middle,Jimpphat,76561198855375325,t,-771.3843383789062,173.75015258789062,-172.4192657470703,4
168,23719,24168,-965.92529296875,-547.1646118164062,-263.96875,9,Middle,Spinx,76561198063336407,t,-843.4822998046875,195.06570434570312,-171.17579650878906,4
328,26503,26952,-1815.654296875,445.7898254394531,-167.96875,100,BombsiteB,Brollan,76561198138828475,t,-2266.514404296875,-13.370258331298828,-168.0,4
119,36670,37119,-1012.6900024414062,-302.5218505859375,-367.96875,23,Underpass,xertioN,76561198193174134,t,-996.205322265625,-765.3236083984375,-261.96875,5
214,38010,38459,-1594.0687255859375,817.771240234375,-47.96875,100,Apartments,Spinx,76561198063336407,t,-2565.066650390625,335.93646240234375,-165.96871948242188,5
125,38220,38669,-1704.21630859375,724.2881469726562,-47.96875,100,Apartments,Brollan,76561198138828475,t,-2354.85546875,56.65379333496094,-160.0,5
203,43457,43810,-527.0953369140625,-2319.82275390625,-170.3441162109375,100,BombsiteA,TeSeS,76561197996678278,ct,282.88482666015625,-1529.80078125,-173.96875,6
320,43587,44036,162.5589599609375,-377.48681640625,-166.96875,100,TopofMid,xertioN,76561198193174134,t,-647.56884765625,-915.283935546875,-223.0013427734375,6
510,43620,43973,-1238.7957763671875,-712.8722534179688,-112.234375,56,SnipersNest,m0NESY,76561198074762801,ct,303.2732238769531,-632.8723754882812,-91.63545227050781,6
