assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,-1910.7267,771.96625,-47.96875,100.0,Apartments,kyxsan,76561198057282432,ct,true,false,ct,1.991681,0,138,0,true,head,false,false,0,0,t,true,2804,-1842.7019,747.2896,-47.96875,100,Apartments,Spinx,76561198063336407,t,usp_silencer,17293822569145499709,40887816782,"",0,1
false,,,,,,,,,-1957.0995,767.79486,-47.96875,100.0,Apartments,kyxsan,76561198057282432,ct,true,false,ct,3.0478656,0,137,0,true,head,false,false,0,0,t,false,2830,-1848.1047,746.62067,-47.96875,100,Apartments,Brollan,76561198138828475,t,usp_silencer,17293822569145499709,40887816782,"",0,1
false,-1003.84924,147.91539,-171.96301,100.0,Underpass,TeSeS,76561197996678278,ct,-1769.7211,721.24384,-47.96875,100.0,Apartments,kyxsan,76561198057282432,ct,false,false,ct,1.4088497,1,21,0,false,generic,false,false,0,0,t,false,3077,-1722.1566,691.73706,-47.96875,15,Apartments,xertioN,76561198193174134,t,knife_m9_bayonet,17293822569130164732,42657048943,"",0,1
false,,,,,,,,,363.73264,297.34753,-259.49097,92.0,SideAlley,Jimpphat,76561198855375325,t,false,false,ct,27.898792,0,120,0,true,head,false,false,0,0,t,false,5873,384.9112,-796.0908,-164.50323,81,TopofMid,m0NESY,76561198074762801,ct,p250,17293822569102704676,0,"",0,1
false,,,,,,,,,-1314.6136,502.99484,-163.91919,78.0,BombsiteB,TeSeS,76561197996678278,ct,false,false,ct,10.57844,0,129,0,true,head,false,false,0,0,t,false,7153,-1186.2705,106.83213,-167.36102,35,Catwalk,Jimpphat,76561198855375325,t,usp_silencer,17293822569124921405,23868648851,"",0,1
false,,,,,,,,,-978.36285,231.02995,-172.05487,72.0,Underpass,torzsi,76561198355739212,t,false,false,ct,39.512104,0,104,0,true,head,false,false,0,0,t,false,7166,-2530.2422,336.48474,-167.96875,100,BombsiteB,NiKo,76561198041683378,ct,usp_silencer,17293822569135734845,37441967518,"",0,1
false,,,,,,,,,-1166.842,107.25352,-167.89478,72.0,Catwalk,torzsi,76561198355739212,t,false,false,ct,11.052759,0,129,0,true,head,false,false,0,0,t,false,7303,-1320.9248,515.3016,-162.07318,78,BombsiteB,TeSeS,76561197996678278,ct,usp_silencer,17293822569135734845,37441967518,"",0,1
false,-2285.1997,468.4372,-167.96875,86.0,BombsiteB,Magisk,76561197983956651,ct,-1702.9015,693.9954,-47.96875,74.0,Apartments,kyxsan,76561198057282432,ct,false,false,ct,19.829525,0,105,0,true,head,false,false,0,0,t,false,7326,-1193.4614,112.19474,-167.50793,46,Catwalk,torzsi,76561198355739212,t,elite,17293822569110044674,40887962561,"",0,1
false,,,,,,,,,-1164.4163,-622.72955,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,false,false,ct,36.121128,0,33,0,false,stomach,false,false,0,0,t,false,13029,219.08308,-293.77362,-167.54993,22,TopofMid,Brollan,76561198138828475,t,famas,17293822569150087178,20646454063,"",0,2
false,435.76288,-213.39111,-159.96875,100.0,TopofMid,xertioN,76561198193174134,t,-1169.5242,-602.13074,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,false,false,ct,36.460537,0,33,0,false,stomach,false,false,0,0,t,false,13052,224.81007,-261.33698,-167.60193,5,TopofMid,torzsi,76561198355739212,t,famas,17293822569150087178,20646454063,"",0,2
false,-802.937,-410.00385,-167.42761,91.0,Catwalk,TeSeS,76561197996678278,ct,-1217.3708,-616.7448,-167.96875,11.0,SnipersNest,m0NESY,76561198074762801,ct,false,false,ct,44.52808,0,100,0,true,head,false,false,0,0,t,false,13273,500.59625,-272.1372,-160.07855,22,TopofMid,Spinx,76561198063336407,t,usp_silencer,17293822569135734845,37441967518,"",0,2
false,,,,,,,,,-804.40094,-399.64832,-167.24902,91.0,Catwalk,TeSeS,76561197996678278,ct,false,false,ct,31.870876,0,27,0,false,chest,false,false,0,0,t,false,13298,446.18658,-299.72345,-159.96875,19,TopofMid,xertioN,76561198193174134,t,famas,17293822569134948362,34339194615,"",0,2
true,-1957.212,664.9616,-43.96875,100.0,Apartments,kyxsan,76561198057282432,ct,-555.0692,-1099.6141,-167.96875,30.0,Connector,NiKo,76561198041683378,ct,false,false,ct,14.78416,0,122,0,true,head,false,false,0,0,t,false,13306,-798.7373,-576.01245,-263.4599,100,Middle,Jimpphat,76561198855375325,t,m4a1_silencer,17293822569141174332,40887374467,"",0,2
false,,,,,,,,,-627.5845,-554.28613,-272.2771,100.0,Middle,Brollan,76561198138828475,t,false,false,ct,20.540586,3,27,0,false,chest,false,false,0,0,t,false,16798,-667.1386,-1355.0032,-167.96875,12,BombsiteA,NiKo,76561198041683378,ct,ak47,17293822569179447303,43800162927,"",0,3
false,,,,,,,,,-721.6693,-1548.7378,-167.96875,100.0,BombsiteA,m0NESY,76561198074762801,ct,false,false,ct,25.489735,4,19,0,false,chest,false,false,0,0,t,false,16813,-627.7517,-554.27936,-272.2699,4,Middle,Brollan,76561198138828475,t,famas,17293822569150087178,20646454063,"",0,3
false,,,,,,,,,-971.92413,-763.6814,-263.96875,83.0,Middle,xertioN,76561198193174134,t,false,false,ct,10.655999,4,34,0,false,stomach,false,false,0,0,t,false,17962,-1160.4171,-450.44006,-55.96875,32,Ladder,Magisk,76561197983956651,ct,ak47,17293822569150152711,40641151083,"",0,3
false,,,,,,,,,-1071.7472,-765.06415,-263.96875,77.0,CTSpawn,xertioN,76561198193174134,t,false,false,ct,11.447966,15,109,0,true,head,false,false,0,0,t,false,18247,-623.34436,-810.36115,-263.96875,73,Middle,m0NESY,76561198074762801,ct,ak47,17293822569150152711,40641151083,"",0,3
false,,,,,,,,,-1400.8932,-1003.1875,-167.96875,77.0,CTSpawn,xertioN,76561198193174134,t,false,false,ct,11.624654,4,34,0,false,stomach,false,false,0,0,t,false,18877,-1706.1823,-662.2864,-167.96875,19,Shop,kyxsan,76561198057282432,ct,ak47,17293822569150152711,40641151083,"",0,3
false,,,,,,,,,-1900.396,489.03165,-167.96875,33.0,BombsiteB,TeSeS,76561197996678278,ct,false,false,ct,10.304484,17,81,0,true,head,false,false,0,0,t,false,19177,-1577.0656,694.81006,-47.96875,19,Apartments,Spinx,76561198063336407,t,famas,17293822569134948362,34339194615,"",0,3
false,-837.9684,45.457565,-166.93365,100.0,Catwalk,Jimpphat,76561198855375325,t,-2064.942,-615.44214,-167.96875,51.0,Shop,xertioN,76561198193174134,t,false,false,ct,36.33794,3,26,0,false,chest,false,false,0,0,t,false,19931,-1616.6991,737.8403,-47.96875,4,Apartments,TeSeS,76561197996678278,ct,ak47,17293822569150152711,40641151083,"",0,3
false,178.25597,-107.26312,-165.89667,100.0,TopofMid,xertioN,76561198193174134,t,160.03151,33.320534,-198.35675,100.0,SideAlley,Jimpphat,76561198855375325,t,false,false,ct,31.302929,32,49,0,false,generic,false,false,0,0,t,false,22355,-608.0327,-930.0909,-218.91962,49,Connector,NiKo,76561198041683378,ct,hegrenade,"","","",0,4
false,,,,,,,,,-1172.1046,-715.5856,-167.96875,100.0,SnipersNest,m0NESY,76561198074762801,ct,false,false,ct,34.939938,6,28,0,false,stomach,false,false,0,0,t,true,22608,183.22195,-482.22522,-167.62463,6,TopofMid,xertioN,76561198193174134,t,m4a1_silencer,17293822569126297660,30597131242,"",0,4
false,,,,,,,,,-130.7602,-913.7987,-167.71313,73.0,Middle,Jimpphat,76561198855375325,t,false,false,ct,29.61685,0,137,0,true,head,false,false,0,0,t,false,23133,-933.65094,-67.958984,-167.9679,100,Catwalk,TeSeS,76561197996678278,ct,ak47,17293822569150152711,43926699478,"",0,4
