entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
137,2675,4087,-2056.5615234375,832.1383056640625,-47.827392578125,100,Apartments,kyxsan,76561198057282432,ct,-1705.0980224609375,748.2052001953125,-45.96875,1
189,2789,4201,-798.689697265625,586.2841186523438,-81.4671630859375,100,BackAlley,torzsi,76561198355739212,t,-1927.99951171875,-347.3124084472656,-165.96875,1
282,9800,11212,-27.51397705078125,-1987.127685546875,-167.96875,100,BombsiteA,Magisk,76561197983956651,ct,76.35448455810547,-2387.9677734375,-37.96875,2
339,15305,16717,614.4549560546875,478.3182067871094,-258.31414794921875,100,SideAlley,torzsi,76561198355739212,t,35.684722900390625,-484.68914794921875,-183.99571228027344,3
375,15430,16842,161.5157470703125,808.86279296875,-135.96875,100,House,Spinx,76561198063336407,t,-1202.257568359375,-611.1185913085938,-165.96875,3
127,15922,17334,-604.2642211914062,-1354.2955322265625,-167.96875,100,BombsiteA,m0NESY,76561198074762801,ct,16.580150604248047,-2338.1025390625,-37.96875,3
381,16793,18205,-668.5734252929688,-1354.918212890625,-167.96875,12,BombsiteA,NiKo,76561198041683378,ct,-675.550048828125,-721.1923828125,-265.8650817871094,3
148,18424,19836,-2333.636962890625,283.7631530761719,-167.96875,100,BombsiteB,kyxsan,76561198057282432,ct,-2134.586181640625,642.033447265625,-149.70457458496094,3
347,18974,,-812.1372680664062,-709.6848754882812,-267.35089111328125,100,Middle,torzsi,76561198355739212,t,-720.2562255859375,-1059.704833984375,-213.96875,3
370,21966,23378,741.0591430664062,532.688232421875,-255.5863037109375,100,SideAlley,torzsi,76561198355739212,t,35.617401123046875,-478.6522521972656,-183.86302185058594,4
126,22054,23466,374.49468994140625,287.9969177246094,-257.8271484375,100,SideAlley,Jimpphat,76561198855375325,t,-1193.41650390625,-644.1029663085938,-165.96875,4
323,22089,23501,-665.399169921875,-1239.760009765625,-167.96875,100,Connector,NiKo,76561198041683378,ct,-692.5233764648438,-792.0916748046875,-261.96875,4
95,22850,24262,-1969.8956298828125,662.7234497070312,-43.96875,100,Apartments,kyxsan,76561198057282432,ct,-1261.314453125,723.8837890625,-77.96875,4
369,23085,24497,-1220.182861328125,-985.3828125,-167.96875,100,CTSpawn,m0NESY,76561198074762801,ct,30.959320068359375,-2265.22509765625,-37.96875,4
157,23433,24845,224.02890014648438,-9.8958740234375,-195.17218017578125,100,TopofMid,torzsi,76561198355739212,t,-1149.340576171875,-623.6732788085938,-165.96875,4
271,26842,28254,-1683.62890625,-187.87835693359375,-167.99951171875,100,BombsiteB,Brollan,76561198138828475,t,-2001.7708740234375,-322.269287109375,-128.89013671875,4
191,33864,35276,593.7914428710938,457.4447021484375,-256.67645263671875,100,SideAlley,Jimpphat,76561198855375325,t,34.50001907348633,-477.1523132324219,-184.08961486816406,5
162,33929,35341,262.91815185546875,807.8298950195312,-135.96875,100,House,Spinx,76561198063336407,t,-1164.0592041015625,-630.695068359375,-165.96875,5
345,34943,36355,-801.8143920898438,-1309.5252685546875,-167.96875,68,BombsiteA,kyxsan,76561198057282432,ct,-649.8497314453125,-726.1695556640625,-265.8682861328125,5
132,36051,37463,-1016.4039916992188,-591.71630859375,-287.96875,100,Middle,Brollan,76561198138828475,t,-1168.1416015625,-594.6668701171875,-165.96875,5
123,37739,39151,8.984182357788086,-1922.0316162109375,-167.96875,100,BombsiteA,m0NESY,76561198074762801,ct,287.3799743652344,-1515.072509765625,-173.96875,5
183,38062,39474,-692.7653198242188,605.0604248046875,-80.4083251953125,100,BackAlley,torzsi,76561198355739212,t,-1871.9971923828125,-318.40875244140625,-165.96875,5
