tick,event,X,Y,Z,steamid,name,bombsite,round_num
171,drop,-1520.06,430.891,-63.96875,76561198920720017,Senzu,,1
178,pickup,-1586.52,440.79,-63.96875,76561199203563345,910-,,1
1556,drop,-814.2484,573.8078,24.3125,76561199203563345,910-,,1
4322,pickup,-388.65894,711.5464,-23.061218,76561198959824088,bLitz,,1
6778,drop,863.9681,2596.2134,140.0843,76561198959824088,bLitz,,1
6935,pickup,798.33154,2592.512,136.03146,76561199203563345,910-,,1
7282,plant,481.82217,2915.0654,161.53125,76561199203563345,910-,BombsiteB,1
8784,defuse,539.0428,2938.8188,161.53123,76561198855375325,Jimpphat,BombsiteB,1
9104,pickup,635.566,1987.8081,136.03125,76561198838822582,Mzinho,,2
9814,drop,-1675.62,351.695,-63.96875,76561198838822582,Mzinho,,2
9821,pickup,-1657.23,419.577,-63.96875,76561199203563345,910-,,2
10727,drop,-724.71844,594.46967,-13.796875,76561199203563345,910-,,2
11716,pickup,-398.65417,723.75323,-18.23877,76561198959824088,bLitz,,2
12643,drop,96.69918,764.5937,92.890625,76561198959824088,bLitz,,2
12650,pickup,152.9669,764.9235,80.03125,76561199203563345,910-,,2
14486,drop,118.69681,1071.1986,86.41087,76561199203563345,910-,,2
14493,pickup,159.18053,1029.9088,85.61968,76561198838822582,Mzinho,,2
15411,drop,685.79376,2477.6035,142.88748,76561198838822582,Mzinho,,2
15731,pickup,120.68669,1594.0896,107.265625,76561199203563345,910-,,3
15793,drop,-1586.52,440.79,-63.96875,76561199203563345,910-,,3
15800,pickup,-1520.06,430.891,-63.96875,76561198959824088,bLitz,,3
21245,drop,1362.0941,756.9316,140.06717,76561198959824088,bLitz,,3
23249,pickup,1362.0941,756.9316,140.06717,76561198959824088,bLitz,,4
26116,drop,875.77344,398.20822,95.69985,76561198959824088,bLitz,,4
26160,pickup,932.3487,697.4856,105.8781,76561198920720017,Senzu,,4
27211,drop,1387.9325,444.685,125.90917,76561198920720017,Senzu,,4
32209,pickup,1403.8821,590.96497,117.84514,76561198966340160,Techno4K,,5
35041,drop,-1586.52,440.79,-63.96875,76561198966340160,Techno4K,,5
35066,pickup,-1675.62,351.695,-63.96875,76561198959824088,bLitz,,5
37804,drop,1360.3827,101.009094,132.03125,76561198959824088,bLitz,,5
38095,pickup,1470.8096,-60.497498,132.03125,76561199203563345,910-,,5
38615,drop,1999.1747,56.67234,126.247574,76561199203563345,910-,,5
39115,pickup,2341.0723,958.87494,159.31067,76561198920720017,Senzu,,6
39184,drop,-1520.06,430.891,-63.96875,76561198920720017,Senzu,,6
39191,pickup,-1586.52,440.79,-63.96875,76561199203563345,910-,,6
40554,drop,-1320.0798,230.95045,-63.96875,76561199203563345,910-,,6
40561,pickup,-1274.6172,287.84567,-63.96875,76561198838822582,Mzinho,,6
41478,drop,726.96936,2182.6514,136.03131,76561198838822582,Mzinho,,6
41642,pickup,832.5019,2287.8218,140.0843,76561198959824088,bLitz,,6
41957,drop,537.1202,2936.5696,161.53123,76561198959824088,bLitz,,6
42277,pickup,726.96936,2182.6514,136.03131,76561198838822582,Mzinho,,7
43228,drop,-1657.23,419.577,-63.96875,76561198838822582,Mzinho,,7
43235,pickup,-1586.52,440.79,-63.96875,76561198966340160,Techno4K,,7
44010,drop,-913.7165,533.3554,-8.65625,76561198966340160,Techno4K,,7
48027,pickup,-447.49902,507.4863,40.03125,76561198959824088,bLitz,,7
50394,drop,510.8552,2993.768,161.53123,76561198959824088,bLitz,,7
50714,pickup,154.0315,1648.4061,112.15462,76561199203563345,910-,,8
53622,drop,-1662.18,288.762,-63.96875,76561198838822582,Mzinho,,8
53629,pickup,-1675.62,351.695,-63.96875,76561199203563345,910-,,8
54742,drop,-739.78156,599.43335,13.828125,76561199203563345,910-,,8
56454,pickup,-445.2964,670.47424,-30.54242,76561199203563345,910-,,8
57553,plant,540.2368,2961.5796,161.53123,76561199203563345,910-,BombsiteB,8
60177,detonate,1344.4518,227.07733,138.03125,76561199203563345,910-,,8
60497,pickup,288.91956,622.1279,10.256523,76561198959824088,bLitz,,9
65643,drop,1333.0348,596.55536,125.79285,76561198959824088,bLitz,,9
65653,pickup,1213.3881,565.6899,123.4458,76561199203563345,910-,,9
68505,plant,548.13916,2883.9683,161.53123,76561199203563345,910-,BombsiteB,9
71129,detonate,2415.9683,1596.7395,182.32358,76561199203563345,910-,,9
71449,pickup,2214.0286,2099.532,139.38536,76561198966340160,Techno4K,,10
75285,drop,-623.1833,652.81854,-32.008545,76561198966340160,Techno4K,,10
75661,pickup,-450.09058,679.32666,-18.4375,76561198959824088,bLitz,,10
79502,plant,545.3568,2931.9944,161.53123,76561198959824088,bLitz,BombsiteB,10
82126,detonate,239.9909,3023.5842,160.96265,76561198959824088,bLitz,,10
82446,pickup,-567.7008,111.85594,201.67188,76561198920720017,Senzu,,11
82620,drop,-1675.62,351.695,-63.96875,76561198920720017,Senzu,,11
82627,pickup,-1657.23,419.577,-63.96875,76561198966340160,Techno4K,,11
84037,drop,-962.2922,525.96075,-20.828125,76561198966340160,Techno4K,,11
86092,pickup,-475.39294,663.7186,-30.531189,76561198966340160,Techno4K,,11
87969,plant,2086.4194,182.94182,160.03125,76561198966340160,Techno4K,BombsiteA,11
89008,pickup,2081.1938,136.91367,147.71597,76561198838822582,Mzinho,,12
92109,drop,-1586.52,440.79,-63.96875,76561198838822582,Mzinho,,12
92116,pickup,-1520.06,430.891,-63.96875,76561198966340160,Techno4K,,12
92787,drop,-661.39716,655.9793,-31.751099,76561198966340160,Techno4K,,12
92906,pickup,-459.23218,623.4602,-8.375,76561198959824088,bLitz,,12
99072,drop,751.88586,580.34424,95.68287,76561198959824088,bLitz,,12
116070,drop,48.802494,603.02954,81.50642,76561198355739212,torzsi,,13
117379,pickup,-124.810425,909.0102,54.029434,76561198193174134,xertioN,,14
117660,drop,-1662.18,288.762,-63.96875,76561198193174134,xertioN,,14
117667,pickup,-1675.62,351.695,-63.96875,76561198855375325,Jimpphat,,14
117795,drop,-1675.62,351.695,-63.96875,76561198855375325,Jimpphat,,14
118670,pickup,-1514.8965,418.47397,-63.96875,76561198138828475,Brollan,,14
118897,drop,-951.8258,538.7149,-39.773254,76561198138828475,Brollan,,14
118932,pickup,-903.66925,554.9757,-32.917603,76561198193174134,xertioN,,14
118978,drop,-737.85394,608.9035,-31.389404,76561198193174134,xertioN,,14
119007,pickup,-818.765,574.4367,-30.391602,76561198355739212,torzsi,,14
120530,drop,1386.4327,200.18092,130.58984,76561198355739212,torzsi,,14
121076,pickup,1447.14,161.59248,132.03125,76561198138828475,Brollan,,14
121136,drop,1432.1758,221.37636,129.07588,76561198138828475,Brollan,,14
121761,pickup,1567.5378,10.3595915,132.03125,76561198063336407,Spinx,,14
122205,pickup,1560.609,1144.7073,165.32365,76561198855375325,Jimpphat,,15
122298,drop,-1657.23,419.577,-63.96875,76561198855375325,Jimpphat,,15
122305,pickup,-1586.52,440.79,-63.96875,76561198063336407,Spinx,,15
124481,drop,-308.37982,881.04755,8.373024,76561198063336407,Spinx,,15
125055,pickup,-144.24792,864.90485,50.16701,76561198355739212,torzsi,,15
125876,drop,857.05695,2027.0732,136.03127,76561198355739212,torzsi,,15
126432,pickup,810.0943,2145.976,136.03131,76561198855375325,Jimpphat,,15
127257,drop,696.4822,2030.7437,136.03128,76561198855375325,Jimpphat,,15
127577,pickup,682.9958,2576.5552,142.88748,76561198138828475,Brollan,,16
134480,drop,1987.1595,197.26521,160.03125,76561198138828475,Brollan,,16
134897,pickup,1360.2063,211.19925,129.94511,76561198063336407,Spinx,,17
136578,drop,-569.9656,593.3853,42.94185,76561198063336407,Spinx,,17
138946,pickup,-398.956,661.49396,-7.953125,76561198063336407,Spinx,,17
142973,drop,789.20776,2083.449,136.0313,76561198063336407,Spinx,,17
143258,pickup,746.20856,2274.2886,136.03146,76561198855375325,Jimpphat,,17
143416,drop,560.3393,2673.8306,161.53125,76561198855375325,Jimpphat,,17
143736,pickup,416.19275,1770.8124,134.03122,76561198355739212,torzsi,,18
150531,drop,1287.0697,326.54468,129.53125,76561198355739212,torzsi,,18
150538,pickup,1351.2167,320.26935,128.03125,76561198855375325,Jimpphat,,18
153639,drop,1880.3883,322.6856,161.03122,76561198855375325,Jimpphat,,18
154755,pickup,2048.3103,15.733258,125.197464,76561198193174134,xertioN,,19
155062,drop,-1520.06,430.891,-63.96875,76561198193174134,xertioN,,19
155069,pickup,-1586.52,440.79,-63.96875,76561198855375325,Jimpphat,,19
155163,drop,-1586.52,440.79,-63.96875,76561198855375325,Jimpphat,,19
156163,pickup,-1531.4644,286.82236,-63.96875,76561198138828475,Brollan,,19
156439,drop,-812.73865,387.86273,-16.115784,76561198138828475,Brollan,,19
156503,pickup,-764.3691,-14.496033,-2.35083,76561198855375325,Jimpphat,,19
158268,drop,1226.7466,-93.05054,256.03125,76561198855375325,Jimpphat,,19
159058,pickup,1265.6251,332.17358,129.4604,76561198138828475,Brollan,,19
161518,drop,2263.059,1134.475,169.71191,76561198138828475,Brollan,,19
161838,pickup,1267.2473,-299.4364,260.03125,76561198855375325,Jimpphat,,20
161969,drop,-1657.23,419.577,-63.96875,76561198855375325,Jimpphat,,20
161976,pickup,-1586.52,440.79,-63.96875,76561198063336407,Spinx,,20
163497,drop,-613.8779,673.35645,-32.67572,76561198063336407,Spinx,,20
163705,pickup,-449.2992,650.63464,-30.769348,76561198355739212,torzsi,,20
168048,plant,547.8018,2960.0833,161.53123,76561198355739212,torzsi,BombsiteB,20
169622,pickup,1.0337158,3034.9272,161.03125,76561198138828475,Brollan,,21
172707,drop,-1586.52,440.79,-63.96875,76561198138828475,Brollan,,21
172714,pickup,-1520.06,430.891,-63.96875,76561198355739212,torzsi,,21
175738,drop,-56.1557,879.53217,74.27373,76561198355739212,torzsi,,21
176554,pickup,136.31607,933.3377,82.03227,76561198355739212,torzsi,,21
177766,drop,661.01483,588.91534,95.009186,76561198355739212,torzsi,,21
177774,pickup,782.5358,570.5701,96.03125,76561198193174134,xertioN,,21
178697,drop,2058.0994,171.97163,160.03125,76561198193174134,xertioN,,21
180171,pickup,1947.4954,-1.927002,125.298584,76561198063336407,Spinx,,22
187268,plant,547.53125,2956.9956,161.53123,76561198063336407,Spinx,BombsiteB,22
189892,detonate,1617.8141,-51.919067,135.53038,76561198063336407,Spinx,,22
190212,pickup,2367.8357,1089.5734,164.89975,76561198355739212,torzsi,,23
194619,drop,289.85693,1567.3138,125.59924,76561198355739212,torzsi,,23
194626,pickup,232.24712,1573.8196,112.4482,76561198855375325,Jimpphat,,23
196980,plant,546.8521,2949.1704,161.53123,76561198855375325,Jimpphat,BombsiteB,23
199604,detonate,2212.5503,2867.893,136.7067,76561198855375325,Jimpphat,,23
199924,pickup,2497.7659,913.7027,171.53598,76561198193174134,xertioN,,24
200928,drop,-1675.62,351.695,-63.96875,76561198193174134,xertioN,,24
200935,pickup,-1657.23,419.577,-63.96875,76561198138828475,Brollan,,24
201599,drop,-623.3301,666.0558,-32.621155,76561198138828475,Brollan,,24
204580,pickup,-421.95398,698.8266,-32.11017,76561198355739212,torzsi,,24
207732,plant,1955.1783,362.25986,160.03125,76561198355739212,torzsi,BombsiteA,24
