armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
93,397.07822,1890.4575,136.1003,100.0,Banana,Spinx,76561198063336407,ct,ct,7,14,86,chest,t,3538,11.925985,838.753,80.03125,100,TRamp,Techno4K,76561198966340160,t,hkp2000,14,1
100,3.698295,842.0923,80.03125,86.0,TRamp,Techno4K,76561198966340160,t,ct,0,83,17,head,t,3544,400.57187,1889.1978,136.03123,100,Banana,Spinx,76561198063336407,ct,glock,83,1
100,932.7105,2773.5232,133.713,100.0,BombsiteB,xertioN,76561198193174134,ct,ct,0,119,0,head,t,6049,635.566,1987.8081,136.03125,100,Banana,Mzinho,76561198838822582,t,hkp2000,100,1
86,939.5813,2770.8254,133.50888,100.0,BombsiteB,xertioN,76561198193174134,ct,ct,7,15,71,chest,t,6060,723.7806,2176.8042,136.03131,86,Banana,Techno4K,76561198966340160,t,hkp2000,15,1
0,533.93024,3122.1392,210.9039,17.0,BombsiteB,Spinx,76561198063336407,ct,ct,0,29,71,chest,t,6296,745.8148,2322.9443,136.03146,100,Banana,bLitz,76561198959824088,t,hkp2000,29,1
0,533.8842,3122.521,210.89215,17.0,BombsiteB,Spinx,76561198063336407,ct,ct,0,21,50,head,t,6307,765.91235,2329.5479,136.03146,71,Banana,bLitz,76561198959824088,t,hkp2000,21,1
0,516.3185,3130.474,210.64745,17.0,BombsiteB,Spinx,76561198063336407,ct,ct,0,29,21,chest,t,6368,779.6227,2335.5425,136.03146,50,Banana,bLitz,76561198959824088,t,hkp2000,29,1
86,1302.3365,2749.308,124.03178,100.0,Ruins,Brollan,76561198138828475,ct,ct,0,127,0,head,t,6392,788.52454,2711.872,136.03116,71,BombsiteB,Techno4K,76561198966340160,t,hkp2000,71,1
93,1253.2766,2880.361,128.03166,100.0,Ruins,xertioN,76561198193174134,ct,ct,7,16,84,chest,t,6434,814.29236,2607.507,136.03146,100,BombsiteB,Senzu,76561198920720017,t,hkp2000,16,1
94,828.5856,2584.8562,140.0843,84.0,BombsiteB,Senzu,76561198920720017,t,ct,6,11,89,chest,t,6469,1255.9053,2876.4028,128.03166,100,Ruins,xertioN,76561198193174134,ct,glock,11,1
93,1254.7511,2878.1775,128.03166,89.0,Ruins,xertioN,76561198193174134,ct,ct,0,127,0,head,t,6521,827.0113,2586.4246,136.03146,84,BombsiteB,Senzu,76561198920720017,t,hkp2000,84,1
100,889.0017,2026.1506,136.3663,100.0,Banana,910-,76561199203563345,t,ct,0,82,0,head,t,6571,498.69675,3129.7617,210.66937,17,BombsiteB,Spinx,76561198063336407,ct,glock,17,1
0,786.82324,2574.15,136.03146,21.0,BombsiteB,bLitz,76561198959824088,t,ct,0,104,0,head,t,6618,1180.432,2772.1914,124.03167,100,Ruins,Brollan,76561198138828475,ct,glock,100,1
93,1310.701,2922.4473,128.03183,89.0,Ruins,xertioN,76561198193174134,ct,ct,7,15,85,chest,t,6762,679.9646,2497.9941,142.88748,100,BombsiteB,910-,76561199203563345,t,hkp2000,15,1
0,1314.0304,2917.4788,128.03183,89.0,Ruins,xertioN,76561198193174134,ct,ct,0,31,0,chest,t,6778,863.9681,2596.2134,140.0843,21,BombsiteB,bLitz,76561198959824088,t,hkp2000,21,1
94,679.9388,2497.4648,142.88748,85.0,BombsiteB,910-,76561199203563345,t,ct,0,94,0,head,t,6794,1312.6412,2919.5195,128.03185,89,Ruins,xertioN,76561198193174134,ct,glock,89,1
86,977.8311,2685.5972,140.0843,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,7,15,70,chest,t,7536,382.1052,3107.7646,167.46402,85,BombsiteB,910-,76561199203563345,t,hkp2000,15,1
79,877.0519,2689.2876,136.03136,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,7,15,55,chest,t,7626,380.524,3126.9429,169.1701,70,BombsiteB,910-,76561199203563345,t,hkp2000,15,1
98,868.1948,2680.8198,140.0843,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,2,5,95,chest,t,7637,831.743,2711.6753,136.03127,100,BombsiteB,torzsi,76561198355739212,ct,hkp2000,5,1
72,593.8824,2625.7625,164.03125,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,7,15,40,chest,t,7790,438.47128,3314.9275,160.61794,55,BombsiteB,910-,76561199203563345,t,hkp2000,15,1
65,562.34186,2630.3228,161.53123,95.0,BombsiteB,torzsi,76561198355739212,ct,ct,7,15,25,chest,t,7802,459.39194,3317.7449,162.29196,40,BombsiteB,910-,76561199203563345,t,hkp2000,15,1
92,463.77856,3318.3813,162.86159,25.0,BombsiteB,910-,76561199203563345,t,ct,6,11,84,chest,t,7805,561.89056,2630.257,161.53123,95,BombsiteB,torzsi,76561198355739212,ct,glock,11,1
86,466.10193,3318.7478,163.16402,25.0,BombsiteB,910-,76561199203563345,t,ct,6,11,73,chest,t,7821,540.50397,2627.3794,161.53123,84,BombsiteB,torzsi,76561198355739212,ct,glock,11,1
80,467.3275,3318.8774,163.32195,25.0,BombsiteB,910-,76561199203563345,t,ct,6,11,62,chest,t,7832,535.5227,2626.812,161.53123,73,BombsiteB,torzsi,76561198355739212,ct,glock,11,1
56,536.3294,2626.8962,161.53123,62.0,BombsiteB,torzsi,76561198355739212,ct,ct,9,19,6,stomach,t,7842,470.40125,3319.1614,163.71696,25,BombsiteB,910-,76561199203563345,t,hkp2000,19,1
49,253.4018,2546.5684,161.53127,62.0,BombsiteB,torzsi,76561198355739212,ct,ct,7,14,0,chest,t,8514,1191.8358,2689.046,131.88506,6,Ruins,910-,76561199203563345,t,hkp2000,6,1
82,275.6733,1302.5454,111.376755,100.0,Banana,Techno4K,76561198966340160,t,ct,18,27,73,generic,t,12112,844.015,2046.3595,136.07397,100,Banana,Brollan,76561198138828475,ct,hegrenade,27,2
100,275.6733,1302.5454,111.376755,100.0,Banana,Techno4K,76561198966340160,t,ct,0,0,100,generic,t,12112,853.0579,2404.0134,140.0843,100,BombsiteB,xertioN,76561198193174134,ct,hegrenade,0,2
86,417.96124,2116.0776,140.13982,73.0,Banana,Brollan,76561198138828475,ct,ct,14,22,78,generic,t,12781,149.73087,739.8756,82.75026,100,Middle,910-,76561199203563345,t,hegrenade,22,2
90,417.96124,2116.0776,140.13982,73.0,Banana,Brollan,76561198138828475,ct,ct,10,15,85,generic,t,12781,-85.672485,912.3943,113.453125,100,TRamp,Techno4K,76561198966340160,t,hegrenade,15,2
