assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,932.7105,2773.5232,133.713,100.0,BombsiteB,xertioN,76561198193174134,ct,false,false,ct,21.424284,0,119,0,true,head,false,false,0,0,t,false,6049,635.566,1987.8081,136.03125,100,Banana,Mzinho,76561198838822582,t,usp_silencer,17293822569135734845,40641117231,"",0,1
false,,,,,,,,,1302.3365,2749.308,124.03178,100.0,Ruins,Brollan,76561198138828475,ct,false,false,ct,13.083712,0,127,0,true,head,false,false,0,0,t,false,6392,788.52454,2711.872,136.03116,71,BombsiteB,Techno4K,76561198966340160,t,usp_silencer,17293822569135734845,37193573977,"",0,1
false,,,,,,,,,1254.7511,2878.1775,128.03166,89.0,Ruins,xertioN,76561198193174134,ct,false,false,ct,13.167551,0,127,0,true,head,false,false,0,0,t,false,6521,827.0113,2586.4246,136.03146,84,BombsiteB,Senzu,76561198920720017,t,usp_silencer,17293822569135734845,40641117231,"",0,1
false,788.52454,2711.872,136.03116,0.0,BombsiteB,Techno4K,76561198966340160,t,889.0017,2026.1506,136.3663,100.0,Banana,910-,76561199203563345,t,false,false,ct,29.793797,0,82,0,true,head,false,false,0,0,t,false,6571,498.69675,3129.7617,210.66937,17,BombsiteB,Spinx,76561198063336407,ct,glock,17293822569165815812,38786162926,"",0,1
false,,,,,,,,,786.82324,2574.15,136.03146,21.0,BombsiteB,bLitz,76561198959824088,t,false,false,ct,11.279989,0,104,0,true,head,false,false,0,0,t,false,6618,1180.432,2772.1914,124.03167,100,Ruins,Brollan,76561198138828475,ct,glock,17293822569176104964,31033869469,"",0,1
false,498.15466,3129.554,210.67575,0.0,BombsiteB,Spinx,76561198063336407,ct,1314.0304,2917.4788,128.03183,89.0,Ruins,xertioN,76561198193174134,ct,false,false,ct,13.9842005,0,31,0,false,chest,false,false,0,0,t,false,6778,863.9681,2596.2134,140.0843,21,BombsiteB,bLitz,76561198959824088,t,usp_silencer,17293822569135734845,40641117231,"",0,1
false,,,,,,,,,679.9388,2497.4648,142.88748,85.0,BombsiteB,910-,76561199203563345,t,false,false,ct,19.322193,0,94,0,true,head,false,false,0,0,t,false,6794,1312.6412,2919.5195,128.03185,89,Ruins,xertioN,76561198193174134,ct,glock,17293822569165815812,38786162926,"",0,1
false,539.0428,2938.8188,161.53123,100.0,BombsiteB,Jimpphat,76561198855375325,ct,253.4018,2546.5684,161.53127,62.0,BombsiteB,torzsi,76561198355739212,ct,false,false,ct,24.108578,7,14,0,false,chest,false,false,0,0,t,false,8514,1191.8358,2689.046,131.88506,6,Ruins,910-,76561199203563345,t,usp_silencer,17293822569135734845,36583624212,"",0,1
false,,,,,,,,,135.78255,656.2401,81.07027,100.0,Middle,Spinx,76561198063336407,ct,false,false,ct,23.886492,0,15,0,false,right_leg,false,false,0,0,t,false,15172,120.68669,1594.0896,151.70312,4,Banana,910-,76561199203563345,t,mp9,17293822569170665506,24238800001,"",0,2
false,,,,,,,,,863.8568,2652.2056,140.0843,100.0,BombsiteB,xertioN,76561198193174134,ct,false,false,ct,4.194123,19,90,0,true,head,false,false,0,0,t,false,15271,863.96826,2497.291,140.0843,85,BombsiteB,Techno4K,76561198966340160,t,m4a1_silencer,17293822569131868220,40982455425,"",0,2
false,505.88434,3094.032,213.02869,73.0,BombsiteB,Brollan,76561198138828475,ct,86.41106,777.7946,80.03125,100.0,Middle,torzsi,76561198355739212,ct,false,false,ct,27.131432,17,81,0,true,head,false,false,0,0,t,false,15383,336.65,1816.1707,126.06315,46,Banana,bLitz,76561198959824088,t,m4a1_silencer,17293822569169354812,26497449213,"",0,2
false,510.5437,3095.5618,212.90121,73.0,BombsiteB,Brollan,76561198138828475,ct,94.23788,919.2493,80.06212,11.0,Middle,Spinx,76561198063336407,ct,false,false,ct,25.378967,0,14,0,false,left_leg,false,false,0,0,t,false,15391,377.44424,1875.7657,137.03125,14,Banana,Senzu,76561198920720017,t,mp9,17293822569170665506,24238800001,"",0,2
false,336.65,1816.1707,126.06315,0.0,Banana,bLitz,76561198959824088,t,82.815186,784.08826,80.03125,100.0,Middle,torzsi,76561198355739212,ct,false,false,ct,3.3813455,6,30,0,true,head,false,false,0,0,t,false,15408,114.10434,913.3702,80.03125,11,Middle,Spinx,76561198063336407,ct,m4a1_silencer,17293822569169354812,26497449213,"",0,2
false,,,,,,,,,508.48883,3094.9993,212.94809,73.0,BombsiteB,Brollan,76561198138828475,ct,false,false,ct,16.35258,17,52,0,true,head,false,false,0,0,t,false,15411,685.79376,2477.6035,142.88748,41,BombsiteB,Mzinho,76561198838822582,t,mp9,17293822569132064802,22287701199,"",0,2
false,,,,,,,,,434.76556,1984.2134,136.03123,100.0,Banana,xertioN,76561198193174134,ct,false,false,ct,32.143745,0,113,0,true,head,false,false,0,0,t,true,20267,-1.0741577,797.4677,80.0135,58,TRamp,Mzinho,76561198838822582,t,m4a1_silencer,17293822569131868220,40982455425,"",0,3
false,,,,,,,,,1211.839,-26.011292,256.03125,40.0,Apartments,Techno4K,76561198966340160,t,false,false,ct,10.316286,1,24,0,false,chest,false,false,0,0,t,false,20484,1243.7228,357.71774,128.03125,22,Apartments,torzsi,76561198355739212,ct,tec9,17293822569102704670,0,"",0,3
false,336.69568,1812.6609,125.83332,100.0,Banana,xertioN,76561198193174134,ct,1364.2903,1227.7441,181.03125,100.0,TopofMid,Spinx,76561198063336407,ct,false,false,ct,10.925833,0,125,0,true,head,false,false,0,0,t,false,21190,1376.3102,798.44366,143.76196,19,TopofMid,910-,76561199203563345,t,m4a1_silencer,17293822569131868220,43600195717,"",0,3
false,,,,,,,,,1403.239,1225.9222,176.03125,100.0,TopofMid,Spinx,76561198063336407,ct,false,false,ct,11.993967,0,124,0,true,head,false,false,0,0,t,false,21245,1362.0941,756.9316,140.06717,84,TopofMid,bLitz,76561198959824088,t,m4a1_silencer,17293822569131868220,43600195717,"",0,3
false,526.9082,1964.4844,136.03125,100.0,Banana,xertioN,76561198193174134,ct,1462.9402,1227.3674,175.97063,88.0,TopofMid,Spinx,76561198063336407,ct,false,false,ct,23.14405,0,118,0,true,head,false,false,0,0,t,false,21358,1307.3406,330.7166,129.53125,40,Apartments,Techno4K,76561198966340160,t,m4a1_silencer,17293822569131868220,43600195717,"",0,3
false,1496.9508,1175.009,177.11806,100.0,TopofMid,xertioN,76561198193174134,ct,1428.1154,-89.96869,132.03125,100.0,Quad,Jimpphat,76561198855375325,ct,false,false,ct,14.317325,0,28,0,false,chest,false,false,0,0,t,false,22929,1304.3507,460.73184,120.0284,4,Middle,Senzu,76561198920720017,t,famas,17293822569102704650,0,"",0,3
false,,,,,,,,,1365.9772,1185.896,181.03125,100.0,TopofMid,Spinx,76561198063336407,ct,false,false,ct,15.193874,5,24,0,false,chest,false,false,0,0,t,false,27146,1403.8821,590.96497,117.84514,8,TopofMid,Techno4K,76561198966340160,t,m4a1_silencer,17293822569131868220,43600195717,"",0,4
false,,,,,,,,,1512.9895,-88.13434,142.03125,100.0,Quad,Jimpphat,76561198855375325,ct,false,false,ct,13.924689,4,20,0,false,chest,false,false,0,0,t,false,27211,1387.9325,444.685,125.90917,20,TopofMid,Senzu,76561198920720017,t,famas,17293822569102704650,0,"",0,4
false,,,,,,,,,1511.8488,-87.122925,142.03125,73.0,Quad,Jimpphat,76561198855375325,ct,false,false,ct,18.254879,4,19,0,false,chest,false,false,0,0,t,false,27273,1251.7177,582.62494,125.03125,2,Middle,bLitz,76561198959824088,t,famas,17293822569102704650,0,"",0,4
false,,,,,,,,,2011.0367,-194.26245,257.5533,100.0,Balcony,torzsi,76561198355739212,ct,false,false,ct,7.1020555,1,111,0,false,chest,false,false,0,0,t,false,27335,1756.7258,-308.38104,256.03125,100,Apartments,Mzinho,76561198838822582,t,awp,17293822569162801161,37294095481,"",0,4
false,,,,,,,,,1911.5616,-301.2655,261.03125,73.0,Apartments,Jimpphat,76561198855375325,ct,false,false,ct,11.176313,0,141,0,true,head,false,false,0,0,t,false,37618,1477.2603,-359.7196,256.03125,100,Apartments,Mzinho,76561198838822582,t,ak47,17293822569146941447,43044588581,"",0,5
false,,,,,,,,,1950.3451,156.4124,160.03125,100.0,BombsiteA,torzsi,76561198355739212,ct,false,false,ct,15.069306,1,110,0,false,chest,false,false,0,0,t,false,37804,1360.3827,101.009094,132.03125,100,TopofMid,bLitz,76561198959824088,t,awp,17293822569162801161,37294095481,"",0,5
false,,,,,,,,,1368.886,89.57232,132.03125,100.0,TopofMid,910-,76561199203563345,t,false,false,ct,14.888909,15,109,0,true,head,false,false,0,0,t,false,37904,1951.5781,150.63237,160.03125,100,BombsiteA,torzsi,76561198355739212,ct,ak47,17293822569114501127,41774368669,"",0,5
false,1477.2603,-359.7196,256.03125,0.0,Apartments,Mzinho,76561198838822582,t,2289.4895,1204.6824,180.03125,48.0,Arch,Techno4K,76561198966340160,t,false,false,ct,43.04398,12,86,0,true,head,false,false,0,0,t,false,38206,2085.7168,-474.58008,96.064285,73,Pit,Jimpphat,76561198855375325,ct,galilar,17293822569170731021,32451683061,"",0,5
false,,,,,,,,,1836.155,365.94855,161.13123,100.0,BombsiteA,Spinx,76561198063336407,ct,false,false,ct,8.925754,12,86,0,true,head,false,false,1,0,t,false,38615,1999.1747,56.67234,126.247574,62,BombsiteA,910-,76561199203563345,t,ak47,17293822569121185799,43547224574,"",0,5
false,2290.791,706.31226,151.20001,48.0,BombsiteA,Techno4K,76561198966340160,t,2421.2656,917.8612,167.68896,100.0,BombsiteA,Senzu,76561198920720017,t,false,false,ct,20.55399,3,27,0,false,left_arm,false,false,0,0,t,false,38688,1863.8864,331.71432,161.03122,10,BombsiteA,Spinx,76561198063336407,ct,ak47,17293822569121185799,43547224574,"",0,5
false,2085.5166,-474.5542,96.06291,0.0,Pit,Jimpphat,76561198855375325,ct,2550.249,1320.9879,160.03125,100.0,Library,Brollan,76561198138828475,ct,false,false,ct,17.497925,15,108,0,true,head,false,false,0,0,t,false,38750,2226.4363,708.3176,152.49063,48,BombsiteA,Techno4K,76561198966340160,t,ak47,17293822569105588231,43994386070,"",0,5
false,,,,,,,,,2553.217,1319.1682,160.03125,23.0,Library,Brollan,76561198138828475,ct,false,false,ct,10.624756,3,27,0,false,right_arm,false,false,0,0,t,false,38795,2341.0723,958.87494,159.31067,1,BombsiteA,Senzu,76561198920720017,t,ak47,17293822569105588231,43994386070,"",0,5
false,,,,,,,,,532.7281,3095.4944,212.90683,24.0,BombsiteB,Brollan,76561198138828475,ct,false,false,ct,24.207172,3,26,0,false,chest,false,false,0,0,t,false,41446,814.8569,2189.0872,136.0313,8,Banana,Techno4K,76561198966340160,t,ak47,17293822569105588231,43994386070,"",0,6
false,,,,,,,,,927.9787,2756.16,133.85362,81.0,BombsiteB,xertioN,76561198193174134,ct,false,false,ct,15.440464,3,27,0,false,chest,false,false,0,0,t,false,41478,726.96936,2182.6514,136.03131,19,Banana,Mzinho,76561198838822582,t,ak47,17293822569105588231,43994386070,"",0,6
false,814.8569,2189.0872,136.0313,0.0,Banana,Techno4K,76561198966340160,t,861.8525,2011.47,136.03128,65.0,Banana,bLitz,76561198959824088,t,false,false,ct,28.95098,3,70,0,true,head,false,false,0,0,t,false,41507,520.5143,3095.161,212.93462,24,BombsiteB,Brollan,76561198138828475,ct,tec9,17293822569102704670,0,"",0,6
false,,,,,,,,,932.43036,2754.4954,133.72134,79.0,BombsiteB,xertioN,76561198193174134,ct,false,false,ct,17.355442,4,33,0,false,stomach,false,false,0,0,t,false,41562,696.797,2113.5254,136.03133,25,Banana,910-,76561199203563345,t,ak47,17293822569105588231,43994386070,"",0,6
false,,,,,,,,,940.2403,2751.4739,133.4893,57.0,BombsiteB,xertioN,76561198193174134,ct,false,false,ct,14.891107,4,34,0,false,stomach,false,false,0,0,t,false,41594,714.03015,2211.1292,136.0313,32,Banana,Senzu,76561198920720017,t,ak47,17293822569105588231,43994386070,"",0,6
false,520.3921,3095.1228,212.93779,0.0,BombsiteB,Brollan,76561198138828475,ct,980.14355,2648.0332,245.86957,100.0,BombsiteB,Spinx,76561198063336407,ct,false,false,ct,13.701619,5,24,0,false,chest,false,false,0,0,t,false,41957,537.1202,2936.5696,161.53123,3,BombsiteB,bLitz,76561198959824088,t,m4a1_silencer,17293822569131868220,43600195717,"",0,6
false,,,,,,,,,1203.0194,-319.14563,260.03125,100.0,Apartments,Mzinho,76561198838822582,t,false,false,ct,17.917141,15,108,0,true,head,false,false,0,0,t,false,47023,1905.9678,-260.1762,260.03125,46,Apartments,torzsi,76561198355739212,ct,ak47,17293822569121185799,43798987692,"",0,7
false,,,,,,,,,327.95236,1891.2446,137.03125,100.0,Banana,Spinx,76561198063336407,ct,false,false,ct,4.633539,19,90,0,true,head,false,false,0,0,t,false,47422,368.58362,1713.7125,132.42503,82,Banana,Techno4K,76561198966340160,t,m4a1_silencer,17293822569131868220,43600195717,"",0,7
false,,,,,,,,,352.84982,1954.0619,136.03122,51.0,Banana,xertioN,76561198193174134,ct,false,false,ct,23.048138,15,107,0,true,head,false,false,0,0,t,false,47479,124.415245,1077.703,86.9702,95,Banana,Senzu,76561198920720017,t,ak47,17293822569105588231,43994386070,"",0,7
false,124.415245,1077.703,86.9702,0.0,Banana,Senzu,76561198920720017,t,74.16867,755.20026,80.03125,96.0,Middle,910-,76561199203563345,t,false,false,ct,29.601482,4,33,0,false,stomach,false,false,0,0,t,false,47483,310.50497,1895.5045,137.03125,8,Banana,Spinx,76561198063336407,ct,ak47,17293822569114501127,41774368669,"",0,7
false,124.415245,1077.703,86.9702,0.0,Banana,Senzu,76561198920720017,t,74.0289,753.9045,80.03125,96.0,Middle,910-,76561199203563345,t,false,false,ct,31.320715,4,33,0,false,stomach,false,false,0,0,t,false,47502,361.03397,1951.794,136.03122,26,Banana,xertioN,76561198193174134,ct,ak47,17293822569114501127,41774368669,"",0,7
