round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1263,8784,9104,ct,bomb_defused,7282,bombsite_b
2,9104,10384,15411,15731,ct,t_killed,,not_planted
3,15731,17011,22929,23249,ct,t_killed,,not_planted
4,23249,24529,31889,32209,ct,time_ran_out,,not_planted
5,32209,35693,38795,39115,ct,t_killed,,not_planted
6,39115,40395,41957,42277,ct,t_killed,,not_planted
7,42277,43557,50394,50714,ct,t_killed,,not_planted
8,50714,54329,60177,60497,t,bomb_exploded,57553,bombsite_b
9,60497,61777,71129,71449,t,bomb_exploded,68505,bombsite_b
10,71449,74931,82126,82446,t,bomb_exploded,79502,bombsite_b
11,82446,83726,88688,89008,t,ct_killed,87969,bombsite_b
12,89008,92465,99072,99616,ct,t_killed,,not_planted
13,99616,114439,117059,117379,ct,t_killed,,not_planted
14,117379,118659,121885,122205,t,ct_killed,,not_planted
15,122205,123485,127257,127577,ct,t_killed,,not_planted
16,127577,128857,134577,134897,ct,t_killed,,not_planted
17,134897,136177,143416,143736,ct,t_killed,,not_planted
18,143736,147075,154435,154755,ct,time_ran_out,,not_planted
19,154755,156035,161518,161838,ct,t_killed,,not_planted
20,161838,163118,169302,169622,t,ct_killed,168048,bombsite_b
21,169622,172893,179851,180171,ct,t_killed,,not_planted
22,180171,181451,189892,190212,t,bomb_exploded,187268,bombsite_b
23,190212,191492,199604,199924,t,bomb_exploded,196980,bombsite_b
24,199924,201204,209619,209619,t,ct_killed,207732,bombsite_b
