tick,event,X,Y,Z,steamid,name,bombsite,round_num
1838,drop,-371.10004,-1698.3573,-415.96875,76561198355739212,torzsi,,1
1863,pickup,-481.53906,-1523.011,-415.96875,76561198138828475,Brollan,,1
4357,drop,1106.7744,-1001.6528,-415.96875,76561198138828475,Brollan,,1
4829,pickup,1675.0125,-1959.9889,-415.96875,76561198063336407,Spinx,,2
11394,drop,301.2681,20.156094,-415.3191,76561198063336407,Spinx,,2
12090,pickup,90.05368,-7.0266113,-415.96875,76561198355739212,torzsi,,3
18490,drop,1125.0131,-1153.9226,-718.6807,76561198355739212,torzsi,,3
18700,pickup,1070.8582,-1005.1677,-767.96875,76561198855375325,Jimpphat,,3
18753,drop,949.7879,-1023.59424,-767.96875,76561198855375325,Jimpphat,,3
19073,pickup,1275.7863,-925.92645,-767.96875,76561198193174134,xertioN,,4
19147,drop,-1808.0,-1025.0,-415.96875,76561198193174134,xertioN,,4
19154,pickup,-1808.0,-1089.0,-415.96875,76561198855375325,Jimpphat,,4
19245,drop,-1808.0,-1089.0,-415.96875,76561198855375325,Jimpphat,,4
19252,pickup,-1808.0,-1025.0,-415.96875,76561198193174134,xertioN,,4
19378,drop,-1808.0,-1025.0,-415.96875,76561198193174134,xertioN,,4
25666,drop,1266.9392,-945.763,-767.96875,76561198355739212,torzsi,,4
26641,pickup,147.8744,-279.89966,-415.46875,76561198855375325,Jimpphat,,5
26931,drop,-1874.0,-1076.0,-415.96875,76561198855375325,Jimpphat,,5
26948,pickup,-1947.01,-965.11,-415.96875,76561198138828475,Brollan,,5
33778,drop,-268.0846,-1011.90845,-415.96875,76561198138828475,Brollan,,5
34543,pickup,-169.59778,-810.5392,-415.96875,76561198063336407,Spinx,,5
36620,plant,642.20715,-1314.3969,-765.96875,76561198063336407,Spinx,BombsiteB,5
37602,pickup,-267.36932,-1012.1939,-415.96875,76561198138828475,Brollan,,6
44355,drop,511.55942,-821.75824,-399.96875,76561198138828475,Brollan,,6
44675,pickup,963.89154,-1553.0322,-415.96875,76561198063336407,Spinx,,7
46418,drop,-578.9125,-767.2066,-407.96875,76561198063336407,Spinx,,7
46492,pickup,-646.22943,-852.8643,-415.96875,76561198138828475,Brollan,,7
47394,drop,43.093292,-426.69507,-415.96875,76561198138828475,Brollan,,7
47406,pickup,123.151596,-538.2883,-415.96875,76561198855375325,Jimpphat,,7
48088,drop,346.49307,180.00008,-415.96875,76561198855375325,Jimpphat,,7
48408,pickup,558.946,156.62909,-414.96875,76561198355739212,torzsi,,8
55798,pickup,1093.5465,-869.81616,-407.96875,76561198193174134,xertioN,,9
59395,drop,-766.815,-1179.9783,-413.96875,76561198138828475,Brollan,,9
59521,pickup,-753.7956,-1116.3556,-413.96875,76561198355739212,torzsi,,9
62579,plant,720.02936,-1170.361,-768.96875,76561198355739212,torzsi,BombsiteB,9
64332,pickup,821.58307,-321.39148,-606.5781,76561198855375325,Jimpphat,,10
64484,drop,-1808.0,-1089.0,-415.96875,76561198855375325,Jimpphat,,10
64491,pickup,-1874.0,-1076.0,-415.96875,76561198063336407,Spinx,,10
68832,plant,596.1349,-886.38574,-408.0907,76561198063336407,Spinx,BombsiteA,10
68845,pickup,357.36676,-998.44135,-391.96875,76561198138828475,Brollan,,11
70204,drop,-1787.968,-1110.4418,-415.96875,76561198138828475,Brollan,,11
70212,pickup,-1695.4178,-1187.5676,-415.96875,76561198063336407,Spinx,,11
75749,drop,257.18396,-1054.6289,-404.50647,76561198063336407,Spinx,,11
76068,pickup,257.18396,-1054.6289,-404.50647,76561198063336407,Spinx,,12
78877,drop,482.16122,-2319.9263,-415.96875,76561198063336407,Spinx,,12
79152,pickup,605.0989,-2347.017,-415.96875,76561198355739212,torzsi,,12
79495,drop,257.54626,-2092.2,-415.96875,76561198355739212,torzsi,,12
95176,drop,-895.4436,-1007.39636,-413.9687,76561198838822582,Mzinho,,13
95813,pickup,-562.253,-876.62585,-415.96875,76561198966340160,Techno4K,,13
97434,plant,499.83673,-941.344,-412.36206,76561198966340160,Techno4K,BombsiteA,13
99954,defuse,516.2133,-882.5861,-399.96875,76561198855375325,Jimpphat,BombsiteA,13
100274,pickup,399.73428,-1314.6925,-415.96875,76561198920720017,Senzu,,14
100356,drop,-1832.0,-1160.0,-415.96875,76561198920720017,Senzu,,14
100363,pickup,-1874.0,-1076.0,-415.96875,76561198966340160,Techno4K,,14
101496,drop,-1874.0,-1076.0,-415.96875,76561198966340160,Techno4K,,14
101503,pickup,-1878.0,-980.0,-415.96875,76561198838822582,Mzinho,,14
105495,plant,637.7425,-1317.5518,-765.96875,76561198838822582,Mzinho,BombsiteB,14
108119,detonate,877.8875,-1316.5332,-639.96875,76561198838822582,Mzinho,,14
108439,pickup,752.35565,-2454.8267,-415.96875,76561198959824088,bLitz,,15
109976,drop,-991.2542,-1080.5238,-343.9375,76561198959824088,bLitz,,15
110598,pickup,-1003.75037,-1142.9708,-353.375,76561199203563345,910-,,15
113297,drop,720.7629,-2416.8564,-415.96875,76561199203563345,910-,,15
113615,pickup,787.6216,-2265.7434,-415.96875,76561198920720017,Senzu,,15
114292,drop,796.0329,-1814.5452,-354.45312,76561198920720017,Senzu,,15
116644,pickup,1411.4459,-2427.0056,-479.59302,76561198966340160,Techno4K,,16
120848,drop,1315.6229,-1153.2599,-415.96875,76561198966340160,Techno4K,,16
122425,pickup,1217.9143,-2394.342,-415.96875,76561198838822582,Mzinho,,17
125543,drop,113.1183,7.387209,-415.96875,76561198838822582,Mzinho,,17
126079,pickup,461.16327,58.753925,-415.96875,76561199203563345,910-,,18
134310,drop,869.0238,-93.37677,-639.96875,76561199203563345,910-,,18
134630,pickup,761.826,-1282.1908,-768.96875,76561198920720017,Senzu,,19
134727,drop,-1874.0,-1076.0,-415.96875,76561198920720017,Senzu,,19
134745,pickup,-1947.01,-965.11,-415.96875,76561198959824088,bLitz,,19
136647,drop,-723.3131,-1088.674,-415.96875,76561198959824088,bLitz,,19
136654,pickup,-726.9981,-1004.7823,-415.96875,76561199203563345,910-,,19
136935,drop,-782.7558,-1005.85596,-413.96875,76561199203563345,910-,,19
136943,pickup,-686.57306,-944.17883,-415.96875,76561198838822582,Mzinho,,19
137171,drop,-688.12885,-1096.2725,-415.96875,76561198838822582,Mzinho,,19
137222,pickup,-1001.6176,-1032.0343,-415.96875,76561198966340160,Techno4K,,19
137686,drop,-589.37463,-1051.1572,-415.96875,76561198966340160,Techno4K,,19
137713,pickup,-544.92505,-1265.3809,-415.96875,76561198920720017,Senzu,,19
139455,drop,89.034035,-948.43146,-415.96875,76561198920720017,Senzu,,19
139472,pickup,216.37878,-839.0683,-405.71875,76561199203563345,910-,,19
139867,drop,255.19557,-1066.525,-405.83203,76561199203563345,910-,,19
140329,pickup,409.9342,-977.2779,-391.96875,76561198838822582,Mzinho,,19
140728,plant,496.03015,-955.2271,-415.96875,76561198838822582,Mzinho,BombsiteA,19
142025,pickup,946.74255,-1697.3036,-415.96875,76561198959824088,bLitz,,20
143293,drop,-1874.0,-1076.0,-415.96875,76561198959824088,bLitz,,20
143300,pickup,-1808.0,-1089.0,-415.96875,76561199203563345,910-,,20
143384,drop,-1553.953,-1094.6293,-415.96875,76561199203563345,910-,,20
143510,pickup,-1175.9161,-1119.5647,-400.60938,76561198959824088,bLitz,,20
143556,drop,-1009.8161,-1110.5098,-415.96875,76561198959824088,bLitz,,20
143563,pickup,-1049.1895,-1079.2599,-415.96875,76561198920720017,Senzu,,20
143622,drop,-824.22845,-1096.856,-413.9687,76561198920720017,Senzu,,20
144948,pickup,-611.75336,-1022.9466,-415.96875,76561199203563345,910-,,20
149201,drop,1159.3466,-2255.4324,-407.96875,76561199203563345,910-,,20
149811,pickup,-45.187683,-1156.7194,-415.46875,76561198966340160,Techno4K,,21
153671,drop,-1538.4181,-1132.3284,-415.96875,76561198966340160,Techno4K,,21
153678,pickup,-1443.4722,-1158.8102,-415.96875,76561199203563345,910-,,21
156271,drop,430.0467,-948.4604,-391.96875,76561199203563345,910-,,21
156669,pickup,613.5287,-1230.9202,-415.96875,76561198838822582,Mzinho,,22
163015,drop,513.92755,-854.2845,-771.96875,76561198838822582,Mzinho,,22
163335,pickup,891.24097,-1769.3353,-415.96875,76561199203563345,910-,,23
163398,drop,-1878.0,-980.0,-415.96875,76561199203563345,910-,,23
163434,pickup,-1832.0,-1160.0,-415.96875,76561198920720017,Senzu,,23
163515,drop,-1832.0,-1160.0,-415.96875,76561198920720017,Senzu,,23
163538,pickup,-1947.01,-1102.11,-415.96875,76561198966340160,Techno4K,,23
166774,drop,-1947.01,-1102.11,-415.96875,76561198966340160,Techno4K,,23
166781,pickup,-1929.0,-1025.0,-415.96875,76561198959824088,bLitz,,23
167024,drop,-1929.0,-1025.0,-415.96875,76561198959824088,bLitz,,23
167031,pickup,-1878.0,-980.0,-415.96875,76561199203563345,910-,,23
172583,plant,800.7609,-503.88837,-411.09814,76561199203563345,910-,BombsiteA,23
175207,detonate,-1975.9923,-1077.2764,-415.96875,76561199203563345,910-,,23
175527,pickup,1546.1465,-371.3236,-415.96875,76561198920720017,Senzu,,24
175601,drop,-1947.01,-965.11,-415.96875,76561198920720017,Senzu,,24
175608,pickup,-1878.0,-980.0,-415.96875,76561198959824088,bLitz,,24
176779,drop,-1878.0,-980.0,-415.96875,76561198959824088,bLitz,,24
