armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
93,1399.0573,-2425.367,-471.33392,100.0,Secret,Techno4K,76561198966340160,ct,ct,7,14,86,chest,t,2778,666.224,-1864.9221,-407.96875,100,Outside,xertioN,76561198193174134,t,hkp2000,14,1
100,225.9195,-1628.1986,-28.090027,100.0,Silo,Spinx,76561198063336407,t,ct,0,73,27,head,t,2895,1437.2369,-2433.1309,-496.7871,100,Secret,Techno4K,76561198966340160,ct,glock,73,1
100,,,,,,,,,ct,0,43,57,generic,t,2984,463.97104,-1594.9908,-411.15625,100,Outside,Spinx,76561198063336407,t,"",43,1
94,1224.507,-607.0481,-239.96875,100.0,Catwalk,910-,76561199203563345,ct,ct,6,14,86,chest,t,3075,993.43304,-1742.4501,-415.96875,100,Outside,torzsi,76561198355739212,t,hkp2000,14,1
88,1230.214,-608.19116,-239.96875,100.0,Catwalk,910-,76561199203563345,ct,ct,6,14,72,chest,t,3091,1011.67596,-1723.9075,-415.96875,86,Outside,torzsi,76561198355739212,t,hkp2000,14,1
82,1233.2853,-608.7438,-239.96875,100.0,Catwalk,910-,76561199203563345,ct,ct,6,14,58,chest,t,3119,1013.01025,-1721.9219,-415.96875,72,Outside,torzsi,76561198355739212,t,hkp2000,14,1
95,985.81287,-1706.2435,-415.96875,58.0,Outside,torzsi,76561198355739212,t,ct,5,9,91,chest,t,3168,1232.7789,-592.76306,-239.96875,100,Catwalk,910-,76561199203563345,ct,glock,9,1
76,1237.4966,-593.7984,-239.96875,91.0,Catwalk,910-,76561199203563345,ct,ct,6,14,44,chest,t,3174,988.6118,-1706.8411,-415.96875,58,Outside,torzsi,76561198355739212,t,hkp2000,14,1
100,1405.936,-2441.5044,-475.9198,27.0,Secret,Techno4K,76561198966340160,ct,ct,0,120,0,head,t,3315,604.2147,-2328.4976,-415.96875,100,Outside,Jimpphat,76561198855375325,t,hkp2000,100,1
90,1939.0983,-506.47565,-351.96875,86.0,Outside,xertioN,76561198193174134,t,ct,5,10,81,chest,t,3828,1051.9218,-541.7386,-239.96875,91,Catwalk,910-,76561199203563345,ct,glock,10,1
93,1206.6254,-2442.6282,-415.96875,27.0,Outside,Techno4K,76561198966340160,ct,ct,7,14,43,chest,t,3842,1132.0835,-1408.1069,-415.96875,57,Outside,Spinx,76561198063336407,t,hkp2000,14,1
90,1939.0983,-506.47565,-351.96875,86.0,Outside,xertioN,76561198193174134,t,ct,0,89,0,head,t,3844,1056.4507,-540.06506,-239.96875,81,Catwalk,910-,76561199203563345,ct,glock,81,1
85,1229.1296,-2441.0688,-415.46875,27.0,Outside,Techno4K,76561198966340160,ct,ct,8,18,25,stomach,t,3856,1130.3663,-1408.2378,-415.96875,43,Outside,Spinx,76561198063336407,t,hkp2000,18,1
95,1136.8096,-1408.0317,-415.96875,25.0,Outside,Spinx,76561198063336407,t,ct,5,10,17,chest,t,3863,1238.6781,-2440.315,-415.46875,27,Outside,Techno4K,76561198966340160,ct,glock,10,1
90,1135.9835,-1408.6621,-415.96875,25.0,Outside,Spinx,76561198063336407,t,ct,5,10,7,chest,t,3876,1243.346,-2439.907,-415.46875,17,Outside,Techno4K,76561198966340160,ct,glock,10,1
76,1237.123,-2426.4248,-415.46875,100.0,Outside,Senzu,76561198920720017,ct,ct,0,99,0,head,t,4222,1100.9188,-603.2072,-239.96875,44,Outside,torzsi,76561198355739212,t,hkp2000,44,1
90,1171.6638,-917.672,-407.96875,100.0,Outside,Brollan,76561198138828475,t,ct,0,14,0,right_leg,t,4237,1211.1644,-2318.0557,-415.96875,7,Outside,Techno4K,76561198966340160,ct,glock,7,1
0,1153.0957,-752.132,-415.96875,100.0,LockerRoom,Mzinho,76561198838822582,ct,ct,0,133,0,head,t,4357,1106.7744,-1001.6528,-415.96875,100,Outside,Brollan,76561198138828475,t,hkp2000,100,1
85,1144.8582,-713.4813,-415.96875,100.0,LockerRoom,Mzinho,76561198838822582,ct,ct,8,16,70,chest,t,4418,1374.1406,-458.47803,-415.96875,86,Hell,xertioN,76561198193174134,t,hkp2000,16,1
93,1374.5867,-464.2262,-415.96875,70.0,Hell,xertioN,76561198193174134,t,ct,7,12,88,chest,t,4424,1139.6506,-707.4823,-415.96875,100,LockerRoom,Mzinho,76561198838822582,ct,glock,12,1
86,1378.3302,-471.01532,-415.96875,70.0,Hell,xertioN,76561198193174134,t,ct,7,12,76,chest,t,4433,1146.6674,-713.7945,-415.96875,88,LockerRoom,Mzinho,76561198838822582,ct,glock,12,1
79,1378.4369,-471.9455,-415.96875,70.0,Hell,xertioN,76561198193174134,t,ct,7,12,64,chest,t,4443,1144.7722,-711.9548,-415.96875,76,LockerRoom,Mzinho,76561198838822582,ct,glock,12,1
85,1135.831,-702.9425,-415.96875,64.0,LockerRoom,Mzinho,76561198838822582,ct,ct,0,131,0,head,t,4462,1378.4497,-471.75317,-415.96875,70,Hell,xertioN,76561198193174134,t,hkp2000,70,1
85,794.7268,-1604.0594,-415.96875,100.0,Mini,bLitz,76561198959824088,ct,ct,0,117,0,head,t,4509,1675.0714,-1959.8541,-415.96875,25,Garage,Spinx,76561198063336407,t,hkp2000,25,1
95,390.83832,-2254.0356,-415.96875,100.0,Outside,Brollan,76561198138828475,t,ct,5,8,92,chest,t,9566,1411.6124,-1275.2828,-415.96875,100,Outside,910-,76561199203563345,ct,glock,8,2
0,729.17755,-1666.5443,-415.96875,100.0,Mini,Techno4K,76561198966340160,ct,ct,0,2,98,generic,t,10072,486.73087,-2301.9119,-415.96875,100,Outside,Brollan,76561198138828475,t,hegrenade,2,2
0,1874.7806,-1803.4552,-415.96875,92.0,Garage,910-,76561199203563345,ct,ct,0,31,67,chest,t,10540,351.66302,-1853.317,-415.96875,98,Outside,Brollan,76561198138828475,t,m4a1,31,2
0,1874.7366,-1796.4496,-415.96875,92.0,Garage,910-,76561199203563345,ct,ct,0,31,36,chest,t,10551,351.3566,-1837.9794,-415.96875,67,Outside,Brollan,76561198138828475,t,m4a1,31,2
