entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
520,13865,14218,1678.392578125,-1521.6827392578125,-377.5625,100,Outside,910-,76561199203563345,ct,231.68377685546875,-2159.662353515625,-416.0,3
529,14026,14379,804.0497436523438,-835.928466796875,-242.21875,100,Rafters,Senzu,76561198920720017,ct,253.41668701171875,-1287.7587890625,-416.0,3
530,14027,14380,464.8819580078125,39.15937805175781,-415.96875,100,Ramp,Mzinho,76561198838822582,ct,99.84110260009766,-188.88645935058594,-413.96875,3
544,15005,15358,1122.002685546875,-1738.8037109375,-634.96875,100,Tunnels,bLitz,76561198959824088,ct,1524.7288818359375,-2162.584716796875,-637.96875,3
545,15069,15518,482.5716552734375,-2316.799072265625,-415.96875,99,Outside,xertioN,76561198193174134,t,1500.869384765625,-2445.7578125,-527.0,3
564,18316,18765,1275.7862548828125,-925.9264526367188,-767.96875,0,Tunnels,xertioN,76561198193174134,t,1236.3345947265625,-560.5159301757812,-637.96875,3
771,20821,20848,1346.871826171875,-984.5318603515625,-415.96875,100,Outside,Mzinho,76561198838822582,ct,154.79180908203125,-2118.635009765625,-416.0,4
775,20940,21293,794.5,385.4844970703125,-353.453125,100,Ramp,910-,76561199203563345,ct,80.1502685546875,44.19407653808594,-399.0,4
778,21001,21354,772.2567138671875,-847.8772583007812,-246.03125,100,Rafters,Senzu,76561198920720017,ct,413.5830993652344,-1348.7830810546875,-416.0,4
795,22253,22606,1163.4937744140625,-1260.5997314453125,-415.96875,100,Outside,bLitz,76561198959824088,ct,1254.59423828125,-2399.73291015625,-413.36126708984375,4
811,25084,25437,710.5634155273438,-525.2398071289062,-405.9443359375,100,BombsiteA,Techno4K,76561198966340160,ct,468.3025207519531,-1442.881103515625,-608.0,4
306,30952,31229,1508.99951171875,-944.151123046875,-415.96875,100,Outside,910-,76561199203563345,ct,195.2186279296875,-2131.685302734375,-416.0,5
514,31096,31545,1.2405623197555542,-1095.78955078125,-98.71875,100,Roof,Spinx,76561198063336407,t,439.6693420410156,-1136.673828125,-256.0,5
516,31125,31478,573.9450073242188,-1445.5982666015625,-415.96875,100,BombsiteA,Senzu,76561198920720017,ct,-94.08106231689453,-1294.878173828125,-413.96875,5
479,35199,35648,-231.54571533203125,-1195.4993896484375,-413.96875,100,Squeaky,Jimpphat,76561198855375325,t,895.297119140625,-1412.252685546875,-399.0,5
453,35269,35718,3.1934399604797363,-949.631591796875,-21.96875,100,Roof,torzsi,76561198355739212,t,479.37457275390625,-1038.9281005859375,-238.99998474121094,5
534,35276,35629,488.2994384765625,-593.5537109375,-402.07861328125,100,BombsiteA,Techno4K,76561198966340160,ct,180.1537628173828,-1140.0908203125,-413.96875,5
487,35481,35834,516.8497314453125,79.5440444946289,-415.96875,100,Ramp,Mzinho,76561198838822582,ct,156.16282653808594,-234.9465789794922,-413.96875,5
780,39363,39716,1512.1412353515625,-1494.736328125,-415.96875,100,Outside,910-,76561199203563345,ct,236.61453247070312,-2147.443603515625,-416.0,6
736,39525,39878,794.5816040039062,-838.4255981445312,-242.21875,100,Rafters,Senzu,76561198920720017,ct,215.9637451171875,-1188.1900634765625,-416.0,6
787,39559,40008,-29.21856689453125,-1333.9107666015625,-136.3125,100,Roof,Spinx,76561198063336407,t,422.37890625,-1139.305419921875,-256.0,6
775,40346,40699,1040.2825927734375,-1316.333251953125,-407.96875,100,Outside,bLitz,76561198959824088,ct,1201.416748046875,-2303.60791015625,-413.96875,6
798,41485,41838,726.0444946289062,819.7562255859375,-479.96875,100,Ramp,Mzinho,76561198838822582,ct,187.21859741210938,-333.61602783203125,-413.96875,6
721,46594,46947,805.8646850585938,-832.3038940429688,-238.609375,100,Rafters,Senzu,76561198920720017,ct,294.7454833984375,-1255.080322265625,-416.0,7
522,46639,46973,445.7074279785156,22.668746948242188,-415.96875,100,Ramp,Mzinho,76561198838822582,ct,105.99152374267578,-183.0052032470703,-413.96875,7
311,46761,47114,944.2154541015625,-1553.0328369140625,-415.96875,100,Outside,bLitz,76561198959824088,ct,771.6578369140625,-2323.86181640625,-413.96875,7
336,52228,52249,1532.98779296875,-1515.6419677734375,-415.96875,100,Outside,910-,76561199203563345,ct,226.79428100585938,-2145.77490234375,-416.0,8
639,52367,52720,790.7516479492188,-837.6726684570312,-238.609375,100,Rafters,Senzu,76561198920720017,ct,357.6771240234375,-1299.5845947265625,-416.0,8
738,52695,52901,952.8853149414062,-1587.138671875,-360.390625,100,Outside,bLitz,76561198959824088,ct,-62.35869598388672,-1289.2225341796875,-413.96875,8
