assistedflash,assister_X,assister_Y,assister_Z,assister_health,assister_place,assister_name,assister_steamid,assister_side,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,attackerblind,attackerinair,ct_side,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,t_side,thrusmoke,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,round_num
false,,,,,,,,,1405.936,-2441.5044,-475.9198,27.0,Secret,Techno4K,76561198966340160,ct,false,false,ct,20.618345,0,120,0,true,head,false,false,0,0,t,false,3315,604.2147,-2328.4976,-415.96875,100,Outside,Jimpphat,76561198855375325,t,usp_silencer,17293822569145499709,41280704712,"",0,1
false,,,,,,,,,1939.0983,-506.47565,-351.96875,86.0,Outside,xertioN,76561198193174134,t,false,false,ct,22.681967,0,89,0,true,head,false,false,0,0,t,false,3844,1056.4507,-540.06506,-239.96875,81,Catwalk,910-,76561199203563345,ct,glock,17293822569105195012,40982490798,"",0,1
false,1057.6484,-538.6384,-239.96875,0.0,Catwalk,910-,76561199203563345,ct,1237.123,-2426.4248,-415.46875,100.0,Outside,Senzu,76561198920720017,ct,false,false,ct,46.70686,0,99,0,true,head,false,false,0,0,t,false,4222,1100.9188,-603.2072,-239.96875,44,Outside,torzsi,76561198355739212,t,usp_silencer,17293822569135734845,43549568300,"",0,1
false,1495.5952,-1573.677,-407.96875,25.0,Outside,Spinx,76561198063336407,t,1171.6638,-917.672,-407.96875,100.0,Outside,Brollan,76561198138828475,t,false,false,ct,35.63809,0,14,0,false,right_leg,false,false,0,0,t,false,4237,1211.1644,-2318.0557,-415.96875,7,Outside,Techno4K,76561198966340160,ct,glock,17293822569157230596,43799473877,"",0,1
false,,,,,,,,,1153.0957,-752.132,-415.96875,100.0,LockerRoom,Mzinho,76561198838822582,ct,false,false,ct,6.447927,0,133,0,true,head,false,false,0,0,t,false,4357,1106.7744,-1001.6528,-415.96875,100,Outside,Brollan,76561198138828475,t,usp_silencer,17293822569135734845,43320655560,"",0,1
false,,,,,,,,,1135.831,-702.9425,-415.96875,64.0,LockerRoom,Mzinho,76561198838822582,ct,false,false,ct,8.513684,0,131,0,true,head,false,false,0,0,t,false,4462,1378.4497,-471.75317,-415.96875,70,Hell,xertioN,76561198193174134,t,usp_silencer,17293822569135734845,43320655560,"",0,1
false,1211.1644,-2318.0557,-415.96875,0.0,Outside,Techno4K,76561198966340160,ct,794.7268,-1604.0594,-415.96875,100.0,Mini,bLitz,76561198959824088,ct,false,false,ct,24.117832,0,117,0,true,head,false,false,0,0,t,false,4509,1675.0714,-1959.8541,-415.96875,25,Garage,Spinx,76561198063336407,t,usp_silencer,17293822569135734845,38741313177,"",0,1
false,,,,,,,,,1874.7455,-1796.6848,-415.96875,92.0,Garage,910-,76561199203563345,ct,false,false,ct,38.70827,0,39,0,false,stomach,false,false,0,0,t,false,10583,350.89487,-1795.8057,-415.96875,36,Outside,Brollan,76561198138828475,t,m4a1_silencer,17293822569131868220,41850029262,"",0,2
false,,,,,,,,,1214.9688,3.54664,-415.96875,100.0,Admin,bLitz,76561198959824088,ct,false,false,ct,23.245611,0,42,0,false,stomach,false,false,0,0,t,false,11394,301.2681,20.156094,-415.3191,1,Control,Spinx,76561198063336407,t,m4a1_silencer,17293822569176760380,26778546967,"",0,2
false,,,,,,,,,598.8702,724.64966,-479.96875,91.0,Ramp,Mzinho,76561198838822582,ct,false,false,ct,27.358643,0,115,0,true,head,false,false,0,0,t,false,11455,132.6731,-243.9165,-415.46875,100,Control,Jimpphat,76561198855375325,t,m4a1_silencer,17293822569179840572,43603861503,"",0,2
