ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1470,-1470.2386,-1110.2086,-415.96875,100,TSpawn,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,1494,-1403.8577,-1108.8817,-415.96875,100,TSpawn,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,1530,-1317.5149,-1103.9888,-415.96875,100,TSpawn,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,1555,-1255.4631,-1090.6584,-415.96875,100,TSpawn,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,1576,-1215.679,-1081.555,-415.96875,100,TSpawn,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,1781,-407.95667,-882.0092,-415.96875,100,Lobby,Jimpphat,76561198855375325,t,weapon_hegrenade,1
ct,true,t,1992,1094.6974,-330.3208,-127.96875,100,Heaven,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,true,t,1993,567.7755,-1248.5743,-415.96875,100,BombsiteA,Techno4K,76561198966340160,ct,weapon_usp_silencer,1
ct,true,t,2057,935.0281,-529.68225,-415.96875,100,BombsiteA,bLitz,76561198959824088,ct,weapon_usp_silencer,1
ct,false,t,2677,-212.35736,-2058.196,-415.96875,100,Outside,Brollan,76561198138828475,t,weapon_smokegrenade,1
ct,false,t,2749,565.0932,-1832.2086,-407.96875,100,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,false,t,2771,222.17172,-1522.5114,-38.857788,100,Silo,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,2777,542.40405,-1867.183,-407.96875,100,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,true,t,2778,1399.0573,-2425.367,-471.33392,100,Secret,Techno4K,76561198966340160,ct,weapon_usp_silencer,1
ct,false,t,2783,670.1363,-1859.7378,-407.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,false,t,2785,220.37871,-1524.781,-38.16931,100,Silo,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,2792,543.66693,-1865.4523,-407.96875,100,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,false,t,2793,675.34766,-1852.8435,-407.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,false,t,2798,223.09221,-1521.2783,-39.222534,100,Silo,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,2822,494.3067,-1925.1484,-415.96875,100,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,false,t,2828,215.72026,-1531.1626,-36.2995,100,Silo,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,2846,212.73344,-1554.2172,-32.15503,100,Silo,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,2861,239.21286,-1577.9238,-34.631897,100,Silo,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,2889,176.97159,-2043.2911,-367.96875,100,Outside,Brollan,76561198138828475,t,weapon_flashbang,1
ct,false,t,2895,225.9195,-1628.1986,-28.090027,100,Silo,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,2903,1438.5724,-2434.505,-497.67737,27,Secret,Techno4K,76561198966340160,ct,weapon_usp_silencer,1
ct,false,t,2908,257.21933,-1613.9812,-36.06012,100,Silo,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,3075,1224.507,-607.0481,-239.96875,100,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3089,1008.0425,-1724.2992,-415.96875,86,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,true,t,3091,1230.214,-608.19116,-239.96875,100,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,true,t,3106,1228.0262,-607.759,-239.96875,100,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3108,1026.7932,-1724.3955,-415.96875,72,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,true,t,3119,1233.2853,-608.7438,-239.96875,100,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3125,1006.1958,-1720.6613,-415.96875,58,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,true,t,3137,1228.8585,-601.9748,-239.96875,100,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3138,992.74585,-1713.3898,-415.96875,58,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,true,t,3151,1232.569,-594.114,-239.96875,100,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3168,985.81287,-1706.2435,-415.96875,58,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,true,t,3174,1237.4966,-593.7984,-239.96875,91,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3178,985.35364,-1706.1138,-415.96875,44,Outside,torzsi,76561198355739212,t,weapon_glock,1
ct,false,t,3181,587.77606,-2395.388,-415.96875,100,Outside,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,3183,1415.2297,-2435.0159,-482.1156,27,Secret,Techno4K,76561198966340160,ct,weapon_usp_silencer,1
ct,false,t,3193,596.9337,-2389.8452,-415.96875,100,Outside,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,3199,1228.5574,-603.7954,-239.96875,91,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3212,1035.2251,-1845.1843,-415.96875,100,Outside,Brollan,76561198138828475,t,weapon_glock,1
ct,true,t,3217,1231.9388,-605.248,-239.96875,91,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3223,1076.1292,-1845.2316,-415.96875,100,Outside,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,3234,1114.6,-1836.2834,-415.96875,100,Outside,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,3235,604.19904,-2324.5923,-415.96875,100,Outside,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,3237,1406.4868,-2408.1846,-476.287,27,Secret,Techno4K,76561198966340160,ct,weapon_usp_silencer,1
ct,false,t,3245,1153.7151,-1827.1804,-415.96875,100,Outside,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,3248,601.52625,-2353.545,-415.96875,100,Outside,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,3285,1410.1262,-2387.765,-478.71326,27,Secret,Techno4K,76561198966340160,ct,weapon_usp_silencer,1
ct,false,t,3287,605.602,-2315.8423,-415.96875,100,Outside,Jimpphat,76561198855375325,t,weapon_glock,1
ct,false,t,3299,605.168,-2320.4622,-415.96875,100,Outside,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,3315,1405.936,-2441.5044,-475.9198,27,Secret,Techno4K,76561198966340160,ct,weapon_usp_silencer,1
ct,true,t,3325,1409.9072,-2437.6472,-478.56726,27,Secret,Techno4K,76561198966340160,ct,weapon_usp_silencer,1
ct,false,t,3327,1114.7812,-1543.6656,-415.96875,57,Outside,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,3402,1429.9585,-1686.8823,-415.96875,100,Outside,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,3414,1441.0768,-1684.584,-415.96875,100,Outside,Brollan,76561198138828475,t,weapon_glock,1
ct,true,t,3433,1221.7052,-593.5925,-239.96875,91,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3645,1686.649,-456.87494,-351.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,false,t,3656,1692.37,-454.78595,-351.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,false,t,3667,1693.4982,-458.13965,-351.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,false,t,3759,1915.1301,-504.52393,-351.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,false,t,3773,1933.9196,-495.49536,-351.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,false,t,3785,1938.5974,-497.87866,-351.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,true,t,3790,1069.4253,-522.4301,-239.96875,91,Catwalk,910-,76561199203563345,ct,weapon_usp_silencer,1
ct,false,t,3800,1939.0986,-506.8377,-351.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,false,t,3813,1939.0983,-506.47565,-351.96875,86,Outside,xertioN,76561198193174134,t,weapon_glock,1
ct,false,t,3826,1363.7562,-806.0099,-209.48438,44,Outside,torzsi,76561198355739212,t,weapon_glock,1
