entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
114,2841,4253,157.89645385742188,-2040.6783447265625,-354.984375,100,Outside,Brollan,76561198138828475,t,839.9398803710938,-1646.6683349609375,-237.96875,1
523,14315,15727,-397.05877685546875,-1575.07666015625,-415.96875,100,Outside,Brollan,76561198138828475,t,986.3553466796875,-1819.1209716796875,-413.96875,3
533,14374,15786,436.64898681640625,113.14392852783203,-415.96875,100,Ramp,Mzinho,76561198838822582,ct,73.830810546875,-141.57139587402344,-413.96875,3
531,14486,15898,-158.27545166015625,-1827.3045654296875,-415.96875,100,Outside,Brollan,76561198138828475,t,1144.9532470703125,-2048.5966796875,-413.96875,3
535,14608,16020,787.4473876953125,-1350.455322265625,-415.96875,100,BombsiteA,Senzu,76561198920720017,ct,109.55252075195312,-1348.118408203125,-413.96875,3
543,15169,16581,92.7126693725586,-2120.95947265625,-415.96875,100,Outside,Brollan,76561198138828475,t,933.8384399414062,-2133.202392578125,-413.96875,3
546,15345,16757,876.9810791015625,-2291.6484375,-415.96875,99,Outside,xertioN,76561198193174134,t,1117.5118408203125,-2162.5888671875,-413.96875,3
552,15693,17105,1162.59423828125,-1129.2327880859375,-735.1405639648438,100,Tunnels,bLitz,76561198959824088,ct,1139.4813232421875,-1966.6904296875,-637.96875,3
554,16358,17770,934.0418090820312,-1001.0317993164062,-415.96875,100,BombsiteA,Senzu,76561198920720017,ct,148.66827392578125,-1331.958251953125,-413.96875,3
764,20827,22239,-389.62890625,-1704.8486328125,-415.96875,100,Outside,xertioN,76561198193174134,t,224.3328399658203,-2156.0556640625,-413.96875,4
782,21604,23016,-544.7973022460938,-876.5560302734375,-415.96875,100,Outside,Brollan,76561198138828475,t,988.7822265625,-1816.90478515625,-413.96875,4
784,21746,23158,-399.9029541015625,-748.0696411132812,-415.96875,100,Outside,Brollan,76561198138828475,t,1144.391357421875,-2048.3837890625,-413.96875,4
788,22122,23534,708.5604248046875,-1408.37841796875,-415.96875,100,BombsiteA,Senzu,76561198920720017,ct,107.6455307006836,-1345.8798828125,-413.96875,4
797,23295,24707,1436.031494140625,-617.8619384765625,-415.96875,100,Outside,bLitz,76561198959824088,ct,1056.2779541015625,-141.80543518066406,-413.96875,4
801,24335,25747,712.892333984375,-527.5323486328125,-405.39093017578125,100,BombsiteA,Techno4K,76561198966340160,ct,212.4770050048828,-1193.7596435546875,-413.96875,4
803,24563,25975,22.217531204223633,-1314.408935546875,-415.96875,100,Squeaky,torzsi,76561198355739212,t,488.1233825683594,-1277.17138671875,-413.96875,4
