tick,event,X,Y,Z,steamid,name,bombsite,round_num
1802,drop,-1592.7723,353.0103,0.68045354,76561198113666193,ZywOo,,1
2318,pickup,-1610.1927,580.46295,32.089725,76561197973140692,mezii,,1
3007,drop,-1727.8512,2087.358,-5.6574707,76561197973140692,mezii,,1
3482,pickup,-1811.6163,1931.0038,-0.34729004,76561197978835160,flameZ,,2
3982,drop,-367.0,-808.0,83.744965,76561197978835160,flameZ,,2
3989,pickup,-428.0,-843.0,95.29629,76561197973140692,mezii,,2
7098,drop,-487.1327,1063.669,-62.20636,76561197973140692,mezii,,2
7300,pickup,-334.34808,1256.8766,-110.18695,76561197991272318,ropz,,2
8279,drop,105.71859,1441.3335,-0.28302002,76561197991272318,ropz,,2
10222,pickup,105.71859,1441.3335,-0.28302002,76561197991272318,ropz,,3
11215,drop,-980.0,-754.0,120.18125,76561197991272318,ropz,,3
13493,plant,-1684.0331,2544.7793,7.353013,76561197989744167,apEX,BombsiteB,3
16117,detonate,583.85187,886.3679,1.2288883,76561197989744167,apEX,,3
16437,pickup,29.046196,-658.3928,4.8809953,76561197973140692,mezii,,4
18052,drop,157.09967,-471.68195,1.0798025,76561197973140692,mezii,,4
18633,pickup,151.92555,-313.3274,1.3835225,76561197989744167,apEX,,4
22400,drop,416.9142,2327.2852,95.61584,76561197989744167,apEX,,4
23008,pickup,598.9834,2636.482,95.25845,76561198113666193,ZywOo,,4
23548,plant,1092.2755,2505.048,96.03125,76561198113666193,ZywOo,BombsiteA,4
25836,defuse,1141.6376,2469.696,95.34926,76561198063336407,Spinx,BombsiteA,4
26156,pickup,528.3639,2265.388,127.05289,76561197989744167,apEX,,5
27032,drop,-367.0,-808.0,83.744965,76561197989744167,apEX,,5
27459,pickup,-486.3153,-738.2772,112.66241,76561198113666193,ZywOo,,5
28265,drop,223.44438,-304.89587,1.3070364,76561198113666193,ZywOo,,5
29356,pickup,149.8698,-271.4231,9.03125,76561197973140692,mezii,,5
34303,plant,-1369.8088,2560.5046,4.524378,76561197973140692,mezii,BombsiteB,5
34654,pickup,-1808.2289,2454.7585,66.03125,76561198113666193,ZywOo,,6
34813,drop,-657.27136,-755.87964,119.88402,76561198113666193,ZywOo,,6
37900,drop,963.0262,1088.9219,0.88318586,76561197978835160,flameZ,,6
37908,pickup,979.27985,1185.7487,36.03125,76561197991272318,ropz,,6
41033,plant,1095.1174,2517.3599,96.03125,76561197991272318,ropz,BombsiteA,6
43657,detonate,1768.9514,1006.6643,63.669262,76561197991272318,ropz,,6
43977,pickup,1292.0287,325.76382,-156.11145,76561197978835160,flameZ,,7
44490,drop,-533.0,-754.0,113.848976,76561197978835160,flameZ,,7
44519,pickup,-367.0,-808.0,83.744965,76561197989744167,apEX,,7
44841,drop,-367.0,-808.0,83.744965,76561197989744167,apEX,,7
44871,pickup,-533.0,-754.0,113.848976,76561197978835160,flameZ,,7
45522,drop,-150.80511,-656.09186,64.03125,76561197978835160,flameZ,,7
46338,pickup,119.96157,-695.5417,-0.76885986,76561197978835160,flameZ,,7
46614,drop,205.58795,97.47093,7.098128,76561197978835160,flameZ,,7
46701,pickup,362.2619,213.31093,-1.1385498,76561197973140692,mezii,,7
48989,plant,1235.9663,2460.9688,97.89497,76561197973140692,mezii,BombsiteA,7
51613,detonate,-1490.7817,1061.1721,38.73239,76561197973140692,mezii,,7
51696,pickup,-1463.8274,1055.3419,39.792828,76561197991272318,ropz,,8
53005,drop,-1009.5473,-833.2,116.11045,76561197991272318,ropz,,8
53022,pickup,-842.7621,-754.0133,119.68338,76561197989744167,apEX,,8
59258,plant,-1366.0317,2565.9683,4.634978,76561197989744167,apEX,BombsiteB,8
61110,pickup,-494.19873,1898.9199,-122.4765,76561197973140692,mezii,,9
62637,drop,134.36935,-561.8512,0.8962729,76561197973140692,mezii,,9
63667,pickup,263.39468,-548.5964,15.375,76561198113666193,ZywOo,,9
66050,drop,1574.1805,1970.2877,-8.804077,76561198113666193,ZywOo,,9
66262,pickup,1394.3218,2068.9763,-8.203918,76561197978835160,flameZ,,9
66854,plant,1088.6127,2483.7468,95.5841,76561197978835160,flameZ,BombsiteA,9
68772,pickup,-1770.9677,1814.0322,79.03125,76561197989744167,apEX,,10
71431,drop,-367.0,-808.0,83.744965,76561197989744167,apEX,,10
71448,pickup,-493.0,-808.0,108.56338,76561197978835160,flameZ,,10
72120,drop,-549.37,-811.76044,112.0916,76561197978835160,flameZ,,10
