armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
94,-1830.5468,2712.4194,32.67955,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,6,12,88,chest,t,2288,-2021.8777,1080.7023,38.22535,100,UpperTunnel,ZywOo,76561198113666193,t,hkp2000,12,1
0,-1893.0275,1867.1212,0.06161523,100.0,BombsiteB,flameZ,76561197978835160,t,ct,0,103,0,head,t,2597,-1473.7046,2086.0505,1.1434698,100,BombsiteB,xertioN,76561198193174134,ct,glock,100,1
93,-1060.987,2350.3853,-8.5633545,100.0,BDoors,Spinx,76561198063336407,ct,ct,7,14,86,chest,t,2631,-1829.6979,1940.6926,-0.5732422,100,BombsiteB,flameZ,76561197978835160,t,hkp2000,14,1
94,-1814.1924,1931.844,-0.36090088,86.0,BombsiteB,flameZ,76561197978835160,t,ct,6,10,90,chest,t,2641,-1059.8223,2345.114,-9.906799,100,BDoors,Spinx,76561198063336407,ct,glock,10,1
93,-1071.1584,2365.1636,-2.3529053,90.0,BDoors,Spinx,76561198063336407,ct,ct,0,119,0,head,t,2667,-1811.6163,1931.0038,-0.34729004,86,BombsiteB,flameZ,76561197978835160,t,hkp2000,86,1
71,-1473.7659,2083.0234,1.1942205,0.0,BombsiteB,xertioN,76561198193174134,ct,ct,29,43,57,generic,t,2688,-1942.5186,1584.8231,34.952892,100,UpperTunnel,ropz,76561197991272318,t,hegrenade,43,1
0,-1473.7659,2083.0234,1.1942205,0.0,BombsiteB,xertioN,76561198193174134,ct,ct,0,40,60,generic,t,2688,-1942.0293,1544.214,82.8125,100,UpperTunnel,mezii,76561197973140692,t,hegrenade,40,1
0,-1473.7659,2083.0234,1.1942205,0.0,BombsiteB,xertioN,76561198193174134,ct,ct,0,22,78,generic,t,2688,-1943.941,1454.2888,34.94744,100,UpperTunnel,apEX,76561197989744167,t,hegrenade,22,1
0,-1845.2354,2545.5928,32.72002,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,30,48,chest,t,2860,-2002.4288,1801.7457,33.03125,78,BombsiteB,apEX,76561197989744167,t,hkp2000,30,1
0,-1821.3694,2540.7654,32.285213,100.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,9,39,chest,t,2871,-2007.0892,1821.671,32.55179,48,BombsiteB,apEX,76561197989744167,t,hkp2000,9,1
0,-1312.4554,2678.895,130.03125,90.0,Hole,Spinx,76561198063336407,ct,ct,0,28,11,chest,t,2871,-2007.0892,1821.671,32.55179,48,BombsiteB,apEX,76561197989744167,t,hkp2000,28,1
0,-1305.4103,2673.6548,130.03125,90.0,Hole,Spinx,76561198063336407,ct,ct,0,8,3,chest,t,2899,-2004.7942,1826.1781,29.281946,11,BombsiteB,apEX,76561197989744167,t,hkp2000,8,1
94,-1800.2649,1970.3014,-2.0532227,60.0,BombsiteB,mezii,76561197973140692,t,ct,0,90,0,head,t,2961,-1329.732,2677.3435,130.03125,90,Hole,Spinx,76561198063336407,ct,glock,90,1
96,-1582.6332,1965.7697,-1.5810547,57.0,BombsiteB,ropz,76561197991272318,t,ct,4,8,92,chest,t,2980,-1792.0796,2490.267,31.064213,100,BombsiteB,Jimpphat,76561198855375325,ct,glock,8,1
0,-1323.435,2676.3262,130.03125,100.0,Hole,torzsi,76561198355739212,ct,ct,0,122,0,head,t,3007,-1727.8512,2087.358,-5.6574707,60,BombsiteB,mezii,76561197973140692,t,hkp2000,60,1
93,-1536.2316,1984.863,-0.22796631,57.0,BombsiteB,ropz,76561197991272318,t,ct,3,5,87,chest,t,3007,-1795.1185,2477.1128,30.690126,92,BombsiteB,Jimpphat,76561198855375325,ct,glock,5,1
0,-1323.4661,2673.6794,130.03125,100.0,Hole,torzsi,76561198355739212,ct,ct,0,20,0,chest,t,3046,-1884.9717,1814.6,19.49897,3,BombsiteB,apEX,76561197989744167,t,hkp2000,3,1
71,-1784.422,2503.1318,31.01955,87.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,0,127,0,head,t,3099,-1418.1077,2139.6973,1.0535774,57,BombsiteB,ropz,76561197991272318,t,hkp2000,57,1
95,-2013.3329,1813.1818,33.031254,88.0,BombsiteB,ZywOo,76561198113666193,t,ct,5,19,81,chest,t,3121,-1357.0848,2684.1196,130.03125,100,Hole,torzsi,76561198355739212,ct,p250,19,1
94,-1354.6383,2680.862,130.03125,81.0,Hole,torzsi,76561198355739212,ct,ct,0,21,67,left_leg,t,3124,-2013.1986,1815.3335,33.031254,88,BombsiteB,ZywOo,76561198113666193,t,hkp2000,21,1
87,-1347.8126,2675.2283,130.03125,81.0,Hole,torzsi,76561198355739212,ct,ct,7,14,53,chest,t,3145,-2024.8019,1828.1509,27.850714,67,BombsiteB,ZywOo,76561198113666193,t,hkp2000,14,1
80,-1879.5891,2497.8967,28.229242,87.0,BombsiteB,Jimpphat,76561198855375325,ct,ct,7,15,38,left_arm,t,3156,-2031.687,1833.8429,23.721209,53,BombsiteB,ZywOo,76561198113666193,t,hkp2000,15,1
90,-2031.488,1833.6812,23.838556,38.0,BombsiteB,ZywOo,76561198113666193,t,ct,5,19,62,chest,t,3157,-1357.4144,2683.5442,130.03125,81,Hole,torzsi,76561198355739212,ct,p250,19,1
80,-1359.3312,2685.159,130.03125,62.0,Hole,torzsi,76561198355739212,ct,ct,0,114,0,head,t,3162,-2028.9784,1831.6443,25.31628,38,BombsiteB,ZywOo,76561198113666193,t,hkp2000,38,1
0,-414.77905,2424.4558,-89.7522,100.0,MidDoors,Spinx,76561198063336407,ct,ct,0,19,81,right_leg,t,6173,-439.0641,-459.8385,57.671875,100,TopofMid,ZywOo,76561198113666193,t,m4a1,19,2
