ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1300,-517.9064,-833.80743,109.89289,100,TSpawn,flameZ,76561197978835160,t,weapon_knife_skeleton,1
ct,false,t,1478,-1136.5175,-585.54895,130.59808,100,TSpawn,flameZ,76561197978835160,t,weapon_knife_skeleton,1
ct,false,t,1554,1281.5033,2015.0818,29.921875,100,LongA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,false,t,1597,-1574.9175,269.50766,2.1208563,100,OutsideTunnel,ropz,76561197991272318,t,weapon_knife_skeleton,1
ct,false,t,1622,-1590.777,365.8659,0.5797138,100,OutsideTunnel,ropz,76561197991272318,t,weapon_knife_skeleton,1
ct,false,t,2183,-1392.1174,420.73645,9.03125,100,OutsideTunnel,mezii,76561197973140692,t,weapon_smokegrenade,1
ct,true,t,2288,-1830.5468,2712.4194,32.67955,100,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
ct,false,t,2289,-2021.8777,1080.7023,38.22535,88,UpperTunnel,ZywOo,76561198113666193,t,weapon_p250,1
ct,false,t,2370,-1060.6007,2388.6738,-0.9155884,100,BDoors,xertioN,76561198193174134,ct,weapon_flashbang,1
ct,true,t,2377,-1846.7639,2552.8884,33.18955,100,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
ct,false,t,2380,-2079.3152,1088.4265,39.110443,88,UpperTunnel,ZywOo,76561198113666193,t,weapon_p250,1
ct,true,t,2387,-1832.9313,2550.2148,32.911674,100,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
ct,false,t,2399,-1732.3037,1315.0316,38.784576,100,UpperTunnel,apEX,76561197989744167,t,weapon_flashbang,1
ct,false,t,2482,-2040.152,1140.7771,35.95966,88,UpperTunnel,ZywOo,76561198113666193,t,weapon_p250,1
ct,false,t,2494,-1732.3037,1315.0316,38.784576,100,UpperTunnel,apEX,76561197989744167,t,weapon_flashbang,1
ct,true,t,2560,-1848.6552,2510.378,31.549126,100,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
ct,false,t,2567,-1916.16,1834.5686,23.194717,100,BombsiteB,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,2571,-1839.439,2508.5186,31.697693,100,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
ct,false,t,2577,-1428.0599,2133.942,0.9518447,100,BombsiteB,xertioN,76561198193174134,ct,weapon_hegrenade,1
ct,false,t,2577,-1892.1362,1834.0598,23.563839,100,BombsiteB,flameZ,76561197978835160,t,weapon_glock,1
ct,false,t,2588,-1888.7397,1845.1313,15.531551,100,BombsiteB,flameZ,76561197978835160,t,weapon_glock,1
ct,false,t,2597,-1893.0275,1867.1212,0.06161523,100,BombsiteB,flameZ,76561197978835160,t,weapon_glock,1
ct,false,t,2607,-1888.8536,1898.926,0.06532383,100,BombsiteB,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,2619,-1050.4591,2353.3035,-12.695679,100,BDoors,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,2630,-1832.6976,1941.0284,-0.5823364,100,BombsiteB,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,2631,-1060.987,2350.3853,-8.5633545,100,BDoors,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,2641,-1814.1924,1931.844,-0.36090088,86,BombsiteB,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,2643,-1059.2124,2343.8218,-10.414185,90,BDoors,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,2652,-1810.0524,1928.1254,-0.27557373,86,BombsiteB,flameZ,76561197978835160,t,weapon_glock,1
ct,true,t,2657,-1063.2485,2350.9734,-7.4903564,90,BDoors,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,2661,-1810.8254,1929.5549,-0.31121826,86,BombsiteB,flameZ,76561197978835160,t,weapon_glock,1
ct,false,t,2666,1386.4751,1842.1383,-7.7734985,100,LongA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,true,t,2667,-1071.1584,2365.1636,-2.3529053,90,BDoors,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,true,t,2678,-1075.8977,2373.5312,1.3348446,90,BDoors,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,true,t,2689,-1075.0682,2372.1404,0.7006788,90,BDoors,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,2692,1341.7874,1932.1147,-5.8894043,100,LongA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,false,t,2759,1155.7947,2065.884,1.4516239,100,UnderA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,false,t,2809,-1937.0547,1834.1187,23.521152,57,BombsiteB,ropz,76561197991272318,t,weapon_glock,1
ct,true,t,2860,-1845.2354,2545.5928,32.72002,100,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
ct,false,t,2866,-1947.1238,1868.2694,1.0702624,60,BombsiteB,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,2868,-1994.1282,1613.38,31.386692,88,UpperTunnel,ZywOo,76561198113666193,t,weapon_p250,1
ct,true,t,2871,-1821.3694,2540.7654,32.285213,100,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
ct,true,t,2871,-1312.4554,2678.895,130.03125,90,Hole,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,2876,-2006.8877,1824.5706,30.448204,11,BombsiteB,apEX,76561197989744167,t,weapon_glock,1
ct,false,t,2897,-2007.8177,1826.9323,28.73482,11,BombsiteB,apEX,76561197989744167,t,weapon_glock,1
ct,true,t,2899,-1305.4103,2673.6548,130.03125,90,Hole,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,2915,-1987.0162,1828.6227,27.508429,3,BombsiteB,apEX,76561197989744167,t,weapon_glock,1
ct,true,t,2925,-1820.5309,2562.2773,32.894527,100,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
ct,false,t,2926,-1972.4847,1834.0428,23.57615,3,BombsiteB,apEX,76561197989744167,t,weapon_glock,1
ct,true,t,2929,-1307.7458,2677.1094,130.03125,90,Hole,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,2935,-1957.5311,1833.6791,23.840065,3,BombsiteB,apEX,76561197989744167,t,weapon_glock,1
ct,true,t,2943,-1823.5222,2563.3813,33.000248,100,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
ct,false,t,2954,-1920.5654,1838.1365,20.606264,3,BombsiteB,apEX,76561197989744167,t,weapon_glock,1
ct,false,t,2961,-1800.2649,1970.3014,-2.0532227,60,BombsiteB,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,2968,-1890.7354,1823.8126,23.600044,3,BombsiteB,apEX,76561197989744167,t,weapon_glock,1
ct,false,t,2972,-1798.4604,2000.8306,-2.4077148,60,BombsiteB,mezii,76561197973140692,t,weapon_glock,1
ct,false,t,2980,-1582.6332,1965.7697,-1.5810547,57,BombsiteB,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,2980,-1884.0321,1814.0312,18.830427,3,BombsiteB,apEX,76561197989744167,t,weapon_glock,1
ct,true,t,3007,-1323.435,2676.3262,130.03125,100,Hole,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,3007,-1536.2316,1984.863,-0.22796631,57,BombsiteB,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,3024,-1510.4562,1997.3765,0.80786514,57,BombsiteB,ropz,76561197991272318,t,weapon_glock,1
ct,true,t,3025,-1317.6366,2669.713,130.03125,100,Hole,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,true,t,3046,-1323.4661,2673.6794,130.03125,100,Hole,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,true,t,3065,-1325.8119,2675.2524,130.03125,100,Hole,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,3083,-1423.1882,2130.0422,1.2167969,57,BombsiteB,ropz,76561197991272318,t,weapon_glock,1
ct,false,t,3093,-1420.649,2137.0947,1.0513124,57,BombsiteB,ropz,76561197991272318,t,weapon_glock,1
ct,true,t,3099,-1784.422,2503.1318,31.01955,87,BombsiteB,Jimpphat,76561198855375325,ct,weapon_usp_silencer,1
