tick,event,X,Y,Z,steamid,name,bombsite,round_num
206,drop,1216.0,-211.0,-163.96875,76561198193174134,xertioN,,1
249,pickup,1136.0,-64.0,-164.49915,76561198855375325,Jimpphat,,1
302,drop,1136.0,-64.0,-164.49915,76561198855375325,Jimpphat,,1
309,pickup,1136.0,32.0,-164.78845,76561198138828475,Brollan,,1
5328,drop,-802.15576,-1215.506,-167.96875,76561198138828475,Brollan,,1
6732,pickup,-483.69415,-515.3056,-143.96875,76561198193174134,xertioN,,2
6874,drop,1136.0,-256.0,-164.83655,76561198193174134,xertioN,,2
6881,pickup,1216.0,-211.0,-163.96875,76561198355739212,torzsi,,2
9182,drop,503.65964,-474.33057,-159.97974,76561198355739212,torzsi,,2
9188,pickup,469.07648,-445.40198,-159.96875,76561198855375325,Jimpphat,,2
9234,drop,478.24338,-488.27008,-160.7489,76561198855375325,Jimpphat,,2
9554,pickup,-1003.1405,-390.37524,-340.77747,76561198138828475,Brollan,,3
11179,drop,539.6253,490.198,-259.9591,76561198138828475,Brollan,,3
11286,pickup,938.9697,477.19028,-254.81726,76561198355739212,torzsi,,3
15907,plant,-281.71558,-2158.3848,-173.78845,76561198355739212,torzsi,BombsiteA,3
18531,detonate,-2031.9636,-1765.0854,-289.90442,76561198355739212,torzsi,,3
18851,pickup,-161.12183,612.8143,-71.96875,76561198063336407,Spinx,,4
19379,drop,1216.0,-307.0,-164.81482,76561198063336407,Spinx,,4
23425,drop,84.00888,-2097.4446,-39.96875,76561198355739212,torzsi,,4
26470,pickup,140.93814,-1964.2058,-148.60938,76561198193174134,xertioN,,4
27811,pickup,84.00888,-2097.4446,-39.96875,76561198355739212,torzsi,,5
29410,drop,1062.5653,373.6135,-260.60876,76561198355739212,torzsi,,5
31987,pickup,811.79266,497.8419,-256.22266,76561198355739212,torzsi,,5
33696,drop,-116.618774,-2109.0652,-167.96875,76561198355739212,torzsi,,5
34016,pickup,341.80856,-1593.6294,-182.86932,76561198855375325,Jimpphat,,6
34205,drop,1216.0,-16.0,-163.96875,76561198855375325,Jimpphat,,6
35012,pickup,1136.0,-160.0,-164.43054,76561198355739212,torzsi,,6
39073,drop,-957.2882,352.03058,-367.96875,76561198355739212,torzsi,,6
39079,pickup,-957.32874,385.9969,-367.96875,76561198193174134,xertioN,,6
39108,drop,-952.6904,385.62308,-367.96875,76561198193174134,xertioN,,6
39169,pickup,-913.07263,408.41495,-367.96875,76561198063336407,Spinx,,6
39879,drop,-1014.69385,-411.60168,-330.16418,76561198063336407,Spinx,,6
40199,pickup,-951.3028,385.5255,-367.96875,76561198193174134,xertioN,,7
43861,drop,379.80682,364.83353,-260.37195,76561198138828475,Brollan,,7
44515,pickup,261.21863,189.59486,-253.17175,76561198355739212,torzsi,,7
46010,drop,1306.3756,-65.12195,-167.96875,76561198355739212,torzsi,,7
46029,pickup,1213.2799,31.91051,-163.96875,76561198193174134,xertioN,,7
47854,drop,-110.70679,-1612.2161,-167.96875,76561198193174134,xertioN,,7
51138,pickup,361.4157,-1560.0997,-192.67291,76561198138828475,Brollan,,8
54809,drop,847.17523,457.50583,-255.62103,76561198138828475,Brollan,,8
54816,pickup,744.38074,499.05197,-225.45312,76561198355739212,torzsi,,8
54999,drop,468.37784,432.9365,-257.58234,76561198355739212,torzsi,,8
55006,pickup,537.5215,463.38635,-258.19904,76561198063336407,Spinx,,8
55079,drop,389.56125,413.84186,-263.22784,76561198063336407,Spinx,,8
55086,pickup,397.55817,347.17612,-251.96875,76561198355739212,torzsi,,8
55834,drop,346.60538,-187.31836,-168.0586,76561198355739212,torzsi,,8
55843,pickup,311.15387,-300.28638,-166.7868,76561198855375325,Jimpphat,,8
57653,drop,177.30847,-323.2967,-166.96875,76561198855375325,Jimpphat,,8
58684,pickup,158.36789,-327.5423,-166.96875,76561198855375325,Jimpphat,,8
61239,drop,-276.62048,-1610.6608,-167.96875,76561198855375325,Jimpphat,,8
61951,pickup,17.10757,-1693.753,-167.96875,76561198063336407,Spinx,,9
63394,drop,1332.9347,-517.595,-167.96875,76561198063336407,Spinx,,9
63798,pickup,1297.7634,-378.7757,-167.96875,76561198355739212,torzsi,,9
65129,drop,-183.90997,-2067.4702,-167.96875,76561198355739212,torzsi,,9
65983,pickup,-183.90997,-2067.4702,-167.96875,76561198355739212,torzsi,,10
73484,plant,-1978.3771,453.29166,-159.96875,76561198355739212,torzsi,BombsiteB,10
76108,detonate,632.52185,768.8671,-106.53076,76561198355739212,torzsi,,10
76428,pickup,146.03125,-935.80273,-166.88422,76561198855375325,Jimpphat,,11
76638,drop,1296.0,-352.0,-167.96875,76561198855375325,Jimpphat,,11
76664,pickup,1216.0,-211.0,-163.96875,76561198193174134,xertioN,,11
76720,drop,1216.0,-211.0,-163.96875,76561198193174134,xertioN,,11
76728,pickup,1216.0,-115.0,-163.96875,76561198063336407,Spinx,,11
80610,drop,965.9399,533.8533,-256.19397,76561198063336407,Spinx,,11
83477,pickup,542.9979,545.58606,-259.9546,76561198855375325,Jimpphat,,11
87545,drop,-554.96875,-2103.6943,-179.96875,76561198855375325,Jimpphat,,11
87865,pickup,188.52617,-618.67633,-163.5578,76561198193174134,xertioN,,12
87986,drop,1136.0,-256.0,-164.83655,76561198193174134,xertioN,,12
87993,pickup,1216.0,-211.0,-163.96875,76561198355739212,torzsi,,12
90393,drop,-359.0398,581.77484,-79.60895,76561198355739212,torzsi,,12
90416,pickup,-554.053,593.0616,-80.69055,76561198138828475,Brollan,,12
92007,drop,-2241.698,549.45984,-161.3374,76561198138828475,Brollan,,12
109716,drop,-732.3672,-1076.9996,-167.96875,76561197989744167,apEX,,13
110125,pickup,-738.5458,-1195.3574,-167.96875,76561197978835160,flameZ,,13
110176,drop,-692.7266,-1239.31,-167.96875,76561197978835160,flameZ,,13
111181,pickup,64.101074,-2159.3254,-39.96875,76561197991272318,ropz,,14
112610,drop,1254.5593,-565.962,-163.96875,76561197991272318,ropz,,14
112869,pickup,1113.4557,-836.0495,-255.2149,76561197989744167,apEX,,14
115159,drop,-292.89563,-2006.8502,-170.75269,76561197989744167,apEX,,14
116518,pickup,-15.349487,-1601.8694,-168.03363,76561197978835160,flameZ,,15
118168,drop,372.29346,358.88345,-260.43585,76561197978835160,flameZ,,15
118756,pickup,214.78287,250.40868,-255.96875,76561197978835160,flameZ,,15
119411,drop,498.0339,-340.5244,-160.1612,76561197978835160,flameZ,,15
119851,pickup,465.31174,-235.16309,-159.96875,76561198113666193,ZywOo,,16
121524,drop,429.4341,400.9079,-257.95593,76561198113666193,ZywOo,,16
123066,pickup,204.32874,249.2436,-255.96875,76561197973140692,mezii,,16
126743,plant,-616.8075,-2163.56,-179.96875,76561197973140692,mezii,BombsiteA,16
127606,defuse,-669.92523,-2187.7869,-179.96875,76561198355739212,torzsi,BombsiteA,16
127926,pickup,-882.78107,-2307.6506,-168.89246,76561197973140692,mezii,,17
130067,drop,563.9772,-1369.4237,-249.36511,76561197973140692,mezii,,17
130074,pickup,573.98126,-1293.5002,-247.8606,76561197989744167,apEX,,17
132150,plant,-554.9684,-2115.816,-179.96875,76561197989744167,apEX,BombsiteA,17
140480,drop,955.0267,459.3304,-255.9433,76561197989744167,apEX,,18
140488,pickup,1048.5317,379.79144,-259.5111,76561198113666193,ZywOo,,18
140815,drop,1126.9048,-723.3452,-229.81091,76561198113666193,ZywOo,,18
140822,pickup,1187.3778,-781.5386,-243.96771,76561197973140692,mezii,,18
140961,drop,1054.4211,-1055.1742,-263.10022,76561197973140692,mezii,,18
140968,pickup,1110.106,-1025.233,-259.05823,76561198113666193,ZywOo,,18
144531,plant,-1987.0297,420.0431,-159.96875,76561198113666193,ZywOo,BombsiteB,18
146721,defuse,-2000.9445,361.9905,-159.96875,76561198063336407,Spinx,BombsiteB,18
147041,pickup,-2504.2205,276.74026,-167.96863,76561197991272318,ropz,,19
148952,drop,1338.1401,-937.5277,-129.14062,76561197991272318,ropz,,19
150710,pickup,846.43414,-1178.4678,-259.36816,76561197989744167,apEX,,19
151520,plant,-253.96777,-2138.7686,-173.15546,76561197989744167,apEX,BombsiteA,19
154144,detonate,-357.93848,-1530.4146,-167.96875,76561197989744167,apEX,,19
154200,pickup,-761.8885,-453.75854,-166.5658,76561197978835160,flameZ,,20
155896,drop,1193.131,-419.2196,-163.96875,76561197978835160,flameZ,,20
