armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
100,-947.02155,-72.24603,-167.96875,100.0,Catwalk,ropz,76561197991272318,ct,ct,0,124,0,head,t,4077,-483.69415,-515.3056,-143.96875,100,Middle,xertioN,76561198193174134,t,hkp2000,100,1
0,-1225.8418,-856.49457,-129.96875,100.0,SnipersNest,Spinx,76561198063336407,t,ct,0,24,76,right_arm,t,4775,-1182.4816,-1426.0247,-162.96362,100,Jungle,mezii,76561197973140692,ct,glock,24,1
92,-752.03375,-97.06738,-161.98065,100.0,Catwalk,ropz,76561197991272318,ct,ct,8,18,82,stomach,t,4930,-1251.7437,-965.4773,-66.453125,100,CTSpawn,Spinx,76561198063336407,t,hkp2000,18,1
93,87.9695,-2078.6387,-39.96875,100.0,PalaceInterior,torzsi,76561198355739212,t,ct,7,13,87,chest,t,5231,150.75035,-1914.0317,-39.96875,100,PalaceInterior,ZywOo,76561198113666193,ct,glock,13,1
100,146.17166,-1914.0337,-39.96875,87.0,PalaceInterior,ZywOo,76561198113666193,ct,ct,0,140,0,head,t,5235,87.967545,-2075.3208,-39.96875,100,PalaceInterior,torzsi,76561198355739212,t,elite,100,1
0,-657.684,-1171.4142,-167.96875,76.0,Connector,mezii,76561197973140692,ct,ct,0,136,0,head,t,5328,-802.15576,-1215.506,-167.96875,100,Connector,Brollan,76561198138828475,t,hkp2000,100,1
92,-1119.4207,-211.37067,-55.96875,100.0,Ladder,ropz,76561197991272318,ct,ct,0,112,0,head,t,5356,-1265.4272,-1342.3577,-167.61395,82,CTSpawn,Spinx,76561198063336407,t,hkp2000,82,1
0,-682.4061,-537.6718,-265.9007,100.0,Middle,Jimpphat,76561198855375325,t,ct,0,96,0,head,t,5871,-771.62775,-1214.6659,-167.96875,76,Connector,mezii,76561197973140692,ct,glock,76,1
93,-840.8266,-267.11255,-167.06079,100.0,Catwalk,ropz,76561197991272318,ct,ct,7,15,85,chest,t,6359,-111.00391,-736.97687,-220.9986,100,Middle,Jimpphat,76561198855375325,t,hkp2000,15,1
95,-113.23181,-745.30035,-216.99152,85.0,Middle,Jimpphat,76561198855375325,t,ct,5,10,90,chest,t,6391,-842.00604,-268.83276,-167.14233,100,Catwalk,ropz,76561197991272318,ct,glock,10,1
