round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1266,6412,6732,ct,t_killed,,not_planted
2,6732,8012,9234,9554,ct,t_killed,,not_planted
3,9554,10834,18531,18851,t,bomb_exploded,15907,bombsite_b
4,18851,20131,27491,27811,ct,time_ran_out,,not_planted
5,27811,29091,33696,34016,ct,t_killed,,not_planted
6,34016,35296,39879,40199,ct,t_killed,,not_planted
7,40199,43458,50818,51138,ct,time_ran_out,,not_planted
8,51138,54598,61631,61951,ct,t_killed,,not_planted
9,61951,63231,65663,65983,ct,t_killed,,not_planted
10,65983,67263,76108,76428,t,bomb_exploded,73484,bombsite_b
11,76428,80278,87545,87865,ct,t_killed,,not_planted
12,87865,89145,92007,92551,ct,t_killed,,not_planted
13,92551,107356,110861,111181,ct,t_killed,,not_planted
14,111181,112461,116198,116518,ct,t_killed,,not_planted
15,116518,117798,119531,119851,ct,t_killed,,not_planted
16,119851,121131,127606,127926,ct,bomb_defused,126743,bombsite_b
17,127926,129206,134340,134660,ct,bomb_defused,132150,bombsite_b
18,134660,137860,146721,147041,ct,bomb_defused,144531,bombsite_b
19,147041,148321,153880,154200,t,ct_killed,151520,bombsite_b
20,154200,155480,161069,161389,ct,bomb_defused,159263,bombsite_b
21,161389,165270,172026,172346,t,bomb_exploded,169402,bombsite_b
22,172346,175692,179047,179047,t,ct_killed,,not_planted
