entity_id,start_tick,end_tick,thrower_X,thrower_Y,thrower_Z,thrower_health,thrower_place,thrower_name,thrower_steamid,thrower_side,X,Y,Z,round_num
72,4002,5414,-988.4139404296875,-626.0391235351562,-274.92352294921875,100,Middle,Brollan,76561198138828475,t,-656.429931640625,-1031.798583984375,-213.96875,1
313,4156,5568,-694.6866455078125,-1267.8272705078125,-167.96875,100,Connector,mezii,76561197973140692,ct,57.38463592529297,-2288.204833984375,-37.96616744995117,1
287,8624,,-176.0999755859375,-2132.40234375,-167.96875,100,BombsiteA,flameZ,76561197978835160,ct,103.3301010131836,-2272.35498046875,-37.96875,2
78,11324,12736,988.1295166015625,433.02593994140625,-256.5269775390625,100,SideAlley,torzsi,76561198355739212,t,34.49060821533203,-481.2638244628906,-184.19302368164062,3
134,11343,12755,934.0433959960938,-1790.666259765625,-71.96875,100,PalaceInterior,Jimpphat,76561198855375325,t,-1195.4012451171875,-634.5545043945312,-165.96875,3
141,12147,13559,277.309326171875,-269.37646484375,-167.10516357421875,100,TopofMid,Brollan,76561198138828475,t,-666.555908203125,-899.0372314453125,-245.96875,3
325,14149,15561,-2074.978515625,607.6499633789062,-165.7337646484375,100,BombsiteB,mezii,76561197973140692,ct,-1434.29931640625,750.60107421875,-53.96875,3
334,15403,16815,218.43582153320312,-1578.022216796875,-175.96875,100,TRamp,xertioN,76561198193174134,t,-628.8671875,-1611.2894287109375,-169.96875,3
274,20566,21978,1342.9381103515625,-941.5491943359375,-167.96875,100,TSpawn,torzsi,76561198355739212,t,35.172386169433594,-484.83135986328125,-184.1200408935547,4
315,20662,22074,386.06884765625,77.2852554321289,-221.0179443359375,100,SideAlley,Brollan,76561198138828475,t,-1208.003173828125,-649.09228515625,-165.96875,4
306,20911,22323,-803.2404174804688,-929.8353271484375,-167.96875,100,Middle,apEX,76561197989744167,ct,-606.4385986328125,-753.5903930664062,-264.6772155761719,4
90,20988,22400,13.606451988220215,-1949.6669921875,-167.96875,100,BombsiteA,flameZ,76561197978835160,ct,76.87439727783203,-2388.900634765625,-37.96875,4
350,21580,22992,214.90072631835938,-127.19775390625,-165.46875,100,TopofMid,Brollan,76561198138828475,t,-675.5338134765625,-898.9678344726562,-245.96624755859375,4
188,21795,23207,-2265.031494140625,392.1036071777344,-167.96875,100,BombsiteB,mezii,76561197973140692,ct,-1780.2996826171875,782.6189575195312,-45.96875,4
208,23134,24546,-1789.348388671875,-589.9700317382812,-167.96875,8,Shop,ZywOo,76561198113666193,ct,39.12404251098633,-2291.92138671875,-37.96875,4
