tick,event,X,Y,Z,steamid,name,bombsite,round_num
74,drop,-1520.06,430.891,-63.96875,76561198113666193,ZywOo,,1
81,pickup,-1586.52,440.79,-63.96875,76561197989744167,apEX,,1
7210,drop,690.265,2501.8877,142.88748,76561197989744167,apEX,,1
7317,pickup,693.0773,2551.0015,142.88748,76561198113666193,ZywOo,,1
7472,drop,604.5429,2665.9517,157.75754,76561198113666193,ZywOo,,1
7792,pickup,602.72577,2664.5479,158.15372,76561198113666193,ZywOo,,2
9221,drop,-1255.1786,365.90796,-63.96875,76561198113666193,ZywOo,,2
9252,pickup,-1256.9381,411.32834,-63.96875,76561197973140692,mezii,,2
9436,drop,-657.0626,683.122,-30.95697,76561197973140692,mezii,,2
10579,pickup,-495.5158,637.594,-30.45514,76561197989744167,apEX,,2
12891,drop,37.640503,878.87695,80.03125,76561197989744167,apEX,,2
13414,pickup,1459.3694,1120.052,164.80148,76561197978835160,flameZ,,3
13692,drop,-1675.62,351.695,-63.96875,76561197978835160,flameZ,,3
13699,pickup,-1662.18,288.762,-63.96875,76561197989744167,apEX,,3
15064,drop,-697.98,633.8255,-31.58014,76561197989744167,apEX,,3
17432,pickup,-380.66492,725.0839,-10.918518,76561197978835160,flameZ,,3
18565,plant,528.75714,2955.7249,161.53123,76561197978835160,flameZ,BombsiteB,3
19495,pickup,87.16169,1058.3,88.02549,76561197989744167,apEX,,4
21160,drop,-611.56976,682.9951,-33.074768,76561197989744167,apEX,,4
22692,pickup,-415.04053,673.1175,-32.23645,76561197989744167,apEX,,4
26240,plant,545.0739,2950.1528,161.53123,76561197989744167,apEX,BombsiteB,4
28864,detonate,2520.3215,2114.877,187.875,76561197989744167,apEX,,4
29184,pickup,1243.2837,-573.2829,150.94357,76561197991272318,ropz,,5
30851,drop,-920.00446,-167.65674,4.03125,76561197991272318,ropz,,5
32522,pickup,-743.5546,139.41162,16.453125,76561197989744167,apEX,,5
32767,drop,-339.03162,790.7355,7.7810144,76561197989744167,apEX,,5
36102,pickup,-401.68854,742.4479,-12.28418,76561197978835160,flameZ,,5
37616,plant,546.26636,2966.2146,161.53123,76561197978835160,flameZ,BombsiteB,5
42874,drop,-701.44946,655.31793,-30.29071,76561197973140692,mezii,,6
43078,pickup,-496.46777,627.6029,-29.898132,76561197978835160,flameZ,,6
43117,drop,-401.8675,731.4906,-14.066895,76561197978835160,flameZ,,6
43639,pickup,-253.39227,914.1564,18.960987,76561197978835160,flameZ,,6
43880,drop,152.96712,805.51984,80.03125,76561197978835160,flameZ,,6
46075,pickup,144.26973,808.9846,80.092636,76561197978835160,flameZ,,6
47072,plant,544.56226,2938.2668,161.53123,76561197978835160,flameZ,BombsiteB,6
49696,detonate,132.4717,1263.6198,154.07812,76561197978835160,flameZ,,6
50016,pickup,-417.70148,485.3513,40.03125,76561198113666193,ZywOo,,7
51658,drop,-736.65564,617.63654,-30.980408,76561198113666193,ZywOo,,7
52432,pickup,-408.2246,710.07263,-31.062195,76561197978835160,flameZ,,7
52653,drop,17.967773,860.6291,80.03125,76561197978835160,flameZ,,7
52880,pickup,115.25171,965.2212,82.03227,76561197989744167,apEX,,7
54324,drop,217.74678,526.04816,85.022194,76561197989744167,apEX,,7
54468,pickup,138.5718,745.08545,81.96878,76561197973140692,mezii,,7
56509,drop,2185.1487,641.5638,160.03125,76561197973140692,mezii,,7
56791,pickup,2067.1113,476.94885,167.84375,76561198113666193,ZywOo,,7
57097,plant,1880.0171,371.4011,161.03122,76561198113666193,ZywOo,BombsiteA,7
59721,detonate,2257.7466,2377.6587,188.51562,76561198113666193,ZywOo,,7
60041,pickup,2212.0935,548.151,148.33427,76561197978835160,flameZ,,8
62364,drop,-1657.23,419.577,-63.96875,76561197973140692,mezii,,8
62371,pickup,-1675.62,351.695,-63.96875,76561198113666193,ZywOo,,8
63854,drop,-568.35986,716.8802,-32.95807,76561198113666193,ZywOo,,8
65917,pickup,-486.9934,631.9979,-30.349182,76561197991272318,ropz,,8
68539,plant,547.0232,2951.162,161.53123,76561197991272318,ropz,BombsiteB,8
71163,detonate,275.96762,1238.0312,111.03978,76561197991272318,ropz,,8
71483,pickup,-58.346252,1331.7098,104.03123,76561197989744167,apEX,,9
76614,drop,720.84094,2178.8784,136.03131,76561197989744167,apEX,,9
76626,pickup,672.5795,2119.7375,138.82689,76561197991272318,ropz,,9
77345,plant,538.52264,2967.666,161.53123,76561197991272318,ropz,BombsiteB,9
78759,pickup,293.88245,1825.7002,188.75,76561197991272318,ropz,,10
79014,drop,-1675.62,351.695,-63.96875,76561197991272318,ropz,,10
79021,pickup,-1662.18,288.762,-63.96875,76561198113666193,ZywOo,,10
80327,drop,-810.85187,576.6535,10.46875,76561198113666193,ZywOo,,10
80634,pickup,-431.49988,657.46875,-31.348816,76561197978835160,flameZ,,10
80662,drop,-398.59497,748.324,-11.179321,76561197978835160,flameZ,,10
80803,pickup,-300.18347,914.8259,12.471485,76561197978835160,flameZ,,10
81075,drop,-290.53552,881.88385,12.129715,76561197978835160,flameZ,,10
81097,pickup,-92.35101,889.77094,64.183266,76561197973140692,mezii,,10
82647,plant,543.96826,2917.8364,161.53123,76561197973140692,mezii,BombsiteB,10
85271,detonate,233.21217,1343.9095,109.01386,76561197973140692,mezii,,10
85591,pickup,275.90158,1238.0297,111.03407,76561197973140692,mezii,,11
87984,drop,-1520.06,430.891,-63.96875,76561197973140692,mezii,,11
87991,pickup,-1586.52,440.79,-63.96875,76561197989744167,apEX,,11
89136,drop,-971.4591,545.4887,-42.194946,76561197989744167,apEX,,11
89345,pickup,-664.5371,543.8805,-29.189697,76561197978835160,flameZ,,11
89384,drop,-573.35614,646.5058,-31.183777,76561197978835160,flameZ,,11
91293,pickup,368.2088,1807.5099,129.27103,76561198113666193,ZywOo,,12
92929,drop,-629.02936,712.55725,-31.735474,76561198113666193,ZywOo,,12
94790,pickup,-424.8822,674.46985,-32.056824,76561198113666193,ZywOo,,12
96372,drop,1971.2607,-202.25903,256.03125,76561198113666193,ZywOo,,12
96538,pickup,2068.2002,107.469986,132.81805,76561197973140692,mezii,,12
96838,plant,2111.8494,179.2439,160.03125,76561197973140692,mezii,BombsiteA,12
98849,defuse,2057.6123,184.96364,160.03125,76561198138828475,Brollan,BombsiteA,12
115706,drop,363.37683,2568.664,161.53125,76561198138828475,Brollan,,13
116112,pickup,191.38702,2699.1301,164.03125,76561198355739212,torzsi,,13
117275,drop,22.746853,2702.328,161.03125,76561198355739212,torzsi,,13
118234,pickup,23.10793,2701.105,161.03125,76561198355739212,torzsi,,14
125964,drop,1958.7391,61.334488,125.94412,76561198355739212,torzsi,,14
126167,pickup,1954.296,159.8524,160.03125,76561198063336407,Spinx,,14
126566,plant,1922.4231,374.478,161.03125,76561198063336407,Spinx,BombsiteA,14
127832,defuse,1975.4675,348.41943,160.03125,76561197989744167,apEX,BombsiteA,14
128152,pickup,2095.2822,-244.95142,255.03319,76561198193174134,xertioN,,15
128279,drop,-1662.18,288.762,-63.96875,76561198193174134,xertioN,,15
128286,pickup,-1675.62,351.695,-63.96875,76561198855375325,Jimpphat,,15
128491,drop,-1675.62,351.695,-63.96875,76561198855375325,Jimpphat,,15
128498,pickup,-1657.23,419.577,-63.96875,76561198063336407,Spinx,,15
129114,drop,-1657.23,419.577,-63.96875,76561198063336407,Spinx,,15
129121,pickup,-1586.52,440.79,-63.96875,76561198355739212,torzsi,,15
132907,drop,708.422,478.90457,100.05034,76561198355739212,torzsi,,15
133658,pickup,758.10187,350.9196,94.216385,76561198193174134,xertioN,,15
135130,drop,1445.2396,638.0439,121.956154,76561198193174134,xertioN,,15
135450,pickup,693.9415,703.6418,106.03125,76561198138828475,Brollan,,16
136659,drop,-1662.18,288.762,-63.96875,76561198138828475,Brollan,,16
136666,pickup,-1675.62,351.695,-63.96875,76561198193174134,xertioN,,16
137075,drop,-746.01263,598.5738,-31.630249,76561198193174134,xertioN,,16
137162,pickup,-411.8778,681.71704,-31.171875,76561198355739212,torzsi,,16
141653,drop,2020.1162,-175.66461,262.03125,76561198355739212,torzsi,,16
141973,pickup,1951.2928,-193.74011,260.03125,76561198855375325,Jimpphat,,17
142084,drop,-1657.23,419.577,-63.96875,76561198855375325,Jimpphat,,17
142091,pickup,-1586.52,440.79,-63.96875,76561198355739212,torzsi,,17
149537,plant,2013.9719,721.96875,160.03125,76561198355739212,torzsi,BombsiteA,17
