armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
100,618.3052,2046.8849,136.03125,100.0,Banana,flameZ,76561197978835160,t,ct,0,1,99,generic,t,6636,461.78192,2532.0159,161.03125,100,BombsiteB,xertioN,76561198193174134,ct,inferno,1,1
100,659.4436,2059.3228,138.82689,100.0,Banana,flameZ,76561197978835160,t,ct,0,2,97,generic,t,6649,430.7766,2558.2874,161.53125,99,BombsiteB,xertioN,76561198193174134,ct,inferno,2,1
100,663.432,2071.3167,138.82689,100.0,Banana,flameZ,76561197978835160,t,ct,0,3,94,generic,t,6662,387.56735,2577.3281,182.4375,97,BombsiteB,xertioN,76561198193174134,ct,inferno,3,1
0,231.37581,2955.3665,161.53127,100.0,BombsiteB,Brollan,76561198138828475,ct,ct,0,30,70,chest,t,6879,863.9668,2522.997,140.0843,100,BombsiteB,flameZ,76561197978835160,t,hkp2000,30,1
0,212.98904,2961.8535,161.53127,100.0,BombsiteB,Brollan,76561198138828475,ct,ct,0,30,40,chest,t,6892,862.86444,2544.4788,140.0843,70,BombsiteB,flameZ,76561197978835160,t,hkp2000,30,1
0,847.06903,2527.1428,140.0843,40.0,BombsiteB,flameZ,76561197978835160,t,ct,0,23,77,chest,t,6917,175.1692,2967.073,161.53127,100,BombsiteB,Brollan,76561198138828475,ct,glock,23,1
0,288.65497,2747.5542,184.29976,94.0,BombsiteB,xertioN,76561198193174134,ct,ct,0,28,12,chest,t,6924,847.49097,2527.7837,140.0843,40,BombsiteB,flameZ,76561197978835160,t,elite,28,1
0,146.58057,2961.811,161.53127,77.0,BombsiteB,Brollan,76561198138828475,ct,ct,0,29,0,chest,t,6946,854.72076,2539.1145,140.0843,12,BombsiteB,flameZ,76561197978835160,t,hkp2000,12,1
94,825.4647,2461.9492,136.03146,100.0,BombsiteB,ZywOo,76561198113666193,t,ct,6,11,83,chest,t,6961,295.95813,2764.4326,184.29976,94,BombsiteB,xertioN,76561198193174134,ct,glock,11,1
88,764.4592,2540.6804,136.03146,100.0,BombsiteB,mezii,76561197973140692,t,ct,6,11,72,chest,t,6971,296.50208,2765.8464,184.29976,83,BombsiteB,xertioN,76561198193174134,ct,glock,11,1
0,888.5323,2765.168,134.78496,100.0,BombsiteB,Spinx,76561198063336407,ct,ct,0,38,62,stomach,t,7000,722.2659,2177.3223,136.03131,100,Banana,apEX,76561197989744167,t,hkp2000,38,1
0,833.1667,2775.0554,135.6784,100.0,BombsiteB,Spinx,76561198063336407,ct,ct,0,34,66,chest,t,7015,815.8759,2671.829,136.0315,100,BombsiteB,mezii,76561197973140692,t,hkp2000,34,1
94,700.113,2241.8284,136.0313,62.0,Banana,apEX,76561197989744167,t,ct,6,11,89,chest,t,7037,776.17413,2792.6978,142.88748,100,BombsiteB,Spinx,76561198063336407,ct,glock,11,1
82,806.53217,2448.0215,136.03146,100.0,BombsiteB,ZywOo,76561198113666193,t,ct,6,11,61,chest,t,7037,283.1715,2771.909,184.29976,72,BombsiteB,xertioN,76561198193174134,ct,glock,11,1
0,794.79486,2626.981,136.03148,66.0,BombsiteB,mezii,76561197973140692,t,ct,0,23,54,chest,t,7047,67.8967,2973.5615,161.03125,77,BombsiteB,Brollan,76561198138828475,ct,glock,23,1
0,790.9525,2619.0024,136.03148,66.0,BombsiteB,mezii,76561197973140692,t,ct,0,23,31,chest,t,7058,60.631214,2977.6038,161.03125,54,BombsiteB,Brollan,76561198138828475,ct,glock,23,1
94,716.5576,2248.5964,136.03139,62.0,Banana,apEX,76561197989744167,t,ct,0,99,0,head,t,7062,789.9074,2834.0234,143.47398,89,BombsiteB,Spinx,76561198063336407,ct,glock,89,1
0,794.7251,2626.9048,136.03148,66.0,BombsiteB,mezii,76561197973140692,t,ct,0,92,0,head,t,7078,66.07632,2977.6428,161.03125,31,BombsiteB,Brollan,76561198138828475,ct,glock,31,1
76,849.27246,2553.3904,140.0843,100.0,BombsiteB,ZywOo,76561198113666193,t,ct,6,11,50,chest,t,7099,301.61664,2824.8726,184.29976,61,BombsiteB,xertioN,76561198193174134,ct,glock,11,1
0,298.91656,2815.8826,184.29976,50.0,BombsiteB,xertioN,76561198193174134,ct,ct,0,118,0,head,t,7112,802.9897,2640.8179,136.0315,66,BombsiteB,mezii,76561197973140692,t,elite,66,1
68,855.93494,2567.4993,140.0843,100.0,BombsiteB,ZywOo,76561198113666193,t,ct,8,14,36,stomach,t,7138,301.19135,2822.4778,184.29976,50,BombsiteB,xertioN,76561198193174134,ct,glock,14,1
62,713.06415,2580.2568,136.03146,100.0,BombsiteB,ropz,76561197991272318,t,ct,6,12,24,chest,t,7199,272.19733,2774.1013,184.29976,36,BombsiteB,xertioN,76561198193174134,ct,glock,12,1
0,275.86343,2779.7925,184.29976,24.0,BombsiteB,xertioN,76561198193174134,ct,ct,0,120,0,head,t,7210,690.265,2501.8877,142.88748,62,BombsiteB,apEX,76561197989744167,t,elite,62,1
55,460.08347,2765.378,198.6875,100.0,BombsiteB,ropz,76561197991272318,t,ct,7,13,11,chest,t,7290,290.16537,2801.8132,184.29976,24,BombsiteB,xertioN,76561198193174134,ct,glock,13,1
100,282.17065,2789.1042,184.29976,11.0,BombsiteB,xertioN,76561198193174134,ct,ct,0,141,0,head,t,7312,445.80588,2827.7,193.03125,100,BombsiteB,ropz,76561197991272318,t,elite,100,1
99,1691.0624,2771.3076,124.031876,100.0,CTSpawn,Jimpphat,76561198855375325,ct,ct,1,2,98,generic,t,7359,670.58466,2640.6992,144.29083,100,BombsiteB,ZywOo,76561198113666193,t,hegrenade,2,1
93,316.1597,2865.4119,193.03125,11.0,BombsiteB,xertioN,76561198193174134,ct,ct,6,18,80,chest,t,7369,649.21027,2656.3826,147.78253,98,BombsiteB,ZywOo,76561198113666193,t,elite,18,1
87,304.6639,2845.4338,193.03125,11.0,BombsiteB,xertioN,76561198193174134,ct,ct,6,18,62,chest,t,7384,629.03174,2646.2197,151.88647,80,BombsiteB,ZywOo,76561198113666193,t,elite,18,1
80,1528.6195,2775.6216,124.031815,100.0,Ruins,Jimpphat,76561198855375325,ct,ct,7,14,48,right_arm,t,7414,630.7101,2654.4734,151.58376,62,BombsiteB,ZywOo,76561198113666193,t,hkp2000,14,1
80,2011.2031,2810.771,124.031845,100.0,CTSpawn,torzsi,76561198355739212,ct,ct,0,107,0,head,t,7472,604.5429,2665.9517,157.75754,48,BombsiteB,ZywOo,76561198113666193,t,hkp2000,48,1
